arm,interval,time,events
pembro_chemo,1,0.2141,2
pembro_chemo,1,1.6797,1
pembro_chemo,1,2.6743,2
pembro_chemo,1,3.8782,1
pembro_chemo,1,4.1399,1
pembro_chemo,1,4.3493,2
pembro_chemo,1,4.6634,1
pembro_chemo,1,4.8728,1
pembro_chemo,2,6.2337,1
pembro_chemo,2,6.4954,2
pembro_chemo,2,6.6525,1
pembro_chemo,2,6.9142,1
pembro_chemo,2,7.4376,1
pembro_chemo,2,8.2751,1
pembro_chemo,2,8.4845,1
pembro_chemo,2,8.7462,1
pembro_chemo,2,9.7408,1
pembro_chemo,2,10.2119,2
pembro_chemo,2,10.5783,1
pembro_chemo,2,11.2588,1
pembro_chemo,2,11.5205,1
pembro_chemo,2,11.9393,1
pembro_chemo,3,12.2533,1
pembro_chemo,3,13.1955,1
pembro_chemo,3,13.5619,1
pembro_chemo,6,30.4692,1
pembro_chemo,6,30.5215,1
pembro_chemo,6,30.7309,1
placebo_chemo,1,1.5751,1
placebo_chemo,1,1.8368,1
placebo_chemo,1,2.0985,1
placebo_chemo,1,2.1508,1
placebo_chemo,1,2.4126,1
placebo_chemo,1,2.4649,1
placebo_chemo,1,3.0407,1
placebo_chemo,1,3.3024,1
placebo_chemo,1,3.6165,1
placebo_chemo,1,3.6688,1
placebo_chemo,1,3.9306,1
placebo_chemo,1,4.0352,2
placebo_chemo,1,4.0876,2
placebo_chemo,1,4.297,2
placebo_chemo,1,4.3493,3
placebo_chemo,1,4.454,2
placebo_chemo,1,4.611,1
placebo_chemo,1,4.6634,2
placebo_chemo,1,4.7157,1
placebo_chemo,1,4.9251,1
placebo_chemo,1,5.1345,2
placebo_chemo,1,5.7626,1
placebo_chemo,1,5.8673,2
placebo_chemo,1,5.972,1
placebo_chemo,2,6.0767,1
placebo_chemo,2,6.129,1
placebo_chemo,2,6.1814,1
placebo_chemo,2,6.2337,4
placebo_chemo,2,6.2861,2
placebo_chemo,2,6.3384,1
placebo_chemo,2,6.4169,1
placebo_chemo,2,6.4954,3
placebo_chemo,2,6.5478,1
placebo_chemo,2,7.1759,2
placebo_chemo,2,7.3329,1
placebo_chemo,2,7.3853,1
placebo_chemo,2,7.647,1
placebo_chemo,2,7.804,1
placebo_chemo,2,8.1181,1
placebo_chemo,2,8.1705,1
placebo_chemo,2,8.3798,1
placebo_chemo,2,8.4322,1
placebo_chemo,2,8.5369,1
placebo_chemo,2,8.5892,1
placebo_chemo,2,8.6939,1
placebo_chemo,2,8.7462,1
placebo_chemo,2,9.7408,1
placebo_chemo,2,10.0025,1
placebo_chemo,2,10.8924,1
placebo_chemo,2,11.1541,1
placebo_chemo,3,12.0439,1
placebo_chemo,3,12.4627,1
placebo_chemo,3,12.7244,1
placebo_chemo,3,13.719,1
placebo_chemo,3,13.876,1
placebo_chemo,3,13.9283,1
placebo_chemo,3,14.1377,1
placebo_chemo,4,20.0003,1
placebo_chemo,5,24.0832,1
placebo_chemo,5,24.3449,1
