arm,x_pixel,y_pixel,time_months,survival
pembro_chemo,235.00,38.50,0.2141,0.99126
pembro_chemo,236.00,38.50,0.2403,0.99126
pembro_chemo,239.00,41.50,0.3188,0.98776
pembro_chemo,240.00,41.50,0.3450,0.98776
pembro_chemo,241.00,42.50,0.3711,0.98660
pembro_chemo,242.00,42.50,0.3973,0.98660
pembro_chemo,243.00,41.50,0.4235,0.98776
pembro_chemo,244.00,41.50,0.4497,0.98776
pembro_chemo,245.00,40.50,0.4758,0.98893
pembro_chemo,246.00,40.50,0.5020,0.98893
pembro_chemo,247.00,40.50,0.5282,0.98893
pembro_chemo,248.00,40.50,0.5543,0.98893
pembro_chemo,249.00,40.50,0.5805,0.98893
pembro_chemo,250.00,40.50,0.6067,0.98893
pembro_chemo,253.00,43.50,0.6852,0.98543
pembro_chemo,254.00,43.50,0.7114,0.98543
pembro_chemo,255.00,43.50,0.7375,0.98543
pembro_chemo,256.00,43.50,0.7637,0.98543
pembro_chemo,257.00,43.50,0.7899,0.98543
pembro_chemo,258.00,43.50,0.8161,0.98543
pembro_chemo,263.00,45.50,0.9469,0.98310
pembro_chemo,264.00,45.50,0.9731,0.98310
pembro_chemo,265.00,45.50,0.9993,0.98310
pembro_chemo,266.00,45.50,1.0254,0.98310
pembro_chemo,267.00,45.50,1.0516,0.98310
pembro_chemo,268.00,45.50,1.0778,0.98310
pembro_chemo,269.00,45.50,1.1040,0.98310
pembro_chemo,270.00,45.50,1.1301,0.98310
pembro_chemo,271.00,44.50,1.1563,0.98427
pembro_chemo,272.00,44.50,1.1825,0.98427
pembro_chemo,273.00,44.50,1.2086,0.98427
pembro_chemo,274.00,44.50,1.2348,0.98427
pembro_chemo,275.00,44.50,1.2610,0.98427
pembro_chemo,276.00,44.50,1.2872,0.98427
pembro_chemo,277.00,44.50,1.3133,0.98427
pembro_chemo,278.00,44.50,1.3395,0.98427
pembro_chemo,279.00,44.50,1.3657,0.98427
pembro_chemo,280.00,44.50,1.3919,0.98427
pembro_chemo,281.00,44.50,1.4180,0.98427
pembro_chemo,282.00,44.50,1.4442,0.98427
pembro_chemo,283.00,45.50,1.4704,0.98310
pembro_chemo,284.00,45.50,1.4965,0.98310
pembro_chemo,285.00,45.50,1.5227,0.98310
pembro_chemo,286.00,45.50,1.5489,0.98310
pembro_chemo,291.00,54.50,1.6797,0.97261
pembro_chemo,292.00,54.50,1.7059,0.97261
pembro_chemo,293.00,54.50,1.7321,0.97261
pembro_chemo,294.00,54.50,1.7583,0.97261
pembro_chemo,295.00,52.50,1.7844,0.97494
pembro_chemo,296.00,52.50,1.8106,0.97494
pembro_chemo,297.00,52.50,1.8368,0.97494
pembro_chemo,298.00,52.50,1.8630,0.97494
pembro_chemo,299.00,52.50,1.8891,0.97494
pembro_chemo,300.00,52.50,1.9153,0.97494
pembro_chemo,301.00,56.50,1.9415,0.97028
pembro_chemo,302.00,56.50,1.9676,0.97028
pembro_chemo,303.00,56.50,1.9938,0.97028
pembro_chemo,304.00,56.50,2.0200,0.97028
pembro_chemo,305.00,55.50,2.0462,0.97145
pembro_chemo,306.00,55.50,2.0723,0.97145
pembro_chemo,307.00,61.50,2.0985,0.96445
pembro_chemo,308.00,61.50,2.1247,0.96445
pembro_chemo,321.00,57.50,2.4649,0.96911
pembro_chemo,322.00,57.50,2.4911,0.96911
pembro_chemo,323.00,58.50,2.5173,0.96795
pembro_chemo,324.00,58.50,2.5434,0.96795
pembro_chemo,325.00,58.50,2.5696,0.96795
pembro_chemo,326.00,58.50,2.5958,0.96795
pembro_chemo,329.00,64.50,2.6743,0.96096
pembro_chemo,330.00,64.50,2.7005,0.96096
pembro_chemo,331.00,66.50,2.7266,0.95862
pembro_chemo,332.00,66.50,2.7528,0.95862
