arm,start_time_months,end_time_months,survival
pembro_chemo,0.2141,1.5489,0.98310
pembro_chemo,1.6797,2.5958,0.97028
pembro_chemo,2.6743,3.8520,0.95746
pembro_chemo,3.8782,4.1138,0.94814
pembro_chemo,4.1399,4.2708,0.94347
pembro_chemo,4.3493,4.6372,0.92366
pembro_chemo,4.6634,4.8466,0.91667
pembro_chemo,4.8728,6.2075,0.90268
pembro_chemo,6.2337,6.4693,0.88753
pembro_chemo,6.4954,6.6263,0.86305
pembro_chemo,6.6525,6.8880,0.85606
pembro_chemo,6.9142,7.3068,0.84674
pembro_chemo,7.4376,8.2490,0.83275
pembro_chemo,8.2751,8.4584,0.82809
pembro_chemo,8.4845,8.6677,0.81876
pembro_chemo,8.7462,9.7146,0.80478
pembro_chemo,9.7408,10.1857,0.78963
pembro_chemo,10.2119,10.5521,0.76632
pembro_chemo,10.5783,11.2326,0.75699
pembro_chemo,11.2588,11.4943,0.74883
pembro_chemo,11.5205,11.9131,0.74068
pembro_chemo,11.9393,12.1748,0.73368
pembro_chemo,12.2533,13.1694,0.72436
pembro_chemo,13.1955,13.5358,0.69872
pembro_chemo,13.5619,30.4430,0.68357
pembro_chemo,30.4692,30.4954,0.62529
pembro_chemo,30.5215,30.7047,0.61830
pembro_chemo,30.7309,37.4834,0.57051
