arm,x_pixel,y_pixel,time_months,survival
placebo_chemo,227.00,31.00,0.0047,1.00000
placebo_chemo,228.00,31.00,0.0309,1.00000
placebo_chemo,229.00,31.00,0.0571,1.00000
placebo_chemo,230.00,31.00,0.0832,1.00000
placebo_chemo,245.00,30.00,0.4758,1.00117
placebo_chemo,246.00,30.00,0.5020,1.00117
placebo_chemo,247.00,30.00,0.5282,1.00117
placebo_chemo,248.00,30.00,0.5543,1.00117
placebo_chemo,249.00,31.00,0.5805,1.00000
placebo_chemo,250.00,31.00,0.6067,1.00000
placebo_chemo,251.00,31.00,0.6329,1.00000
placebo_chemo,252.00,31.00,0.6590,1.00000
placebo_chemo,253.00,31.00,0.6852,1.00000
placebo_chemo,254.00,31.00,0.7114,1.00000
placebo_chemo,255.00,31.00,0.7375,1.00000
placebo_chemo,256.00,31.00,0.7637,1.00000
placebo_chemo,257.00,31.50,0.7899,0.99942
placebo_chemo,258.00,31.50,0.8161,0.99942
placebo_chemo,261.00,31.50,0.8946,0.99942
placebo_chemo,262.00,31.50,0.9208,0.99942
placebo_chemo,263.00,35.00,0.9469,0.99534
placebo_chemo,264.00,35.00,0.9731,0.99534
placebo_chemo,265.00,35.00,0.9993,0.99534
placebo_chemo,266.00,35.00,1.0254,0.99534
placebo_chemo,267.00,35.00,1.0516,0.99534
placebo_chemo,268.00,35.00,1.0778,0.99534
placebo_chemo,269.00,35.50,1.1040,0.99476
placebo_chemo,270.00,35.50,1.1301,0.99476
placebo_chemo,271.00,35.50,1.1563,0.99476
placebo_chemo,272.00,35.50,1.1825,0.99476
placebo_chemo,273.00,35.50,1.2086,0.99476
placebo_chemo,274.00,35.50,1.2348,0.99476
placebo_chemo,275.00,35.50,1.2610,0.99476
placebo_chemo,276.00,35.50,1.2872,0.99476
placebo_chemo,277.00,35.50,1.3133,0.99476
placebo_chemo,278.00,35.50,1.3395,0.99476
placebo_chemo,279.00,35.50,1.3657,0.99476
placebo_chemo,280.00,35.50,1.3919,0.99476
placebo_chemo,281.00,35.50,1.4180,0.99476
placebo_chemo,282.00,35.50,1.4442,0.99476
placebo_chemo,283.00,35.50,1.4704,0.99476
placebo_chemo,284.00,35.50,1.4965,0.99476
placebo_chemo,285.00,35.50,1.5227,0.99476
placebo_chemo,286.00,35.50,1.5489,0.99476
placebo_chemo,287.00,38.50,1.5751,0.99126
placebo_chemo,288.00,38.50,1.6012,0.99126
placebo_chemo,289.00,38.50,1.6274,0.99126
placebo_chemo,290.00,38.50,1.6536,0.99126
placebo_chemo,291.00,32.50,1.6797,0.99825
placebo_chemo,292.00,32.50,1.7059,0.99825
placebo_chemo,293.00,32.50,1.7321,0.99825
placebo_chemo,294.00,32.50,1.7583,0.99825
placebo_chemo,295.00,39.50,1.7844,0.99009
placebo_chemo,296.00,39.50,1.8106,0.99009
placebo_chemo,297.00,43.50,1.8368,0.98543
placebo_chemo,298.00,43.50,1.8630,0.98543
placebo_chemo,299.00,43.50,1.8891,0.98543
placebo_chemo,300.00,43.50,1.9153,0.98543
placebo_chemo,301.00,43.50,1.9415,0.98543
placebo_chemo,302.00,43.50,1.9676,0.98543
placebo_chemo,303.00,43.50,1.9938,0.98543
placebo_chemo,304.00,43.50,2.0200,0.98543
placebo_chemo,305.00,43.50,2.0462,0.98543
placebo_chemo,306.00,43.50,2.0723,0.98543
placebo_chemo,307.00,47.50,2.0985,0.98077
placebo_chemo,308.00,47.50,2.1247,0.98077
placebo_chemo,309.00,57.50,2.1508,0.96911
placebo_chemo,310.00,57.50,2.1770,0.96911
placebo_chemo,311.00,57.50,2.2032,0.96911
placebo_chemo,312.00,57.50,2.2294,0.96911
placebo_chemo,313.00,46.50,2.2555,0.98193
placebo_chemo,314.00,46.50,2.2817,0.98193
placebo_chemo,315.00,51.50,2.3079,0.97611
placebo_chemo,316.00,51.50,2.3341,0.97611
placebo_chemo,317.00,56.50,2.3602,0.97028
placebo_chemo,318.00,56.50,2.3864,0.97028
placebo_chemo,319.00,64.50,2.4126,0.96096
placebo_chemo,320.00,64.50,2.4387,0.96096
placebo_chemo,321.00,79.50,2.4649,0.94347
placebo_chemo,322.00,79.50,2.4911,0.94347
placebo_chemo,323.00,74.50,2.5173,0.94930
placebo_chemo,324.00,74.50,2.5434,0.94930
placebo_chemo,325.00,74.50,2.5696,0.94930
placebo_chemo,326.00,74.50,2.5958,0.94930
placebo_chemo,327.00,74.50,2.6219,0.94930
placebo_chemo,328.00,74.50,2.6481,0.94930
placebo_chemo,329.00,76.50,2.6743,0.94697
placebo_chemo,330.00,76.50,2.7005,0.94697
placebo_chemo,331.00,78.50,2.7266,0.94464
placebo_chemo,332.00,78.50,2.7528,0.94464
placebo_chemo,333.00,78.50,2.7790,0.94464
placebo_chemo,334.00,78.50,2.8052,0.94464
placebo_chemo,335.00,78.50,2.8313,0.94464
placebo_chemo,336.00,78.50,2.8575,0.94464
placebo_chemo,337.00,73.50,2.8837,0.95047
placebo_chemo,338.00,73.50,2.9098,0.95047
placebo_chemo,339.00,81.50,2.9360,0.94114
placebo_chemo,340.00,81.50,2.9622,0.94114
placebo_chemo,341.00,81.50,2.9884,0.94114
placebo_chemo,342.00,81.50,3.0145,0.94114
placebo_chemo,343.00,84.50,3.0407,0.93765
placebo_chemo,344.00,84.50,3.0669,0.93765
placebo_chemo,347.00,84.50,3.1454,0.93765
placebo_chemo,348.00,84.50,3.1716,0.93765
placebo_chemo,349.00,84.50,3.1977,0.93765
placebo_chemo,350.00,84.50,3.2239,0.93765
placebo_chemo,351.00,84.50,3.2501,0.93765
placebo_chemo,352.00,84.50,3.2763,0.93765
placebo_chemo,353.00,90.50,3.3024,0.93065
placebo_chemo,354.00,90.50,3.3286,0.93065
placebo_chemo,355.00,88.50,3.3548,0.93298
placebo_chemo,356.00,88.50,3.3809,0.93298
placebo_chemo,357.00,91.50,3.4071,0.92949
placebo_chemo,358.00,91.50,3.4333,0.92949
placebo_chemo,359.00,90.50,3.4595,0.93065
placebo_chemo,360.00,90.50,3.4856,0.93065
placebo_chemo,361.00,91.50,3.5118,0.92949
placebo_chemo,362.00,91.50,3.5380,0.92949
placebo_chemo,363.00,89.50,3.5641,0.93182
placebo_chemo,364.00,89.50,3.5903,0.93182
placebo_chemo,365.00,97.50,3.6165,0.92249
placebo_chemo,366.00,97.50,3.6427,0.92249
placebo_chemo,367.00,103.50,3.6688,0.91550
placebo_chemo,368.00,103.50,3.6950,0.91550
placebo_chemo,369.00,103.50,3.7212,0.91550
placebo_chemo,370.00,103.50,3.7474,0.91550
placebo_chemo,371.00,103.50,3.7735,0.91550
placebo_chemo,372.00,103.50,3.7997,0.91550
placebo_chemo,377.00,107.50,3.9306,0.91084
placebo_chemo,378.00,107.50,3.9567,0.91084
placebo_chemo,379.00,109.50,3.9829,0.90851
placebo_chemo,380.00,109.50,4.0091,0.90851
placebo_chemo,381.00,126.50,4.0352,0.88869
placebo_chemo,382.00,126.50,4.0614,0.88869
placebo_chemo,383.00,143.50,4.0876,0.86888
placebo_chemo,384.00,143.50,4.1138,0.86888
placebo_chemo,385.00,142.50,4.1399,0.87005
placebo_chemo,386.00,142.50,4.1661,0.87005
placebo_chemo,387.00,145.50,4.1923,0.86655
placebo_chemo,388.00,145.50,4.2185,0.86655
placebo_chemo,389.00,143.50,4.2446,0.86888
placebo_chemo,390.00,143.50,4.2708,0.86888
placebo_chemo,391.00,156.50,4.2970,0.85373
placebo_chemo,392.00,156.50,4.3231,0.85373
placebo_chemo,393.00,179.50,4.3493,0.82692
placebo_chemo,394.00,179.50,4.3755,0.82692
placebo_chemo,395.00,177.50,4.4017,0.82925
placebo_chemo,396.00,177.50,4.4278,0.82925
placebo_chemo,397.00,196.50,4.4540,0.80711
placebo_chemo,398.00,196.50,4.4802,0.80711
placebo_chemo,399.00,193.50,4.5063,0.81061
placebo_chemo,400.00,193.50,4.5325,0.81061
placebo_chemo,401.00,195.50,4.5587,0.80828
placebo_chemo,402.00,195.50,4.5849,0.80828
placebo_chemo,403.00,200.50,4.6110,0.80245
placebo_chemo,404.00,200.50,4.6372,0.80245
placebo_chemo,405.00,218.50,4.6634,0.78147
placebo_chemo,406.00,218.50,4.6896,0.78147
