arm,start_time_months,end_time_months,survival
placebo_chemo,0.0047,1.5489,0.99534
placebo_chemo,1.5751,2.1247,0.98077
placebo_chemo,2.1508,2.4387,0.96096
placebo_chemo,2.4649,2.9098,0.94697
placebo_chemo,2.9360,3.2763,0.93765
placebo_chemo,3.3024,3.5903,0.93007
placebo_chemo,3.6165,4.0614,0.88869
placebo_chemo,4.0876,4.3231,0.85373
placebo_chemo,4.3493,4.4278,0.82809
placebo_chemo,4.4540,4.6372,0.80245
placebo_chemo,4.6634,4.8466,0.77681
placebo_chemo,4.8728,5.1083,0.76865
placebo_chemo,5.1345,5.8411,0.73485
placebo_chemo,5.8673,6.1029,0.70804
placebo_chemo,6.1290,6.2075,0.67075
placebo_chemo,6.2337,6.2599,0.63228
placebo_chemo,6.2861,6.4693,0.58683
placebo_chemo,6.4954,6.5216,0.55070
placebo_chemo,6.5478,7.3068,0.53671
placebo_chemo,7.3329,7.7255,0.49592
placebo_chemo,7.8040,8.1443,0.47378
placebo_chemo,8.1705,8.5107,0.43823
placebo_chemo,8.5369,8.6677,0.42366
placebo_chemo,8.6939,9.7146,0.40967
placebo_chemo,9.7408,9.9240,0.40501
placebo_chemo,10.0025,11.1279,0.39452
placebo_chemo,11.1541,12.0178,0.37937
placebo_chemo,12.0439,12.4365,0.37005
placebo_chemo,12.4627,12.6983,0.35723
placebo_chemo,12.7244,13.8498,0.34674
placebo_chemo,13.8760,14.1116,0.32692
placebo_chemo,14.1377,24.0570,0.30594
placebo_chemo,24.0832,24.3187,0.26865
placebo_chemo,24.3449,34.7876,0.23019
