arm,time_months,survival
placebo_chemo,0.0047,1.00000
placebo_chemo,0.9208,1.00000
placebo_chemo,0.9469,1.00000
placebo_chemo,0.9469,1.00000
placebo_chemo,1.5489,1.00000
placebo_chemo,1.5751,0.99476
placebo_chemo,1.5751,0.99126
placebo_chemo,1.8106,0.99126
placebo_chemo,1.8368,0.99126
placebo_chemo,1.8368,0.98543
placebo_chemo,2.0723,0.98543
placebo_chemo,2.0985,0.98543
placebo_chemo,2.0985,0.98077
placebo_chemo,2.1247,0.98077
placebo_chemo,2.1508,0.98077
placebo_chemo,2.1508,0.96911
placebo_chemo,2.3864,0.96911
placebo_chemo,2.4126,0.96911
placebo_chemo,2.4126,0.96096
placebo_chemo,2.4387,0.96096
placebo_chemo,2.4649,0.96096
placebo_chemo,2.4649,0.94347
placebo_chemo,3.0145,0.94347
placebo_chemo,3.0407,0.94347
placebo_chemo,3.0407,0.93765
placebo_chemo,3.2763,0.93765
placebo_chemo,3.3024,0.93765
placebo_chemo,3.3024,0.92949
placebo_chemo,3.5903,0.92949
placebo_chemo,3.6165,0.92949
placebo_chemo,3.6165,0.92249
placebo_chemo,3.6427,0.92249
placebo_chemo,3.6688,0.92249
placebo_chemo,3.6688,0.91550
placebo_chemo,3.7997,0.91550
placebo_chemo,3.9306,0.91550
placebo_chemo,3.9306,0.90967
placebo_chemo,4.0091,0.90967
placebo_chemo,4.0352,0.90967
placebo_chemo,4.0352,0.88869
placebo_chemo,4.0614,0.88869
placebo_chemo,4.0876,0.88869
placebo_chemo,4.0876,0.86772
placebo_chemo,4.2708,0.86772
placebo_chemo,4.2970,0.86772
placebo_chemo,4.2970,0.85373
placebo_chemo,4.3231,0.85373
placebo_chemo,4.3493,0.85373
placebo_chemo,4.3493,0.82692
placebo_chemo,4.4278,0.82692
placebo_chemo,4.4540,0.82692
placebo_chemo,4.4540,0.80711
placebo_chemo,4.5849,0.80711
placebo_chemo,4.6110,0.80711
placebo_chemo,4.6110,0.80245
placebo_chemo,4.6372,0.80245
placebo_chemo,4.6634,0.80245
placebo_chemo,4.6634,0.78147
placebo_chemo,4.6896,0.78147
placebo_chemo,4.7157,0.78147
placebo_chemo,4.7157,0.77681
placebo_chemo,4.8989,0.77681
placebo_chemo,4.9251,0.77681
placebo_chemo,4.9251,0.76515
placebo_chemo,5.1083,0.76515
placebo_chemo,5.1345,0.76515
placebo_chemo,5.1345,0.74242
placebo_chemo,5.6318,0.74242
placebo_chemo,5.7626,0.74242
placebo_chemo,5.7626,0.73485
placebo_chemo,5.8411,0.73485
placebo_chemo,5.8673,0.73485
placebo_chemo,5.8673,0.71737
placebo_chemo,5.9458,0.71737
placebo_chemo,5.9720,0.71737
placebo_chemo,5.9720,0.71270
placebo_chemo,6.0505,0.71270
placebo_chemo,6.0767,0.71270
placebo_chemo,6.0767,0.70804
placebo_chemo,6.1029,0.70804
placebo_chemo,6.1290,0.70804
placebo_chemo,6.1290,0.68240
placebo_chemo,6.1552,0.68240
placebo_chemo,6.1814,0.68240
placebo_chemo,6.1814,0.67075
placebo_chemo,6.2075,0.67075
placebo_chemo,6.2337,0.67075
placebo_chemo,6.2337,0.63228
placebo_chemo,6.2599,0.63228
placebo_chemo,6.2861,0.63228
placebo_chemo,6.2861,0.60548
placebo_chemo,6.3122,0.60548
placebo_chemo,6.3384,0.60548
placebo_chemo,6.3384,0.59382
placebo_chemo,6.3907,0.59382
placebo_chemo,6.4169,0.59382
placebo_chemo,6.4169,0.58800
placebo_chemo,6.4693,0.58800
placebo_chemo,6.4954,0.58800
placebo_chemo,6.4954,0.55070
placebo_chemo,6.5216,0.55070
placebo_chemo,6.5478,0.55070
placebo_chemo,6.5478,0.53671
placebo_chemo,6.9927,0.53671
placebo_chemo,7.1759,0.53671
placebo_chemo,7.1759,0.51923
placebo_chemo,7.3068,0.51923
placebo_chemo,7.3329,0.51923
placebo_chemo,7.3329,0.50991
placebo_chemo,7.3591,0.50991
placebo_chemo,7.3853,0.50991
placebo_chemo,7.3853,0.50291
placebo_chemo,7.6208,0.50291
placebo_chemo,7.6470,0.50291
placebo_chemo,7.6470,0.49592
placebo_chemo,7.7255,0.49592
placebo_chemo,7.8040,0.49592
placebo_chemo,7.8040,0.48077
placebo_chemo,8.0919,0.48077
placebo_chemo,8.1181,0.48077
placebo_chemo,8.1181,0.47378
placebo_chemo,8.1443,0.47378
placebo_chemo,8.1705,0.47378
placebo_chemo,8.1705,0.45979
placebo_chemo,8.3537,0.45979
placebo_chemo,8.3798,0.45979
placebo_chemo,8.3798,0.45280
placebo_chemo,8.4060,0.45280
placebo_chemo,8.4322,0.45280
placebo_chemo,8.4322,0.43823
placebo_chemo,8.5107,0.43823
placebo_chemo,8.5369,0.43823
placebo_chemo,8.5369,0.43065
placebo_chemo,8.5630,0.43065
placebo_chemo,8.5892,0.43065
placebo_chemo,8.5892,0.42366
placebo_chemo,8.6677,0.42366
placebo_chemo,8.6939,0.42366
placebo_chemo,8.6939,0.41667
placebo_chemo,8.7201,0.41667
placebo_chemo,8.7462,0.41667
placebo_chemo,8.7462,0.40967
placebo_chemo,9.7146,0.40967
placebo_chemo,9.7408,0.40967
placebo_chemo,9.7408,0.40501
placebo_chemo,9.9240,0.40501
placebo_chemo,10.0025,0.40501
placebo_chemo,10.0025,0.39452
placebo_chemo,10.8662,0.39452
placebo_chemo,10.8924,0.39452
placebo_chemo,10.8924,0.38636
placebo_chemo,11.1279,0.38636
placebo_chemo,11.1541,0.38636
placebo_chemo,11.1541,0.37937
placebo_chemo,12.0178,0.37937
placebo_chemo,12.0439,0.37937
placebo_chemo,12.0439,0.36422
placebo_chemo,12.4365,0.36422
placebo_chemo,12.4627,0.36422
placebo_chemo,12.4627,0.35606
placebo_chemo,12.6983,0.35606
placebo_chemo,12.7244,0.35606
placebo_chemo,12.7244,0.34674
placebo_chemo,13.6405,0.34674
placebo_chemo,13.7190,0.34674
placebo_chemo,13.7190,0.34207
placebo_chemo,13.8498,0.34207
placebo_chemo,13.8760,0.34207
placebo_chemo,13.8760,0.32692
placebo_chemo,13.9022,0.32692
placebo_chemo,13.9283,0.32692
placebo_chemo,13.9283,0.31527
placebo_chemo,14.1116,0.31527
placebo_chemo,14.1377,0.31527
placebo_chemo,14.1377,0.30594
placebo_chemo,19.9218,0.30594
placebo_chemo,20.0003,0.30594
placebo_chemo,20.0003,0.30245
placebo_chemo,24.0570,0.30245
placebo_chemo,24.0832,0.30245
placebo_chemo,24.0832,0.26865
placebo_chemo,24.3187,0.26865
placebo_chemo,24.3449,0.26865
placebo_chemo,24.3449,0.23019
placebo_chemo,34.7876,0.23019
