drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.2141,0.9831,0.0169,3,0,0.973214,-0.009886,kept
2,1,1.6797,0.97028,0.01282,1,0,0.964286,-0.005994,kept
3,1,2.6743,0.95746,0.01282,0,0,0.964286,0.006826,removed_or_merged
4,1,3.8782,0.94814,0.00932,1,23,0.952941,0.004801,kept
5,1,4.1399,0.94347,0.00467,1,0,0.941597,-0.001873,kept
6,1,4.3493,0.92366,0.01981,2,0,0.918908,-0.004752,kept
7,1,4.6634,0.91667,0.00699,0,0,0.918908,0.002238,removed_or_merged
8,1,4.8728,0.90268,0.01399,1,0,0.907563,0.004883,kept
9,2,6.2337,0.88753,0.01515,2,0,0.884874,-0.002656,kept
10,2,6.4954,0.86305,0.02448,2,0,0.862185,-0.000865,kept
11,2,6.6525,0.85606,0.00699,1,0,0.85084,-0.00522,kept
12,2,6.9142,0.84674,0.00932,2,0,0.828151,-0.018589,kept
13,2,7.4376,0.83275,0.01399,0,0,0.828151,-0.004599,removed_or_merged
14,2,8.2751,0.82809,0.00466,0,0,0.828151,6.1e-05,removed_or_merged
15,2,8.4845,0.81876,0.00933,1,0,0.816807,-0.001953,kept
16,2,8.7462,0.80478,0.01398,1,4,0.804795,1.5e-05,kept
17,2,9.7408,0.78963,0.01515,1,14,0.78961,-2e-05,kept
18,2,10.2119,0.76632,0.02331,2,0,0.75924,-0.00708,kept
19,2,10.5783,0.75699,0.00933,0,0,0.75924,0.00225,removed_or_merged
20,2,11.2588,0.74883,0.00816,0,0,0.75924,0.01041,removed_or_merged
21,2,11.5205,0.74068,0.00815,1,4,0.742735,0.002055,kept
22,2,11.9393,0.73368,0.007,1,0,0.72623,-0.00745,kept
23,3,12.2533,0.72436,0.00932,0,0,0.72623,0.00187,removed_or_merged
24,3,13.1955,0.69872,0.02564,2,0,0.69322,-0.0055,kept
25,3,13.5619,0.68357,0.01515,0,0,0.69322,0.00965,removed_or_merged
26,6,30.4692,0.62529,0.05828,1,0,0.606567,-0.018723,kept
27,6,30.5215,0.6183,0.00699,0,0,0.606567,-0.011733,removed_or_merged
28,6,30.7309,0.57051,0.04779,0,0,0.606567,0.036057,removed_or_merged
