drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.5751,0.99126,0.00874,1,0,0.99115,-0.00011,kept
2,1,1.8368,0.98543,0.00583,1,0,0.982301,-0.003129,kept
3,1,2.0985,0.98077,0.00466,0,0,0.982301,0.001531,removed_or_merged
4,1,2.1508,0.96911,0.01166,2,0,0.964602,-0.004508,kept
5,1,2.4126,0.96096,0.00815,1,0,0.955752,-0.005208,kept
6,1,2.4649,0.94347,0.01749,0,0,0.955752,0.012282,removed_or_merged
7,1,3.0407,0.93765,0.00582,0,0,0.955752,0.018102,removed_or_merged
8,1,3.3024,0.92949,0.00816,2,25,0.932722,0.003232,kept
9,1,3.6165,0.92249,0.007,0,0,0.932722,0.010232,removed_or_merged
10,1,3.6688,0.9155,0.00699,2,0,0.909692,-0.005808,kept
11,1,3.9306,0.90967,0.00583,0,0,0.909692,2.2e-05,removed_or_merged
12,1,4.0352,0.88869,0.02098,3,0,0.875147,-0.013543,kept
13,1,4.0876,0.86772,0.02097,1,0,0.863632,-0.004088,kept
14,1,4.297,0.85373,0.01399,0,0,0.863632,0.009902,removed_or_merged
15,1,4.3493,0.82692,0.02681,2,0,0.840601,0.013681,kept
16,1,4.454,0.80711,0.01981,4,0,0.794541,-0.012569,kept
17,1,4.611,0.80245,0.00466,1,0,0.783026,-0.019424,kept
18,1,4.6634,0.78147,0.02098,0,0,0.783026,0.001556,removed_or_merged
19,1,4.7157,0.77681,0.00466,2,0,0.759996,-0.016814,kept
20,1,4.9251,0.76515,0.01166,0,0,0.759996,-0.005154,removed_or_merged
21,1,5.1345,0.74242,0.02273,1,0,0.748481,0.006061,kept
22,1,5.7626,0.73485,0.00757,1,0,0.736966,0.002116,kept
23,1,5.8673,0.71737,0.01748,0,0,0.736966,0.019596,removed_or_merged
24,1,5.972,0.7127,0.00467,2,0,0.713935,0.001235,kept
25,2,6.0767,0.70804,0.00466,0,0,0.713935,0.005895,removed_or_merged
26,2,6.129,0.6824,0.02564,3,0,0.67939,-0.00301,kept
27,2,6.1814,0.67075,0.01165,1,0,0.667875,-0.002875,kept
28,2,6.2337,0.63228,0.03847,4,0,0.621815,-0.010465,kept
29,2,6.2861,0.60548,0.0268,2,0,0.598785,-0.006695,kept
30,2,6.3384,0.59382,0.01166,0,0,0.598785,0.004965,removed_or_merged
31,2,6.4169,0.588,0.00582,1,0,0.587269,-0.000731,kept
32,2,6.4954,0.5507,0.0373,3,3,0.550565,-0.000135,kept
33,2,6.5478,0.53671,0.01399,3,0,0.513861,-0.022849,kept
34,2,7.1759,0.51923,0.01748,0,0,0.513861,-0.005369,removed_or_merged
35,2,7.3329,0.50991,0.00932,1,0,0.501626,-0.008284,kept
36,2,7.3853,0.50291,0.007,0,0,0.501626,-0.001284,removed_or_merged
37,2,7.647,0.49592,0.00699,0,0,0.501626,0.005706,removed_or_merged
38,2,7.804,0.48077,0.01515,0,0,0.501626,0.020856,removed_or_merged
39,2,8.1181,0.47378,0.00699,2,5,0.473758,-2.2e-05,kept
40,2,8.1705,0.45979,0.01399,0,0,0.473758,0.013968,removed_or_merged
41,2,8.3798,0.4528,0.00699,2,0,0.44589,-0.00691,kept
42,2,8.4322,0.43823,0.01457,1,0,0.431956,-0.006274,kept
43,2,8.5369,0.43065,0.00758,0,0,0.431956,0.001306,removed_or_merged
44,2,8.5892,0.42366,0.00699,1,0,0.418022,-0.005638,kept
45,2,8.6939,0.41667,0.00699,1,0,0.404088,-0.012582,kept
46,2,8.7462,0.40967,0.007,0,0,0.404088,-0.005582,removed_or_merged
47,2,9.7408,0.40501,0.00466,0,0,0.404088,-0.000922,removed_or_merged
48,2,10.0025,0.39452,0.01049,0,0,0.404088,0.009568,removed_or_merged
49,2,10.8924,0.38636,0.00816,1,3,0.388546,0.002186,kept
50,2,11.1541,0.37937,0.00699,1,0,0.373004,-0.006366,kept
51,3,12.0439,0.36422,0.01515,0,0,0.373004,0.008784,removed_or_merged
52,3,12.4627,0.35606,0.00816,2,0,0.34192,-0.01414,kept
53,3,12.7244,0.34674,0.00932,0,0,0.34192,-0.00482,removed_or_merged
54,3,13.719,0.34207,0.00467,1,0,0.326378,-0.015692,kept
55,3,13.876,0.32692,0.01515,0,0,0.326378,-0.000542,removed_or_merged
56,3,13.9283,0.31527,0.01165,2,0,0.295295,-0.019975,kept
57,3,14.1377,0.30594,0.00933,0,0,0.295295,-0.010645,removed_or_merged
58,4,20.0003,0.30245,0.00349,0,0,0.295295,-0.007155,removed_or_merged
59,5,24.0832,0.26865,0.0338,0,0,0.295295,0.026645,removed_or_merged
60,5,24.3449,0.23019,0.03846,1,0,0.221471,-0.008719,kept
