drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.5751,0.99126,0.00874,1,0,0.99115,-0.00011,kept
2,1,1.8368,0.98543,0.00583,2,0,0.973451,-0.011979,kept
3,1,2.0985,0.98077,0.00466,0,0,0.973451,-0.007319,removed_or_merged
4,1,2.1508,0.96911,0.01166,0,0,0.973451,0.004341,removed_or_merged
5,1,2.4126,0.96096,0.00815,0,0,0.973451,0.012491,removed_or_merged
6,1,2.4649,0.94347,0.01749,3,13,0.943345,-0.000125,kept
7,1,3.0407,0.93765,0.00582,0,0,0.943345,0.005695,removed_or_merged
8,1,3.3024,0.92949,0.00816,0,0,0.943345,0.013855,removed_or_merged
9,1,3.6165,0.92249,0.007,2,4,0.922381,-0.000109,kept
10,1,3.6688,0.9155,0.00699,0,0,0.922381,0.006881,removed_or_merged
11,1,3.9306,0.90967,0.00583,2,0,0.901418,-0.008252,kept
12,1,4.0352,0.88869,0.02098,2,0,0.880455,-0.008235,kept
13,1,4.0876,0.86772,0.02097,0,0,0.880455,0.012735,removed_or_merged
14,1,4.297,0.85373,0.01399,4,0,0.838529,-0.015201,kept
15,1,4.3493,0.82692,0.02681,1,7,0.827042,0.000122,kept
16,1,4.454,0.80711,0.01981,1,0,0.815555,0.008445,kept
17,1,4.611,0.80245,0.00466,1,0,0.804068,0.001618,kept
18,1,4.6634,0.78147,0.02098,2,0,0.781095,-0.000375,kept
19,1,4.7157,0.77681,0.00466,1,0,0.769608,-0.007202,kept
20,1,4.9251,0.76515,0.01166,1,0,0.758122,-0.007028,kept
21,1,5.1345,0.74242,0.02273,1,0,0.746635,0.004215,kept
22,1,5.7626,0.73485,0.00757,1,0,0.735148,0.000298,kept
23,1,5.8673,0.71737,0.01748,2,0,0.712175,-0.005195,kept
24,1,5.972,0.7127,0.00467,0,0,0.712175,-0.000525,removed_or_merged
25,2,6.0767,0.70804,0.00466,1,0,0.700688,-0.007352,kept
26,2,6.129,0.6824,0.02564,2,0,0.677715,-0.004685,kept
27,2,6.1814,0.67075,0.01165,0,0,0.677715,0.006965,removed_or_merged
28,2,6.2337,0.63228,0.03847,4,0,0.631768,-0.000512,kept
29,2,6.2861,0.60548,0.0268,3,0,0.597308,-0.008172,kept
30,2,6.3384,0.59382,0.01166,0,0,0.597308,0.003488,removed_or_merged
31,2,6.4169,0.588,0.00582,2,0,0.574335,-0.013665,kept
32,2,6.4954,0.5507,0.0373,1,12,0.559221,0.008521,kept
33,2,6.5478,0.53671,0.01399,2,0,0.528992,-0.007718,kept
34,2,7.1759,0.51923,0.01748,0,0,0.528992,0.009762,removed_or_merged
35,2,7.3329,0.50991,0.00932,1,0,0.513878,0.003968,kept
36,2,7.3853,0.50291,0.007,1,0,0.498764,-0.004146,kept
37,2,7.647,0.49592,0.00699,0,0,0.498764,0.002844,removed_or_merged
38,2,7.804,0.48077,0.01515,2,0,0.468536,-0.012234,kept
39,2,8.1181,0.47378,0.00699,0,0,0.468536,-0.005244,removed_or_merged
40,2,8.1705,0.45979,0.01399,0,0,0.468536,0.008746,removed_or_merged
41,2,8.3798,0.4528,0.00699,1,0,0.453422,0.000622,kept
42,2,8.4322,0.43823,0.01457,1,0,0.438308,7.8e-05,kept
43,2,8.5369,0.43065,0.00758,0,0,0.438308,0.007658,removed_or_merged
44,2,8.5892,0.42366,0.00699,1,0,0.423194,-0.000466,kept
45,2,8.6939,0.41667,0.00699,1,0,0.40808,-0.00859,kept
46,2,8.7462,0.40967,0.007,0,0,0.40808,-0.00159,removed_or_merged
47,2,9.7408,0.40501,0.00466,1,0,0.392966,-0.012044,kept
48,2,10.0025,0.39452,0.01049,0,0,0.392966,-0.001554,removed_or_merged
49,2,10.8924,0.38636,0.00816,0,0,0.392966,0.006606,removed_or_merged
50,2,11.1541,0.37937,0.00699,2,0,0.362738,-0.016632,kept
51,3,12.0439,0.36422,0.01515,0,0,0.362738,-0.001482,removed_or_merged
52,3,12.4627,0.35606,0.00816,1,0,0.347624,-0.008436,kept
53,3,12.7244,0.34674,0.00932,0,0,0.347624,0.000884,removed_or_merged
54,3,13.719,0.34207,0.00467,0,0,0.347624,0.005554,removed_or_merged
55,3,13.876,0.32692,0.01515,2,0,0.317395,-0.009525,kept
56,3,13.9283,0.31527,0.01165,0,0,0.317395,0.002125,removed_or_merged
57,3,14.1377,0.30594,0.00933,2,0,0.287167,-0.018773,kept
58,4,20.0003,0.30245,0.00349,0,0,0.287167,-0.015283,removed_or_merged
59,5,24.0832,0.26865,0.0338,0,0,0.287167,0.018517,removed_or_merged
60,5,24.3449,0.23019,0.03846,1,0,0.215375,-0.014815,kept
