interval,time,events
0,1.5751,1
0,2.1508,1
0,2.4126,1
0,2.4649,2
0,3.3024,1
0,3.6165,1
0,3.6688,1
0,4.0352,2
0,4.0876,2
0,4.297,2
0,4.3493,3
0,4.454,2
0,4.6634,2
0,4.9251,1
0,5.1345,3
0,5.7626,1
0,5.8673,2
1,6.129,2
1,6.1814,1
1,6.2337,3
1,6.2861,2
1,6.3384,1
1,6.4954,3
1,6.5478,1
1,7.1759,2
1,7.3329,1
1,7.3853,1
1,7.804,1
1,8.1705,1
1,8.4322,1
1,8.5369,1
1,8.7462,1
1,10.0025,1
1,10.8924,1
2,12.0439,1
2,12.4627,1
2,12.7244,1
2,13.876,1
2,13.9283,1
2,14.1377,1
4,24.3449,1
