arm,interval,time,events
pembro_chemo,1,0.6165,6
pembro_chemo,1,1.5056,2
pembro_chemo,1,1.9241,1
pembro_chemo,1,2.1333,2
pembro_chemo,1,2.4471,5
pembro_chemo,1,2.604,2
pembro_chemo,1,3.8593,5
pembro_chemo,1,4.2254,3
pembro_chemo,1,4.33,6
pembro_chemo,1,5.0623,3
pembro_chemo,1,5.4807,4
pembro_chemo,1,5.9515,4
pembro_chemo,2,6.0561,6
pembro_chemo,2,6.1607,1
pembro_chemo,2,6.3176,2
pembro_chemo,2,6.3699,2
pembro_chemo,2,6.4745,4
pembro_chemo,2,6.5791,1
pembro_chemo,2,7.0498,3
pembro_chemo,2,7.7298,1
pembro_chemo,2,7.939,1
pembro_chemo,2,7.9913,2
pembro_chemo,2,8.1482,1
pembro_chemo,2,8.2005,2
pembro_chemo,2,8.2528,4
pembro_chemo,2,8.462,3
pembro_chemo,2,8.6189,5
pembro_chemo,2,8.9851,1
pembro_chemo,2,9.1943,1
pembro_chemo,2,9.2989,1
pembro_chemo,2,9.6127,1
pembro_chemo,2,9.665,1
pembro_chemo,2,10.2404,2
pembro_chemo,2,10.3973,1
pembro_chemo,2,10.4496,3
pembro_chemo,2,10.6065,1
pembro_chemo,2,10.7634,1
pembro_chemo,2,11.0249,4
pembro_chemo,2,11.2864,1
pembro_chemo,2,11.6003,2
pembro_chemo,3,12.7509,1
pembro_chemo,3,12.8032,1
pembro_chemo,3,13.0125,1
pembro_chemo,3,13.1694,1
pembro_chemo,3,13.274,1
pembro_chemo,3,13.4309,1
pembro_chemo,3,13.4832,1
pembro_chemo,3,13.6924,1
pembro_chemo,3,13.9016,1
pembro_chemo,3,14.7385,1
pembro_chemo,3,14.9477,1
pembro_chemo,3,15.2615,1
pembro_chemo,3,15.4707,1
pembro_chemo,4,18.4521,1
pembro_chemo,4,18.6613,1
pembro_chemo,4,19.0797,1
pembro_chemo,4,19.132,1
pembro_chemo,4,19.3935,1
pembro_chemo,5,26.9776,1
pembro_chemo,5,27.1868,1
placebo_chemo,1,0.9041,2
placebo_chemo,1,1.5841,3
placebo_chemo,1,1.8195,5
placebo_chemo,1,1.8718,2
placebo_chemo,1,1.9241,2
placebo_chemo,1,2.0287,5
placebo_chemo,1,2.2117,2
placebo_chemo,1,2.2902,3
placebo_chemo,1,2.7086,1
placebo_chemo,1,3.0747,1
placebo_chemo,1,3.6239,3
placebo_chemo,1,3.807,2
placebo_chemo,1,3.9116,3
placebo_chemo,1,4.0162,1
placebo_chemo,1,4.1731,2
placebo_chemo,1,4.2254,5
placebo_chemo,1,4.2777,4
placebo_chemo,1,4.4346,4
placebo_chemo,1,4.6439,4
placebo_chemo,1,4.8531,2
placebo_chemo,1,4.9054,3
placebo_chemo,1,5.1146,2
placebo_chemo,1,5.2192,2
placebo_chemo,1,5.3761,1
placebo_chemo,1,5.7684,1
placebo_chemo,1,5.8991,6
placebo_chemo,1,5.9515,3
placebo_chemo,2,6.0038,2
placebo_chemo,2,6.1084,1
placebo_chemo,2,6.213,3
placebo_chemo,2,6.2653,3
placebo_chemo,2,6.3176,5
placebo_chemo,2,6.3699,1
placebo_chemo,2,6.6837,2
placebo_chemo,2,6.8406,2
placebo_chemo,2,6.8929,2
placebo_chemo,2,7.2067,1
placebo_chemo,2,7.8867,1
placebo_chemo,2,7.9913,2
placebo_chemo,2,8.2005,7
placebo_chemo,2,8.4097,6
placebo_chemo,2,8.462,3
placebo_chemo,2,8.6189,1
placebo_chemo,2,8.6712,3
placebo_chemo,2,8.8805,1
placebo_chemo,2,8.9851,1
placebo_chemo,2,9.3512,1
placebo_chemo,2,9.5604,1
placebo_chemo,2,10.2404,1
placebo_chemo,2,10.3973,2
placebo_chemo,2,10.4496,1
placebo_chemo,2,10.5542,1
placebo_chemo,2,10.6065,1
placebo_chemo,2,10.7111,2
placebo_chemo,2,10.868,2
placebo_chemo,2,10.9203,2
placebo_chemo,2,10.9726,2
placebo_chemo,2,11.0772,3
placebo_chemo,2,11.1295,1
placebo_chemo,2,11.1818,6
placebo_chemo,2,11.3387,1
placebo_chemo,2,11.391,1
placebo_chemo,2,11.4433,3
placebo_chemo,2,11.6526,2
placebo_chemo,3,12.3848,1
placebo_chemo,3,12.5417,1
placebo_chemo,3,13.1694,1
placebo_chemo,3,13.3263,1
placebo_chemo,3,13.5355,1
placebo_chemo,3,13.5878,1
placebo_chemo,3,13.7447,1
placebo_chemo,3,13.797,1
placebo_chemo,3,13.9539,1
placebo_chemo,3,14.1631,1
placebo_chemo,3,14.6339,1
placebo_chemo,3,16.1245,1
placebo_chemo,3,16.3076,1
placebo_chemo,3,16.4645,1
placebo_chemo,3,17.406,1
placebo_chemo,3,17.6152,1
placebo_chemo,4,19.0274,1
placebo_chemo,4,19.1843,1
placebo_chemo,4,19.2366,1
placebo_chemo,4,19.3935,1
placebo_chemo,4,21.0672,1
placebo_chemo,4,21.2765,1
