arm,x_pixel,y_pixel,time_months,survival
pembro_chemo,110.00,24.00,0.1719,1.00116
pembro_chemo,111.00,24.00,0.1980,1.00116
pembro_chemo,112.00,24.00,0.2242,1.00116
pembro_chemo,115.00,24.00,0.3026,1.00116
pembro_chemo,116.00,24.00,0.3288,1.00116
pembro_chemo,117.00,24.00,0.3549,1.00116
pembro_chemo,118.00,24.00,0.3811,1.00116
pembro_chemo,123.00,27.50,0.5119,0.99711
pembro_chemo,124.00,27.50,0.5380,0.99711
pembro_chemo,125.00,26.50,0.5642,0.99827
pembro_chemo,126.00,25.50,0.5903,0.99942
pembro_chemo,127.00,41.50,0.6165,0.98092
pembro_chemo,128.00,41.50,0.6426,0.98092
pembro_chemo,143.00,36.50,1.0349,0.98671
pembro_chemo,144.00,37.50,1.0610,0.98555
pembro_chemo,145.00,38.00,1.0872,0.98497
pembro_chemo,146.00,38.00,1.1134,0.98497
pembro_chemo,147.00,38.00,1.1395,0.98497
pembro_chemo,148.00,38.00,1.1657,0.98497
pembro_chemo,161.00,48.50,1.5056,0.97283
pembro_chemo,162.00,48.50,1.5318,0.97283
pembro_chemo,163.00,48.50,1.5579,0.97283
pembro_chemo,164.00,48.50,1.5841,0.97283
pembro_chemo,171.00,45.50,1.7671,0.97630
pembro_chemo,172.00,45.50,1.7933,0.97630
pembro_chemo,173.00,45.50,1.8195,0.97630
pembro_chemo,174.00,44.00,1.8456,0.97803
pembro_chemo,175.00,47.00,1.8718,0.97457
pembro_chemo,176.00,49.00,1.8979,0.97225
pembro_chemo,177.00,55.00,1.9241,0.96532
pembro_chemo,178.00,53.00,1.9502,0.96763
pembro_chemo,179.00,52.00,1.9764,0.96879
pembro_chemo,180.00,50.50,2.0025,0.97052
pembro_chemo,181.00,48.00,2.0287,0.97341
pembro_chemo,182.00,49.00,2.0548,0.97225
pembro_chemo,183.00,53.00,2.0810,0.96763
pembro_chemo,184.00,53.50,2.1071,0.96705
pembro_chemo,185.00,57.50,2.1333,0.96243
pembro_chemo,186.00,57.50,2.1594,0.96243
pembro_chemo,197.00,72.50,2.4471,0.94509
pembro_chemo,198.00,72.50,2.4732,0.94509
pembro_chemo,199.00,69.50,2.4994,0.94855
pembro_chemo,200.00,69.50,2.5256,0.94855
pembro_chemo,203.00,77.50,2.6040,0.93931
pembro_chemo,204.00,77.50,2.6302,0.93931
pembro_chemo,205.00,77.50,2.6563,0.93931
pembro_chemo,206.00,77.50,2.6825,0.93931
pembro_chemo,223.00,71.50,3.1270,0.94624
pembro_chemo,224.00,71.50,3.1532,0.94624
pembro_chemo,225.00,73.50,3.1794,0.94393
