arm,start_time_months,end_time_months,survival
pembro_chemo,0.1719,0.5903,1.00000
pembro_chemo,0.6165,1.1657,0.98497
pembro_chemo,1.5056,2.1594,0.96243
pembro_chemo,2.4471,2.5256,0.94682
pembro_chemo,2.6040,3.4147,0.93931
pembro_chemo,3.8593,4.2516,0.92081
pembro_chemo,4.2777,4.3562,0.90925
pembro_chemo,4.3823,4.6700,0.89191
pembro_chemo,4.6962,4.9315,0.88555
pembro_chemo,5.0623,5.4546,0.87977
pembro_chemo,5.4807,6.0299,0.85029
pembro_chemo,6.0561,6.1084,0.82601
pembro_chemo,6.1345,6.3960,0.78671
pembro_chemo,6.4745,7.0237,0.76358
pembro_chemo,7.0498,7.5467,0.75202
pembro_chemo,7.5729,7.7559,0.74104
pembro_chemo,7.7821,7.9651,0.73642
pembro_chemo,7.9913,8.1744,0.71387
pembro_chemo,8.2005,8.2790,0.70520
pembro_chemo,8.3051,8.4359,0.68728
pembro_chemo,8.4620,8.5928,0.66416
pembro_chemo,8.6189,8.9589,0.63757
pembro_chemo,8.9851,9.2727,0.63179
pembro_chemo,9.2989,9.5866,0.62139
pembro_chemo,9.6127,10.0573,0.60983
pembro_chemo,10.0834,10.2142,0.60520
pembro_chemo,10.2404,10.4234,0.59017
pembro_chemo,10.4496,10.5803,0.57803
pembro_chemo,10.6065,10.7372,0.56936
pembro_chemo,10.7634,10.9988,0.56243
pembro_chemo,11.0249,11.2080,0.55549
pembro_chemo,11.2864,11.5741,0.53353
pembro_chemo,11.6003,12.7771,0.52312
pembro_chemo,12.8032,12.9863,0.51040
pembro_chemo,13.0125,13.0909,0.49884
pembro_chemo,13.1694,13.4047,0.49075
pembro_chemo,13.4309,13.6663,0.47572
pembro_chemo,13.6924,14.7123,0.46416
pembro_chemo,14.7385,14.9215,0.45491
pembro_chemo,14.9477,15.2354,0.44913
pembro_chemo,15.2615,15.4446,0.44220
pembro_chemo,15.4707,18.4259,0.43295
pembro_chemo,18.4521,18.6351,0.42254
pembro_chemo,18.6613,19.1059,0.40058
pembro_chemo,19.1320,19.3151,0.38844
pembro_chemo,19.3935,26.9514,0.36127
pembro_chemo,26.9776,27.1606,0.33237
pembro_chemo,27.1868,30.2466,0.30694
