arm,x_pixel,y_pixel,time_months,survival
placebo_chemo,106.00,26.00,0.0673,0.99884
placebo_chemo,107.00,26.00,0.0934,0.99884
placebo_chemo,108.00,26.00,0.1196,0.99884
placebo_chemo,109.00,26.50,0.1457,0.99827
placebo_chemo,110.00,26.00,0.1719,0.99884
placebo_chemo,138.00,31.00,0.9041,0.99306
placebo_chemo,139.00,31.00,0.9303,0.99306
placebo_chemo,140.00,31.00,0.9564,0.99306
placebo_chemo,141.00,31.00,0.9826,0.99306
placebo_chemo,142.00,30.50,1.0087,0.99364
placebo_chemo,143.00,29.50,1.0349,0.99480
placebo_chemo,144.00,29.50,1.0610,0.99480
placebo_chemo,145.00,29.50,1.0872,0.99480
placebo_chemo,146.00,29.50,1.1134,0.99480
placebo_chemo,147.00,29.50,1.1395,0.99480
placebo_chemo,148.00,29.50,1.1657,0.99480
placebo_chemo,149.00,29.50,1.1918,0.99480
placebo_chemo,150.00,29.50,1.2180,0.99480
placebo_chemo,151.00,29.50,1.2441,0.99480
placebo_chemo,152.00,29.50,1.2703,0.99480
placebo_chemo,153.00,30.50,1.2964,0.99364
placebo_chemo,154.00,30.50,1.3226,0.99364
placebo_chemo,155.00,30.00,1.3487,0.99422
placebo_chemo,156.00,30.50,1.3749,0.99364
placebo_chemo,157.00,30.00,1.4010,0.99422
placebo_chemo,158.00,30.50,1.4272,0.99364
placebo_chemo,159.00,30.00,1.4533,0.99422
placebo_chemo,164.00,38.50,1.5841,0.98439
placebo_chemo,165.00,39.00,1.6102,0.98382
placebo_chemo,166.00,39.00,1.6364,0.98382
placebo_chemo,167.00,39.00,1.6625,0.98382
placebo_chemo,169.00,33.50,1.7148,0.99017
placebo_chemo,170.00,33.50,1.7410,0.99017
placebo_chemo,173.00,55.00,1.8195,0.96532
placebo_chemo,174.00,53.50,1.8456,0.96705
placebo_chemo,175.00,60.50,1.8718,0.95896
placebo_chemo,176.00,61.50,1.8979,0.95780
placebo_chemo,177.00,65.00,1.9241,0.95376
placebo_chemo,178.00,65.00,1.9502,0.95376
placebo_chemo,179.00,65.50,1.9764,0.95318
placebo_chemo,180.00,65.00,2.0025,0.95376
placebo_chemo,181.00,82.00,2.0287,0.93410
placebo_chemo,182.00,82.50,2.0548,0.93353
placebo_chemo,183.00,78.50,2.0810,0.93815
placebo_chemo,184.00,78.00,2.1071,0.93873
placebo_chemo,185.00,78.00,2.1333,0.93873
placebo_chemo,186.00,78.50,2.1594,0.93815
placebo_chemo,187.00,81.50,2.1856,0.93468
placebo_chemo,188.00,88.50,2.2117,0.92659
placebo_chemo,189.00,88.50,2.2379,0.92659
placebo_chemo,190.00,88.00,2.2640,0.92717
placebo_chemo,191.00,95.50,2.2902,0.91850
placebo_chemo,192.00,96.50,2.3163,0.91734
placebo_chemo,193.00,97.50,2.3425,0.91618
placebo_chemo,194.00,97.50,2.3686,0.91618
placebo_chemo,195.00,96.50,2.3948,0.91734
placebo_chemo,196.00,96.50,2.4209,0.91734
placebo_chemo,197.00,97.00,2.4471,0.91676
placebo_chemo,198.00,97.50,2.4732,0.91618
placebo_chemo,199.00,97.50,2.4994,0.91618
placebo_chemo,200.00,97.50,2.5256,0.91618
placebo_chemo,201.00,97.50,2.5517,0.91618
placebo_chemo,202.00,97.00,2.5779,0.91676
placebo_chemo,207.00,100.50,2.7086,0.91272
placebo_chemo,208.00,100.50,2.7348,0.91272
placebo_chemo,209.00,100.50,2.7609,0.91272
placebo_chemo,210.00,100.50,2.7871,0.91272
placebo_chemo,213.00,100.50,2.8655,0.91272
placebo_chemo,214.00,100.00,2.8917,0.91329
placebo_chemo,215.00,100.00,2.9178,0.91329
placebo_chemo,216.00,100.50,2.9440,0.91272
placebo_chemo,217.00,100.00,2.9701,0.91329
placebo_chemo,221.00,105.50,3.0747,0.90694
placebo_chemo,222.00,105.50,3.1009,0.90694
placebo_chemo,223.00,102.50,3.1270,0.91040
placebo_chemo,224.00,102.50,3.1532,0.91040
placebo_chemo,225.00,102.50,3.1794,0.91040
placebo_chemo,226.00,102.50,3.2055,0.91040
placebo_chemo,229.00,103.50,3.2840,0.90925
placebo_chemo,230.00,104.00,3.3101,0.90867
placebo_chemo,231.00,103.00,3.3363,0.90983
placebo_chemo,232.00,103.50,3.3624,0.90925
placebo_chemo,233.00,103.00,3.3886,0.90983
placebo_chemo,242.00,109.00,3.6239,0.90289
placebo_chemo,243.00,110.00,3.6501,0.90173
placebo_chemo,244.00,110.00,3.6762,0.90173
placebo_chemo,245.00,110.00,3.7024,0.90173
placebo_chemo,246.00,110.00,3.7285,0.90173
placebo_chemo,249.00,115.50,3.8070,0.89538
placebo_chemo,250.00,115.50,3.8331,0.89538
placebo_chemo,253.00,124.50,3.9116,0.88497
placebo_chemo,254.00,123.50,3.9378,0.88613
placebo_chemo,255.00,124.50,3.9639,0.88497
placebo_chemo,256.00,124.50,3.9901,0.88497
placebo_chemo,257.00,128.50,4.0162,0.88035
placebo_chemo,258.00,128.50,4.0424,0.88035
placebo_chemo,259.00,128.50,4.0685,0.88035
placebo_chemo,260.00,128.50,4.0947,0.88035
placebo_chemo,261.00,128.50,4.1208,0.88035
placebo_chemo,262.00,129.00,4.1470,0.87977
placebo_chemo,263.00,136.00,4.1731,0.87168
placebo_chemo,264.00,136.00,4.1993,0.87168
placebo_chemo,265.00,149.00,4.2254,0.85665
placebo_chemo,266.00,149.50,4.2516,0.85607
placebo_chemo,267.00,161.00,4.2777,0.84277
placebo_chemo,268.00,162.00,4.3039,0.84162
placebo_chemo,269.00,161.00,4.3300,0.84277
placebo_chemo,270.00,160.50,4.3562,0.84335
placebo_chemo,273.00,174.50,4.4346,0.82717
placebo_chemo,274.00,174.00,4.4608,0.82775
placebo_chemo,275.00,174.00,4.4869,0.82775
placebo_chemo,276.00,174.00,4.5131,0.82775
placebo_chemo,277.00,173.50,4.5392,0.82832
placebo_chemo,278.00,173.50,4.5654,0.82832
placebo_chemo,281.00,185.50,4.6439,0.81445
placebo_chemo,282.00,185.50,4.6700,0.81445
placebo_chemo,283.00,184.00,4.6962,0.81618
placebo_chemo,284.00,184.00,4.7223,0.81618
placebo_chemo,285.00,184.00,4.7485,0.81618
placebo_chemo,286.00,184.00,4.7746,0.81618
placebo_chemo,287.00,185.50,4.8008,0.81445
placebo_chemo,288.00,185.50,4.8269,0.81445
placebo_chemo,289.00,189.50,4.8531,0.80983
placebo_chemo,290.00,189.50,4.8792,0.80983
placebo_chemo,291.00,200.50,4.9054,0.79711
placebo_chemo,292.00,200.50,4.9315,0.79711
placebo_chemo,293.00,201.50,4.9577,0.79595
placebo_chemo,294.00,201.50,4.9838,0.79595
placebo_chemo,295.00,199.50,5.0100,0.79827
placebo_chemo,296.00,199.50,5.0361,0.79827
placebo_chemo,297.00,199.50,5.0623,0.79827
placebo_chemo,298.00,199.50,5.0884,0.79827
placebo_chemo,299.00,205.50,5.1146,0.79133
placebo_chemo,300.00,205.50,5.1407,0.79133
placebo_chemo,301.00,204.50,5.1669,0.79249
placebo_chemo,302.00,204.50,5.1930,0.79249
placebo_chemo,303.00,210.00,5.2192,0.78613
placebo_chemo,304.00,210.50,5.2453,0.78555
placebo_chemo,305.00,210.50,5.2715,0.78555
placebo_chemo,306.00,210.50,5.2977,0.78555
placebo_chemo,307.00,211.50,5.3238,0.78439
placebo_chemo,308.00,210.50,5.3500,0.78555
placebo_chemo,309.00,215.50,5.3761,0.77977
placebo_chemo,310.00,215.50,5.4023,0.77977
placebo_chemo,324.00,219.00,5.7684,0.77572
