arm,start_time_months,end_time_months,survival
placebo_chemo,0.0673,0.1719,0.99884
placebo_chemo,0.9041,1.4533,0.99422
placebo_chemo,1.5841,1.6625,0.98382
placebo_chemo,1.7148,1.741,0.99017
placebo_chemo,1.8195,1.8456,0.966185
placebo_chemo,1.8718,1.8979,0.95838
placebo_chemo,1.9241,2.0025,0.95376
placebo_chemo,2.0287,2.0548,0.9338150000000001
placebo_chemo,2.081,2.1856,0.93815
placebo_chemo,2.2117,2.264,0.92659
placebo_chemo,2.2902,2.5779,0.91647
placebo_chemo,2.7086,2.9701,0.91272
placebo_chemo,3.0747,3.3886,0.90983
placebo_chemo,3.6239,3.7285,0.90173
placebo_chemo,3.807,3.8331,0.89538
placebo_chemo,3.9116,3.9901,0.88497
placebo_chemo,4.0162,4.147,0.88035
placebo_chemo,4.1731,4.1993,0.87168
placebo_chemo,4.2254,4.2516,0.85636
placebo_chemo,4.2777,4.3562,0.84277
placebo_chemo,4.4346,4.5654,0.82775
placebo_chemo,4.6439,4.8269,0.815315
placebo_chemo,4.8531,4.8792,0.80983
placebo_chemo,4.9054,5.0884,0.79769
placebo_chemo,5.1146,5.193,0.79191
placebo_chemo,5.2192,5.35,0.78555
placebo_chemo,5.3761,5.4023,0.77977
placebo_chemo,5.7684,5.873,0.77572
placebo_chemo,5.8991,5.9253,0.7578
placebo_chemo,5.9515,5.9776,0.7474
placebo_chemo,6.0038,6.0299,0.73699
placebo_chemo,6.0561,6.0822,0.74162
placebo_chemo,6.1084,6.1868,0.731215
placebo_chemo,6.213,6.2391,0.710115
placebo_chemo,6.2653,6.2914,0.69249
placebo_chemo,6.3176,6.3437,0.666475
placebo_chemo,6.3699,6.5529,0.65954
placebo_chemo,6.6837,6.8145,0.64566
placebo_chemo,6.8406,6.8668,0.63873
placebo_chemo,6.8929,6.9191,0.62717
placebo_chemo,6.9452,6.9714,0.63873
placebo_chemo,6.9975,7.0237,0.64682
placebo_chemo,7.1021,7.1806,0.627745
placebo_chemo,7.2067,7.3375,0.6237
placebo_chemo,7.4683,7.8082,0.6237
placebo_chemo,7.8867,7.9651,0.61676
placebo_chemo,7.9913,8.1744,0.601445
placebo_chemo,8.2005,8.3836,0.5595399999999999
placebo_chemo,8.4097,8.4359,0.52543
placebo_chemo,8.462,8.5928,0.5104
placebo_chemo,8.6189,8.6451,0.50347
placebo_chemo,8.6712,8.8543,0.48728
placebo_chemo,8.8805,8.9066,0.48266
placebo_chemo,8.9851,9.325,0.47688
placebo_chemo,9.3512,9.5343,0.46879
placebo_chemo,9.5604,9.9527,0.46532
placebo_chemo,10.0834,10.2142,0.46532
placebo_chemo,10.2404,10.3711,0.45607
placebo_chemo,10.3973,10.4234,0.44798
placebo_chemo,10.4496,10.528,0.441615
placebo_chemo,10.5542,10.5803,0.43642
placebo_chemo,10.6065,10.6849,0.42601500000000003
placebo_chemo,10.7111,10.8419,0.41676
placebo_chemo,10.868,10.8942,0.4052
placebo_chemo,10.9203,10.9465,0.39133
placebo_chemo,10.9726,11.0511,0.383815
placebo_chemo,11.0772,11.1034,0.3659
placebo_chemo,11.1295,11.1557,0.36127
placebo_chemo,11.1818,11.208,0.32543
placebo_chemo,11.2341,11.2603,0.33006
placebo_chemo,11.2864,11.3126,0.32543
placebo_chemo,11.3387,11.3649,0.31965
placebo_chemo,11.391,11.4172,0.31503
placebo_chemo,11.4433,11.6264,0.29566499999999996
placebo_chemo,11.6526,12.3587,0.28382
placebo_chemo,12.3848,12.5156,0.28035
placebo_chemo,12.5417,13.1432,0.27572
placebo_chemo,13.1694,13.3001,0.26763
placebo_chemo,13.3263,13.5093,0.26301
placebo_chemo,13.5355,13.5617,0.25491
placebo_chemo,13.5878,13.7186,0.24566
placebo_chemo,13.7447,13.7709,0.23873
placebo_chemo,13.797,13.9278,0.22832
placebo_chemo,13.9539,14.0324,0.2237
placebo_chemo,14.0585,14.0847,0.22948
placebo_chemo,14.1108,14.137,0.22254
placebo_chemo,14.1631,14.6077,0.21676
placebo_chemo,14.6339,14.66,0.20289
placebo_chemo,14.6862,14.7123,0.22023
placebo_chemo,14.7385,14.8169,0.210405
placebo_chemo,14.8431,16.0984,0.20636
placebo_chemo,16.1245,16.2814,0.20058
placebo_chemo,16.3076,16.4384,0.19133
placebo_chemo,16.4645,17.3798,0.18555
placebo_chemo,17.406,17.589,0.1763
placebo_chemo,17.6152,18.269,0.16936
placebo_chemo,18.3998,19.0012,0.16878500000000002
placebo_chemo,19.0274,19.1582,0.16069
placebo_chemo,19.1843,19.2105,0.15434
placebo_chemo,19.2366,19.2628,0.14624
placebo_chemo,19.2889,19.3151,0.15202
placebo_chemo,19.3412,19.3674,0.14509
placebo_chemo,19.3935,21.0411,0.13526
placebo_chemo,21.0672,21.2503,0.12197
placebo_chemo,21.2765,30.7173,0.10809
