arm,time_months,survival
placebo_chemo,0.0673,0.99306
placebo_chemo,1.4533,0.99306
placebo_chemo,1.5841,0.99306
placebo_chemo,1.5841,0.96618
placebo_chemo,1.8456,0.96618
placebo_chemo,1.8718,0.96618
placebo_chemo,1.8718,0.95376
placebo_chemo,2.0025,0.95376
placebo_chemo,2.0287,0.95376
placebo_chemo,2.0287,0.93815
placebo_chemo,2.1856,0.93815
placebo_chemo,2.2117,0.93815
placebo_chemo,2.2117,0.92659
placebo_chemo,2.2640,0.92659
placebo_chemo,2.2902,0.92659
placebo_chemo,2.2902,0.91618
placebo_chemo,2.9701,0.91618
placebo_chemo,3.0747,0.91618
placebo_chemo,3.0747,0.91040
placebo_chemo,3.3886,0.91040
placebo_chemo,3.6239,0.91040
placebo_chemo,3.6239,0.89538
placebo_chemo,3.8331,0.89538
placebo_chemo,3.9116,0.89538
placebo_chemo,3.9116,0.85636
placebo_chemo,4.2516,0.85636
placebo_chemo,4.2777,0.85636
placebo_chemo,4.2777,0.84277
placebo_chemo,4.3562,0.84277
placebo_chemo,4.4346,0.84277
placebo_chemo,4.4346,0.82775
placebo_chemo,4.5654,0.82775
placebo_chemo,4.6439,0.82775
placebo_chemo,4.6439,0.80983
placebo_chemo,4.8792,0.80983
placebo_chemo,4.9054,0.80983
placebo_chemo,4.9054,0.79711
placebo_chemo,5.1930,0.79711
placebo_chemo,5.2192,0.79711
placebo_chemo,5.2192,0.78555
placebo_chemo,5.3500,0.78555
placebo_chemo,5.3761,0.78555
placebo_chemo,5.3761,0.75780
placebo_chemo,5.9253,0.75780
placebo_chemo,5.9515,0.75780
placebo_chemo,5.9515,0.74451
placebo_chemo,6.0299,0.74451
placebo_chemo,6.0561,0.74451
placebo_chemo,6.0561,0.72948
placebo_chemo,6.1868,0.72948
placebo_chemo,6.2130,0.72948
placebo_chemo,6.2130,0.69249
placebo_chemo,6.2914,0.69249
placebo_chemo,6.3176,0.69249
placebo_chemo,6.3176,0.66647
placebo_chemo,6.3437,0.66647
placebo_chemo,6.3699,0.66647
placebo_chemo,6.3699,0.65954
placebo_chemo,6.5529,0.65954
placebo_chemo,6.6837,0.65954
placebo_chemo,6.6837,0.64566
placebo_chemo,6.8145,0.64566
placebo_chemo,6.8406,0.64566
placebo_chemo,6.8406,0.63873
placebo_chemo,7.0237,0.63873
placebo_chemo,7.1021,0.63873
placebo_chemo,7.1021,0.62370
placebo_chemo,7.6513,0.62370
placebo_chemo,7.6775,0.62370
placebo_chemo,7.6775,0.62023
placebo_chemo,7.9651,0.62023
placebo_chemo,7.9913,0.62023
placebo_chemo,7.9913,0.60000
placebo_chemo,8.1744,0.60000
placebo_chemo,8.2005,0.60000
placebo_chemo,8.2005,0.55954
placebo_chemo,8.3836,0.55954
placebo_chemo,8.4097,0.55954
placebo_chemo,8.4097,0.52543
placebo_chemo,8.4359,0.52543
placebo_chemo,8.4620,0.52543
placebo_chemo,8.4620,0.50347
placebo_chemo,8.6451,0.50347
placebo_chemo,8.6712,0.50347
placebo_chemo,8.6712,0.48728
placebo_chemo,8.9066,0.48728
placebo_chemo,8.9851,0.48728
placebo_chemo,8.9851,0.47688
placebo_chemo,9.3250,0.47688
placebo_chemo,9.3512,0.47688
placebo_chemo,9.3512,0.46879
placebo_chemo,9.5343,0.46879
placebo_chemo,9.5604,0.46879
placebo_chemo,9.5604,0.46416
placebo_chemo,10.2665,0.46416
placebo_chemo,10.2927,0.46416
placebo_chemo,10.2927,0.45607
placebo_chemo,10.3711,0.45607
placebo_chemo,10.3973,0.45607
placebo_chemo,10.3973,0.44566
placebo_chemo,10.4757,0.44566
placebo_chemo,10.5019,0.44566
placebo_chemo,10.5019,0.43815
placebo_chemo,10.5803,0.43815
placebo_chemo,10.6065,0.43815
placebo_chemo,10.6065,0.42601
placebo_chemo,10.6849,0.42601
placebo_chemo,10.7111,0.42601
placebo_chemo,10.7111,0.40520
placebo_chemo,10.8942,0.40520
placebo_chemo,10.9203,0.40520
placebo_chemo,10.9203,0.38208
placebo_chemo,11.0511,0.38208
placebo_chemo,11.0772,0.38208
placebo_chemo,11.0772,0.36358
placebo_chemo,11.1557,0.36358
placebo_chemo,11.1818,0.36358
placebo_chemo,11.1818,0.32543
placebo_chemo,11.3126,0.32543
placebo_chemo,11.3387,0.32543
placebo_chemo,11.3387,0.31734
placebo_chemo,11.4172,0.31734
placebo_chemo,11.4433,0.31734
placebo_chemo,11.4433,0.29595
placebo_chemo,11.6264,0.29595
placebo_chemo,11.6526,0.29595
placebo_chemo,11.6526,0.28382
placebo_chemo,12.5156,0.28382
placebo_chemo,12.5417,0.28382
placebo_chemo,12.5417,0.27341
placebo_chemo,13.1955,0.27341
placebo_chemo,13.2217,0.27341
placebo_chemo,13.2217,0.26301
placebo_chemo,13.4570,0.26301
placebo_chemo,13.4832,0.26301
placebo_chemo,13.4832,0.25723
placebo_chemo,13.5617,0.25723
placebo_chemo,13.5878,0.25723
placebo_chemo,13.5878,0.23873
placebo_chemo,13.7709,0.23873
placebo_chemo,13.7970,0.23873
placebo_chemo,13.7970,0.22601
placebo_chemo,14.0847,0.22601
placebo_chemo,14.1108,0.22601
placebo_chemo,14.1108,0.21676
placebo_chemo,14.5031,0.21676
placebo_chemo,14.5816,0.21676
placebo_chemo,14.5816,0.21214
placebo_chemo,14.8169,0.21214
placebo_chemo,14.8431,0.21214
placebo_chemo,14.8431,0.20636
placebo_chemo,16.2291,0.20636
placebo_chemo,16.2553,0.20636
placebo_chemo,16.2553,0.19538
placebo_chemo,16.3338,0.19538
placebo_chemo,16.3599,0.19538
placebo_chemo,16.3599,0.19133
placebo_chemo,16.4907,0.19133
placebo_chemo,16.5168,0.19133
placebo_chemo,16.5168,0.18439
placebo_chemo,17.3798,0.18439
placebo_chemo,17.4060,0.18439
placebo_chemo,17.4060,0.17630
placebo_chemo,17.5890,0.17630
placebo_chemo,17.6152,0.17630
placebo_chemo,17.6152,0.16821
placebo_chemo,19.0012,0.16821
placebo_chemo,19.0274,0.16821
placebo_chemo,19.0274,0.16069
placebo_chemo,19.1582,0.16069
placebo_chemo,19.1843,0.16069
placebo_chemo,19.1843,0.15318
placebo_chemo,19.2628,0.15318
placebo_chemo,19.2889,0.15318
placebo_chemo,19.2889,0.14566
placebo_chemo,19.3674,0.14566
placebo_chemo,19.3935,0.14566
placebo_chemo,19.3935,0.13468
placebo_chemo,21.0411,0.13468
placebo_chemo,21.0672,0.13468
placebo_chemo,21.0672,0.12197
placebo_chemo,21.2503,0.12197
placebo_chemo,21.2765,0.12197
placebo_chemo,21.2765,0.10809
placebo_chemo,30.7173,0.10809
