interval,time,events
1,1.5841,3
1,1.8195,5
1,1.8718,1
1,2.0287,6
1,2.2117,1
1,2.2902,3
1,3.6239,2
1,3.807,1
1,3.9116,3
1,4.1731,3
1,4.2254,4
1,4.2777,4
1,4.4346,4
1,4.6439,4
1,4.8531,1
1,4.9054,4
1,5.1146,1
1,5.2192,1
1,5.3761,1
1,5.8991,5
1,5.9515,3
2,6.0038,2
2,6.213,4
2,6.2653,3
2,6.3176,4
2,6.6837,2
2,6.8929,2
2,7.9913,3
2,8.2005,7
2,8.4097,6
2,8.462,3
2,8.6712,3
2,10.2404,2
2,10.6065,2
2,10.7111,2
2,10.868,2
2,10.9203,2
2,11.0772,3
2,11.1818,6
2,11.4433,3
2,11.6526,2
3,13.5355,1
3,13.5878,1
3,13.797,1
3,14.6339,2
3,16.3076,1
3,17.406,1
4,19.3935,1
4,21.0672,1
4,21.2765,1
