arm,pixel_x,pixel_y,time_months,survival,component_pixels
pembro_chemo_os_dmmr,194.77,34.15,0.0105,1.00022,13
pembro_chemo_os_dmmr,213.5,34.0,0.5066,1.00039,16
pembro_chemo_os_dmmr,214.13,44.47,0.5234,0.98914,15
pembro_chemo_os_dmmr,330.71,52.5,3.6114,0.98051,14
pembro_chemo_os_dmmr,332.5,41.29,3.6587,0.99256,14
pembro_chemo_os_dmmr,349.87,52.53,4.1187,0.98047,15
pembro_chemo_os_dmmr,351.0,62.27,4.1487,0.97001,15
pembro_chemo_os_dmmr,567.29,61.5,9.8777,0.97083,14
pembro_chemo_os_dmmr,571.12,75.69,9.9794,0.95559,16
pembro_chemo_os_dmmr,596.0,77.5,10.6382,0.95364,16
pembro_chemo_os_dmmr,596.71,91.5,10.6572,0.93859,14
pembro_chemo_os_dmmr,650.29,106.5,12.0762,0.92247,14
pembro_chemo_os_dmmr,651.71,92.5,12.114,0.93752,14
pembro_chemo_os_dmmr,781.6,108.4,15.5544,0.92043,15
pembro_chemo_os_dmmr,784.71,131.5,15.6369,0.8956,14
pembro_chemo_os_dmmr,1621.5,132.0,37.8016,0.89506,16
