drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.0066,0.99107,0.00893,1,1,0.991071,1e-06,kept
2,1,1.725,0.98078,0.01029,2,0,0.973214,-0.007566,kept
3,1,2.8773,0.97178,0.009,0,0,0.973214,0.001434,removed_or_merged
4,1,3.4955,0.96297,0.00881,2,0,0.955357,-0.007613,kept
5,1,3.9874,0.95115,0.01182,0,0,0.955357,0.004207,removed_or_merged
6,1,5.0291,0.94059,0.01056,3,0,0.928571,-0.012019,kept
7,2,6.5327,0.92999,0.0106,0,0,0.928571,-0.001419,removed_or_merged
8,2,7.6424,0.90386,0.02613,2,4,0.90381,-5e-05,kept
9,2,8.4398,0.88593,0.01793,2,0,0.879048,-0.006882,kept
10,2,8.8214,0.87378,0.01215,0,0,0.879048,0.005268,removed_or_merged
11,2,9.5112,0.85799,0.01579,2,0,0.854286,-0.003704,kept
12,2,10.1884,0.84364,0.01435,1,0,0.841905,-0.001735,kept
13,3,12.0889,0.82897,0.01467,1,0,0.824365,-0.004605,kept
14,3,13.7214,0.80437,0.0246,1,6,0.804259,-0.000111,kept
15,3,16.4376,0.76651,0.03786,1,19,0.765961,-0.000549,kept
16,5,27.18,0.76341,0.0031,0,0,0.765961,0.002551,removed_or_merged
