arm,pixel_x,pixel_y,time_months,survival,component_pixels
placebo_chemo_os_dmmr,200.62,33.62,0.1653,1.0008,13
placebo_chemo_os_dmmr,232.25,42.67,1.0032,0.99107,12
placebo_chemo_os_dmmr,232.5,33.5,1.0099,1.00093,12
placebo_chemo_os_dmmr,258.67,40.25,1.703,0.99367,12
placebo_chemo_os_dmmr,260.33,52.25,1.7471,0.98078,12
placebo_chemo_os_dmmr,302.62,53.38,2.8671,0.97956,13
placebo_chemo_os_dmmr,303.38,60.62,2.8875,0.97178,13
placebo_chemo_os_dmmr,326.18,68.82,3.4913,0.96297,11
placebo_chemo_os_dmmr,326.5,62.5,3.4997,0.96976,12
placebo_chemo_os_dmmr,344.82,79.82,3.9849,0.95115,11
placebo_chemo_os_dmmr,345.0,68.43,3.9898,0.96339,14
placebo_chemo_os_dmmr,383.38,78.62,5.0065,0.95244,13
placebo_chemo_os_dmmr,385.09,89.64,5.0517,0.94059,11
placebo_chemo_os_dmmr,440.5,91.0,6.5194,0.93913,12
placebo_chemo_os_dmmr,441.5,99.5,6.5459,0.92999,12
placebo_chemo_os_dmmr,482.62,101.38,7.6349,0.92797,13
placebo_chemo_os_dmmr,483.18,123.82,7.6499,0.90386,11
placebo_chemo_os_dmmr,512.5,140.5,8.4265,0.88593,12
placebo_chemo_os_dmmr,513.5,124.71,8.453,0.9029,14
placebo_chemo_os_dmmr,526.82,139.18,8.8058,0.88735,11
placebo_chemo_os_dmmr,528.0,151.8,8.8371,0.87378,10
placebo_chemo_os_dmmr,553.29,166.5,9.5068,0.85799,14
placebo_chemo_os_dmmr,553.62,152.62,9.5156,0.87291,13
placebo_chemo_os_dmmr,578.54,179.85,10.1757,0.84364,13
placebo_chemo_os_dmmr,579.5,167.5,10.2012,0.85691,12
placebo_chemo_os_dmmr,649.82,180.82,12.0638,0.8426,11
placebo_chemo_os_dmmr,651.71,193.5,12.114,0.82897,14
placebo_chemo_os_dmmr,711.18,197.18,13.6892,0.82501,11
placebo_chemo_os_dmmr,713.62,216.38,13.7536,0.80437,13
placebo_chemo_os_dmmr,813.5,215.71,16.3994,0.80509,14
placebo_chemo_os_dmmr,816.38,251.62,16.4758,0.76651,13
placebo_chemo_os_dmmr,1220.5,254.5,27.18,0.76341,12
placebo_chemo_os_dmmr,1508.33,253.25,34.8041,0.76475,12
