arm,x_pixel,y_pixel,time_months,survival
pembro_chemo,108,22.5,0.1793,1.00174
pembro_chemo,109,23.5,0.2055,1.00058
pembro_chemo,110,25.5,0.2316,0.99826
pembro_chemo,111,27.5,0.2578,0.99594
pembro_chemo,112,28.5,0.2839,0.99479
pembro_chemo,115,31.5,0.3624,0.99131
pembro_chemo,116,31.5,0.3885,0.99131
pembro_chemo,117,36.5,0.4147,0.98552
pembro_chemo,118,38.5,0.4409,0.9832
pembro_chemo,119,38.5,0.467,0.9832
pembro_chemo,120,37.5,0.4932,0.98436
pembro_chemo,121,36.5,0.5193,0.98552
pembro_chemo,122,36.5,0.5455,0.98552
pembro_chemo,123,35.5,0.5716,0.98667
pembro_chemo,124,35.5,0.5978,0.98667
pembro_chemo,125,36.5,0.6239,0.98552
pembro_chemo,126,36.5,0.6501,0.98552
pembro_chemo,128,39.5,0.7024,0.98204
pembro_chemo,129,39.5,0.7285,0.98204
pembro_chemo,130,39.5,0.7547,0.98204
pembro_chemo,131,39.5,0.7808,0.98204
pembro_chemo,145,42.0,1.147,0.97914
pembro_chemo,146,41.5,1.1731,0.97972
pembro_chemo,147,41.0,1.1993,0.9803
pembro_chemo,148,40.5,1.2254,0.98088
pembro_chemo,149,39.5,1.2516,0.98204
pembro_chemo,150,40.5,1.2777,0.98088
pembro_chemo,151,40.5,1.3039,0.98088
pembro_chemo,152,40.5,1.33,0.98088
pembro_chemo,153,40.5,1.3562,0.98088
pembro_chemo,154,40.5,1.3823,0.98088
pembro_chemo,155,40.5,1.4085,0.98088
pembro_chemo,156,40.5,1.4346,0.98088
pembro_chemo,157,40.5,1.4608,0.98088
pembro_chemo,158,40.5,1.4869,0.98088
pembro_chemo,159,41.5,1.5131,0.97972
pembro_chemo,160,41.5,1.5392,0.97972
pembro_chemo,161,41.5,1.5654,0.97972
pembro_chemo,162,41.0,1.5915,0.9803
pembro_chemo,170,47.5,1.8008,0.97277
pembro_chemo,171,48.0,1.8269,0.97219
pembro_chemo,172,48.0,1.8531,0.97219
pembro_chemo,173,49.0,1.8792,0.97103
pembro_chemo,174,49.0,1.9054,0.97103
pembro_chemo,175,48.5,1.9315,0.97161
pembro_chemo,176,49.0,1.9577,0.97103
pembro_chemo,177,49.0,1.9838,0.97103
pembro_chemo,178,49.0,2.01,0.97103
pembro_chemo,179,52.0,2.0361,0.96756
pembro_chemo,180,54.0,2.0623,0.96524
pembro_chemo,181,51.5,2.0884,0.96813
pembro_chemo,182,51.5,2.1146,0.96813
pembro_chemo,183,57.0,2.1407,0.96176
pembro_chemo,184,60.5,2.1669,0.95771
pembro_chemo,198,55.0,2.533,0.96408
pembro_chemo,199,55.0,2.5592,0.96408
pembro_chemo,200,55.5,2.5853,0.9635
pembro_chemo,201,56.0,2.6115,0.96292
pembro_chemo,202,58.0,2.6376,0.9606
pembro_chemo,205,62.5,2.7161,0.95539
pembro_chemo,206,62.5,2.7422,0.95539
pembro_chemo,207,62.5,2.7684,0.95539
pembro_chemo,208,62.5,2.7945,0.95539
pembro_chemo,209,64.5,2.8207,0.95307
pembro_chemo,210,64.5,2.8468,0.95307
pembro_chemo,211,64.5,2.873,0.95307
pembro_chemo,212,64.0,2.8991,0.95365
pembro_chemo,213,64.0,2.9253,0.95365
pembro_chemo,214,64.0,2.9514,0.95365
pembro_chemo,215,64.5,2.9776,0.95307
pembro_chemo,216,64.5,3.0037,0.95307
pembro_chemo,217,64.5,3.0299,0.95307
pembro_chemo,218,64.5,3.056,0.95307
pembro_chemo,219,64.5,3.0822,0.95307
pembro_chemo,220,64.5,3.1083,0.95307
pembro_chemo,221,64.5,3.1345,0.95307
pembro_chemo,222,64.5,3.1607,0.95307
pembro_chemo,223,65.0,3.1868,0.95249
pembro_chemo,224,64.5,3.213,0.95307
pembro_chemo,225,64.5,3.2391,0.95307
pembro_chemo,226,65.0,3.2653,0.95249
pembro_chemo,227,66.0,3.2914,0.95133
pembro_chemo,228,64.5,3.3176,0.95307
pembro_chemo,239,63.5,3.6052,0.95423
pembro_chemo,240,63.5,3.6314,0.95423
pembro_chemo,241,63.5,3.6575,0.95423
pembro_chemo,251,72.5,3.9191,0.9438
pembro_chemo,252,72.5,3.9452,0.9438
pembro_chemo,253,68.5,3.9714,0.94844
pembro_chemo,254,70.0,3.9975,0.9467
pembro_chemo,255,69.5,4.0237,0.94728
pembro_chemo,256,70.0,4.0498,0.9467
pembro_chemo,257,74.0,4.076,0.94206
pembro_chemo,258,71.5,4.1021,0.94496
pembro_chemo,259,74.5,4.1283,0.94148
pembro_chemo,260,76.5,4.1544,0.93917
pembro_chemo,261,77.0,4.1806,0.93859
pembro_chemo,262,75.0,4.2067,0.9409
pembro_chemo,263,75.5,4.2329,0.94032
pembro_chemo,264,75.5,4.259,0.94032
pembro_chemo,269,94.5,4.3898,0.91831
pembro_chemo,270,94.5,4.4159,0.91831
pembro_chemo,271,82.5,4.4421,0.93221
pembro_chemo,272,83.0,4.4682,0.93163
pembro_chemo,273,85.5,4.4944,0.92874
pembro_chemo,274,90.0,4.5206,0.92352
pembro_chemo,275,91.0,4.5467,0.92236
pembro_chemo,276,94.5,4.5729,0.91831
pembro_chemo,277,95.5,4.599,0.91715
pembro_chemo,279,99.5,4.6513,0.91251
pembro_chemo,280,99.5,4.6775,0.91251
pembro_chemo,281,99.5,4.7036,0.91251
pembro_chemo,282,99.5,4.7298,0.91251
pembro_chemo,283,99.5,4.7559,0.91251
pembro_chemo,284,99.0,4.7821,0.91309
pembro_chemo,285,99.5,4.8082,0.91251
pembro_chemo,286,99.5,4.8344,0.91251
pembro_chemo,287,99.5,4.8605,0.91251
pembro_chemo,288,99.5,4.8867,0.91251
pembro_chemo,289,112.5,4.9128,0.89745
pembro_chemo,290,112.5,4.939,0.89745
pembro_chemo,291,112.5,4.9651,0.89745
pembro_chemo,292,100.0,4.9913,0.91194
pembro_chemo,293,100.0,5.0174,0.91194
pembro_chemo,294,103.5,5.0436,0.90788
pembro_chemo,295,107.5,5.0697,0.90324
pembro_chemo,296,102.5,5.0959,0.90904
pembro_chemo,297,109.5,5.122,0.90093
pembro_chemo,298,109.5,5.1482,0.90093
pembro_chemo,299,109.5,5.1744,0.90093
pembro_chemo,300,109.5,5.2005,0.90093
pembro_chemo,301,109.5,5.2267,0.90093
pembro_chemo,302,109.5,5.2528,0.90093
pembro_chemo,303,112.0,5.279,0.89803
pembro_chemo,304,109.0,5.3051,0.90151
pembro_chemo,305,110.0,5.3313,0.90035
pembro_chemo,306,110.0,5.3574,0.90035
pembro_chemo,307,110.5,5.3836,0.89977
pembro_chemo,308,109.5,5.4097,0.90093
pembro_chemo,309,109.5,5.4359,0.90093
pembro_chemo,310,109.5,5.462,0.90093
pembro_chemo,311,109.5,5.4882,0.90093
pembro_chemo,312,109.5,5.5143,0.90093
