arm,start_time_months,end_time_months,survival
pembro_chemo,0.1793,0.2839,0.99826
pembro_chemo,0.3624,0.3885,0.99131
pembro_chemo,0.4147,0.7808,0.9832
pembro_chemo,1.147,1.5915,0.97914
pembro_chemo,1.8008,2.0361,0.97103
pembro_chemo,2.0623,2.1407,0.96524
pembro_chemo,2.533,2.7945,0.95771
pembro_chemo,2.8207,3.3176,0.95307
pembro_chemo,3.6052,3.6575,0.95133
pembro_chemo,3.9191,4.1283,0.9438
pembro_chemo,4.1544,4.259,0.93859
pembro_chemo,4.3898,4.599,0.91831
pembro_chemo,4.6513,4.8867,0.91251
pembro_chemo,4.9128,5.6189,0.89745
pembro_chemo,5.7758,5.8805,0.89745
pembro_chemo,6.0635,6.2727,0.89745
pembro_chemo,6.2989,6.4035,0.89282
pembro_chemo,6.4296,6.5604,0.8763
pembro_chemo,6.5866,6.665,0.85834
pembro_chemo,6.6912,6.8742,0.84994
pembro_chemo,6.9004,6.9265,0.84299
pembro_chemo,7.1096,7.345,0.84299
pembro_chemo,7.4757,7.7634,0.82561
pembro_chemo,7.8942,8.4956,0.82561
pembro_chemo,8.5218,8.7049,0.7978
pembro_chemo,8.8356,9.1756,0.7978
pembro_chemo,9.6202,10.0125,0.7978
pembro_chemo,10.1432,10.2217,0.79085
pembro_chemo,10.2478,10.274,0.78621
pembro_chemo,10.3001,10.3786,0.77578
pembro_chemo,10.4047,10.4309,0.76999
pembro_chemo,10.457,10.5878,0.76304
pembro_chemo,10.614,10.6924,0.7584
pembro_chemo,10.8232,11.3201,0.7555
pembro_chemo,11.3462,11.6862,0.74218
pembro_chemo,11.8169,11.9477,0.74218
pembro_chemo,11.9739,12.1569,0.72943
pembro_chemo,12.34,12.5753,0.71669
pembro_chemo,12.7061,12.7846,0.71669
pembro_chemo,12.9153,13.0984,0.71669
pembro_chemo,13.2291,13.3076,0.70278
pembro_chemo,13.3338,13.5168,0.69583
pembro_chemo,13.5953,13.6214,0.67729
pembro_chemo,13.7522,14.406,0.67729
pembro_chemo,14.6937,15.609,0.67729
pembro_chemo,15.792,16.7073,0.67729
pembro_chemo,16.8381,16.8643,0.67729
pembro_chemo,17.0996,17.4396,0.67729
pembro_chemo,17.6227,17.7011,0.67729
pembro_chemo,17.8842,17.9103,0.67729
pembro_chemo,18.198,18.2765,0.67729
pembro_chemo,18.4595,18.538,0.67729
pembro_chemo,18.721,18.7472,0.67729
pembro_chemo,18.9303,19.4795,0.67729
pembro_chemo,19.6625,19.741,0.67729
pembro_chemo,19.924,19.9502,0.67729
pembro_chemo,20.0809,20.6301,0.67729
pembro_chemo,20.9178,21.8331,0.67729
pembro_chemo,22.0162,22.0423,0.67729
pembro_chemo,22.1731,22.4608,0.67729
pembro_chemo,22.6438,25.4421,0.67729
pembro_chemo,25.6252,30.254,0.67729
pembro_chemo,30.4371,30.5156,0.67729
pembro_chemo,30.5417,30.6725,0.61587
pembro_chemo,30.6986,30.7248,0.57184
pembro_chemo,30.7509,32.137,0.56721
pembro_chemo,32.2677,33.1831,0.56373
pembro_chemo,33.3138,34.543,0.56373
pembro_chemo,34.6737,37.85,0.56373
