arm,time_months,survival
pembro_chemo,0.1793,0.99826
pembro_chemo,0.2839,0.99826
pembro_chemo,0.3624,0.99826
pembro_chemo,0.3624,0.99131
pembro_chemo,0.3624,0.99131
pembro_chemo,0.3885,0.99131
pembro_chemo,0.4147,0.99131
pembro_chemo,0.4147,0.9832
pembro_chemo,0.4147,0.9832
pembro_chemo,0.7808,0.9832
pembro_chemo,1.147,0.9832
pembro_chemo,1.147,0.97914
pembro_chemo,1.147,0.97914
pembro_chemo,1.5915,0.97914
pembro_chemo,1.8008,0.97914
pembro_chemo,1.8008,0.97103
pembro_chemo,1.8008,0.97103
pembro_chemo,2.0361,0.97103
pembro_chemo,2.0623,0.97103
pembro_chemo,2.0623,0.96524
pembro_chemo,2.0623,0.96524
pembro_chemo,2.1407,0.96524
pembro_chemo,2.533,0.96524
pembro_chemo,2.533,0.95771
pembro_chemo,2.533,0.95771
pembro_chemo,2.7945,0.95771
pembro_chemo,2.8207,0.95771
pembro_chemo,2.8207,0.95307
pembro_chemo,2.8207,0.95307
pembro_chemo,3.3176,0.95307
pembro_chemo,3.6052,0.95307
pembro_chemo,3.6052,0.95133
pembro_chemo,3.6052,0.95133
pembro_chemo,3.6575,0.95133
pembro_chemo,3.9191,0.95133
pembro_chemo,3.9191,0.9438
pembro_chemo,3.9191,0.9438
pembro_chemo,4.1283,0.9438
pembro_chemo,4.1544,0.9438
pembro_chemo,4.1544,0.93859
pembro_chemo,4.1544,0.93859
pembro_chemo,4.259,0.93859
pembro_chemo,4.3898,0.93859
pembro_chemo,4.3898,0.91831
pembro_chemo,4.3898,0.91831
pembro_chemo,4.599,0.91831
pembro_chemo,4.6513,0.91831
pembro_chemo,4.6513,0.91251
pembro_chemo,4.6513,0.91251
pembro_chemo,4.8867,0.91251
pembro_chemo,4.9128,0.91251
pembro_chemo,4.9128,0.89745
pembro_chemo,4.9128,0.89745
pembro_chemo,5.6189,0.89745
pembro_chemo,5.7758,0.89745
pembro_chemo,5.7758,0.89745
pembro_chemo,5.7758,0.89745
pembro_chemo,5.8805,0.89745
pembro_chemo,6.0635,0.89745
pembro_chemo,6.0635,0.89745
pembro_chemo,6.0635,0.89745
pembro_chemo,6.2727,0.89745
pembro_chemo,6.2989,0.89745
pembro_chemo,6.2989,0.89282
pembro_chemo,6.2989,0.89282
pembro_chemo,6.4035,0.89282
pembro_chemo,6.4296,0.89282
pembro_chemo,6.4296,0.8763
pembro_chemo,6.4296,0.8763
pembro_chemo,6.5604,0.8763
pembro_chemo,6.5866,0.8763
pembro_chemo,6.5866,0.85834
pembro_chemo,6.5866,0.85834
pembro_chemo,6.665,0.85834
pembro_chemo,6.6912,0.85834
pembro_chemo,6.6912,0.84994
pembro_chemo,6.6912,0.84994
pembro_chemo,6.8742,0.84994
pembro_chemo,6.9004,0.84994
pembro_chemo,6.9004,0.84299
pembro_chemo,6.9004,0.84299
pembro_chemo,6.9265,0.84299
pembro_chemo,7.1096,0.84299
pembro_chemo,7.1096,0.84299
pembro_chemo,7.1096,0.84299
pembro_chemo,7.345,0.84299
pembro_chemo,7.4757,0.84299
pembro_chemo,7.4757,0.82561
pembro_chemo,7.4757,0.82561
pembro_chemo,7.7634,0.82561
pembro_chemo,7.8942,0.82561
pembro_chemo,7.8942,0.82561
pembro_chemo,7.8942,0.82561
pembro_chemo,8.4956,0.82561
pembro_chemo,8.5218,0.82561
pembro_chemo,8.5218,0.7978
pembro_chemo,8.5218,0.7978
pembro_chemo,8.7049,0.7978
pembro_chemo,8.8356,0.7978
pembro_chemo,8.8356,0.7978
pembro_chemo,8.8356,0.7978
pembro_chemo,9.1756,0.7978
pembro_chemo,9.6202,0.7978
