drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.8593,0.98957,0.01043,2,0,0.982301,-0.007269,kept
2,1,1.8792,0.97856,0.01101,1,0,0.973451,-0.005109,kept
3,1,2.1407,0.96756,0.011,2,0,0.955752,-0.011808,kept
4,1,2.4546,0.94148,0.02608,0,0,0.955752,0.014272,removed_or_merged
5,1,2.9253,0.93337,0.00811,3,0,0.929204,-0.004166,kept
6,1,3.3437,0.92323,0.01014,0,0,0.929204,0.005974,removed_or_merged
7,1,3.7098,0.91136,0.01187,2,1,0.911334,-2.6e-05,kept
8,1,3.9714,0.90498,0.00638,1,0,0.9024,-0.00258,kept
9,1,4.076,0.88239,0.02259,2,11,0.882346,-4.4e-05,kept
10,1,4.1283,0.86501,0.01738,2,0,0.862293,-0.002717,kept
11,1,4.1806,0.86037,0.00464,1,0,0.852266,-0.008104,kept
12,1,4.3375,0.8511,0.00927,0,0,0.852266,0.001166,removed_or_merged
13,1,4.3898,0.83372,0.01738,3,0,0.822186,-0.011534,kept
14,1,4.4421,0.81286,0.02086,1,0,0.81216,-0.0007,kept
15,1,4.4944,0.80475,0.00811,1,0,0.802133,-0.002617,kept
16,1,4.6513,0.79548,0.00927,2,0,0.78208,-0.0134,kept
17,1,4.7036,0.77636,0.01912,1,0,0.772053,-0.004307,kept
18,1,4.9128,0.77115,0.00521,0,0,0.772053,0.000903,removed_or_merged
19,1,4.9651,0.76535,0.0058,2,0,0.752,-0.01335,kept
20,1,5.1744,0.73928,0.02607,1,9,0.740606,0.001326,kept
21,1,5.7497,0.72364,0.01564,1,0,0.729212,0.005572,kept
22,1,5.9589,0.70742,0.01622,2,0,0.706424,-0.000996,kept
23,2,6.1158,0.70278,0.00464,0,0,0.706424,0.003644,removed_or_merged
24,2,6.1681,0.67381,0.02897,4,0,0.660848,-0.012962,kept
25,2,6.325,0.56547,0.10834,6,15,0.568637,0.003167,kept
26,2,6.3773,0.55504,0.01043,1,0,0.553268,-0.001772,kept
27,2,6.5343,0.5478,0.00724,0,0,0.553268,0.005468,removed_or_merged
28,2,6.5866,0.53476,0.01304,1,0,0.5379,0.00314,kept
29,2,7.2665,0.52781,0.00695,1,0,0.522531,-0.005279,kept
30,2,7.3711,0.51738,0.01043,0,0,0.522531,0.005151,removed_or_merged
31,2,7.4234,0.50348,0.0139,1,0,0.507163,0.003683,kept
32,2,7.6849,0.49363,0.00985,2,0,0.476425,-0.017205,kept
33,2,7.8418,0.4803,0.01333,0,0,0.476425,-0.003875,removed_or_merged
34,2,8.1557,0.46987,0.01043,0,0,0.476425,0.006555,removed_or_merged
35,2,8.208,0.45713,0.01274,1,0,0.461057,0.003927,kept
36,2,8.4172,0.45133,0.0058,0,0,0.461057,0.009727,removed_or_merged
37,2,8.4695,0.43743,0.0139,2,0,0.43032,-0.00711,kept
38,2,8.5218,0.43221,0.00522,0,0,0.43032,-0.00189,removed_or_merged
39,2,8.5741,0.42236,0.00985,1,0,0.414951,-0.007409,kept
40,2,8.731,0.41599,0.00637,0,0,0.414951,-0.001039,removed_or_merged
41,2,8.7833,0.4073,0.00869,0,0,0.414951,0.007651,removed_or_merged
42,2,9.7771,0.40267,0.00463,1,0,0.399583,-0.003087,kept
43,2,10.0386,0.3934,0.00927,0,0,0.399583,0.006183,removed_or_merged
44,2,10.9801,0.38528,0.00812,1,0,0.384214,-0.001066,kept
45,2,11.1893,0.37833,0.00695,1,0,0.368845,-0.009485,kept
46,3,12.0785,0.36674,0.01159,0,0,0.368845,0.002105,removed_or_merged
47,3,12.34,0.36211,0.00463,0,0,0.368845,0.006735,removed_or_merged
48,3,12.5492,0.35632,0.00579,1,0,0.353477,-0.002843,kept
49,3,12.7584,0.34473,0.01159,0,0,0.353477,0.008747,removed_or_merged
50,3,13.7522,0.33778,0.00695,2,0,0.32274,-0.01504,kept
51,3,13.9091,0.32966,0.00812,0,0,0.32274,-0.00692,removed_or_merged
52,3,13.9614,0.30765,0.02201,1,0,0.307371,-0.000279,kept
53,3,14.2752,0.30185,0.0058,1,0,0.292003,-0.009847,kept
54,4,19.8717,0.2949,0.00695,0,0,0.292003,-0.002897,removed_or_merged
55,5,24.1606,0.27868,0.01622,0,0,0.292003,0.013323,removed_or_merged
56,5,24.5006,0.23001,0.04867,1,0,0.219002,-0.011008,kept
