arm,x_pixel,y_pixel,time_months,survival
placebo_chemo,103,22.0,0.0486,1.00232
placebo_chemo,104,22.0,0.0747,1.00232
placebo_chemo,105,23.0,0.1009,1.00116
placebo_chemo,106,22.5,0.127,1.00174
placebo_chemo,113,20.5,0.3101,1.00406
placebo_chemo,114,20.5,0.3362,1.00406
placebo_chemo,115,20.5,0.3624,1.00406
placebo_chemo,116,22.0,0.3885,1.00232
placebo_chemo,117,22.5,0.4147,1.00174
placebo_chemo,118,22.5,0.4409,1.00174
placebo_chemo,119,22.5,0.467,1.00174
placebo_chemo,121,21.5,0.5193,1.0029
placebo_chemo,122,21.5,0.5455,1.0029
placebo_chemo,123,21.5,0.5716,1.0029
placebo_chemo,124,21.5,0.5978,1.0029
placebo_chemo,125,22.5,0.6239,1.00174
placebo_chemo,126,22.5,0.6501,1.00174
placebo_chemo,127,22.5,0.6762,1.00174
placebo_chemo,128,22.5,0.7024,1.00174
placebo_chemo,129,22.0,0.7285,1.00232
placebo_chemo,130,23.5,0.7547,1.00058
placebo_chemo,131,22.5,0.7808,1.00174
placebo_chemo,132,22.5,0.807,1.00174
placebo_chemo,133,26.0,0.8331,0.99768
placebo_chemo,134,28.5,0.8593,0.99479
placebo_chemo,137,28.5,0.9377,0.99479
placebo_chemo,138,28.5,0.9639,0.99479
placebo_chemo,139,31.0,0.99,0.99189
placebo_chemo,140,31.0,1.0162,0.99189
placebo_chemo,141,30.0,1.0423,0.99305
placebo_chemo,142,30.0,1.0685,0.99305
placebo_chemo,143,30.0,1.0947,0.99305
placebo_chemo,144,30.5,1.1208,0.99247
placebo_chemo,145,32.5,1.147,0.99015
placebo_chemo,146,32.5,1.1731,0.99015
placebo_chemo,147,32.5,1.1993,0.99015
placebo_chemo,148,32.5,1.2254,0.99015
placebo_chemo,149,32.5,1.2516,0.99015
placebo_chemo,150,32.5,1.2777,0.99015
placebo_chemo,151,32.5,1.3039,0.99015
placebo_chemo,152,33.0,1.33,0.98957
placebo_chemo,153,32.5,1.3562,0.99015
placebo_chemo,154,32.5,1.3823,0.99015
placebo_chemo,155,32.5,1.4085,0.99015
placebo_chemo,156,32.5,1.4346,0.99015
placebo_chemo,157,32.5,1.4608,0.99015
placebo_chemo,158,32.5,1.4869,0.99015
placebo_chemo,159,32.5,1.5131,0.99015
placebo_chemo,160,32.5,1.5392,0.99015
placebo_chemo,161,32.5,1.5654,0.99015
placebo_chemo,162,32.5,1.5915,0.99015
placebo_chemo,163,34.0,1.6177,0.98841
placebo_chemo,164,34.0,1.6438,0.98841
placebo_chemo,165,35.5,1.67,0.98667
placebo_chemo,166,35.5,1.6961,0.98667
placebo_chemo,167,32.5,1.7223,0.99015
placebo_chemo,168,30.0,1.7484,0.99305
placebo_chemo,169,28.5,1.7746,0.99479
placebo_chemo,170,28.5,1.8008,0.99479
placebo_chemo,171,36.5,1.8269,0.98552
placebo_chemo,172,36.5,1.8531,0.98552
placebo_chemo,173,42.5,1.8792,0.97856
placebo_chemo,174,42.5,1.9054,0.97856
placebo_chemo,175,42.5,1.9315,0.97856
placebo_chemo,176,42.5,1.9577,0.97856
placebo_chemo,177,42.5,1.9838,0.97856
placebo_chemo,178,42.5,2.01,0.97856
placebo_chemo,179,42.5,2.0361,0.97856
placebo_chemo,180,42.5,2.0623,0.97856
placebo_chemo,181,42.5,2.0884,0.97856
placebo_chemo,182,42.5,2.1146,0.97856
placebo_chemo,183,47.0,2.1407,0.97335
placebo_chemo,184,47.5,2.1669,0.97277
placebo_chemo,185,50.5,2.193,0.96929
placebo_chemo,186,49.5,2.2192,0.97045
placebo_chemo,187,52.0,2.2453,0.96756
placebo_chemo,188,52.0,2.2715,0.96756
placebo_chemo,189,41.0,2.2976,0.9803
placebo_chemo,190,44.0,2.3238,0.97683
placebo_chemo,191,47.0,2.3499,0.97335
placebo_chemo,192,45.5,2.3761,0.97509
placebo_chemo,193,55.5,2.4022,0.9635
placebo_chemo,194,55.5,2.4284,0.9635
placebo_chemo,195,74.5,2.4546,0.94148
placebo_chemo,196,74.0,2.4807,0.94206
placebo_chemo,197,64.0,2.5069,0.95365
placebo_chemo,198,64.0,2.533,0.95365
placebo_chemo,199,70.0,2.5592,0.9467
placebo_chemo,200,71.5,2.5853,0.94496
placebo_chemo,201,70.5,2.6115,0.94612
placebo_chemo,202,70.0,2.6376,0.9467
placebo_chemo,203,71.0,2.6638,0.94554
placebo_chemo,204,71.0,2.6899,0.94554
placebo_chemo,205,74.0,2.7161,0.94206
placebo_chemo,206,73.0,2.7422,0.94322
placebo_chemo,207,76.5,2.7684,0.93917
placebo_chemo,208,75.5,2.7945,0.94032
placebo_chemo,209,77.5,2.8207,0.93801
placebo_chemo,210,76.0,2.8468,0.93975
placebo_chemo,211,73.5,2.873,0.94264
placebo_chemo,212,78.0,2.8991,0.93743
placebo_chemo,213,78.5,2.9253,0.93685
placebo_chemo,214,75.0,2.9514,0.9409
placebo_chemo,215,80.5,2.9776,0.93453
placebo_chemo,216,78.5,3.0037,0.93685
placebo_chemo,217,81.5,3.0299,0.93337
placebo_chemo,218,81.5,3.056,0.93337
placebo_chemo,219,72.5,3.0822,0.9438
placebo_chemo,220,72.5,3.1083,0.9438
placebo_chemo,221,80.0,3.1345,0.93511
placebo_chemo,222,80.0,3.1607,0.93511
placebo_chemo,223,80.0,3.1868,0.93511
placebo_chemo,224,79.0,3.213,0.93627
placebo_chemo,225,81.5,3.2391,0.93337
placebo_chemo,226,81.5,3.2653,0.93337
placebo_chemo,227,81.5,3.2914,0.93337
placebo_chemo,228,81.5,3.3176,0.93337
placebo_chemo,229,86.5,3.3437,0.92758
placebo_chemo,230,86.5,3.3699,0.92758
placebo_chemo,231,85.5,3.396,0.92874
placebo_chemo,232,87.5,3.4222,0.92642
placebo_chemo,233,88.5,3.4483,0.92526
placebo_chemo,234,87.5,3.4745,0.92642
placebo_chemo,235,89.5,3.5006,0.9241
placebo_chemo,236,91.0,3.5268,0.92236
placebo_chemo,237,88.5,3.5529,0.92526
placebo_chemo,238,88.5,3.5791,0.92526
placebo_chemo,239,86.0,3.6052,0.92816
placebo_chemo,240,80.5,3.6314,0.93453
placebo_chemo,241,87.5,3.6575,0.92642
placebo_chemo,242,87.5,3.6837,0.92642
placebo_chemo,243,100.5,3.7098,0.91136
placebo_chemo,244,100.5,3.736,0.91136
placebo_chemo,245,97.5,3.7621,0.91483
placebo_chemo,246,97.5,3.7883,0.91483
placebo_chemo,247,100.5,3.8145,0.91136
placebo_chemo,248,100.5,3.8406,0.91136
placebo_chemo,253,105.5,3.9714,0.90556
placebo_chemo,254,105.5,3.9975,0.90556
placebo_chemo,255,106.5,4.0237,0.9044
placebo_chemo,256,106.5,4.0498,0.9044
placebo_chemo,257,125.5,4.076,0.88239
placebo_chemo,258,125.5,4.1021,0.88239
placebo_chemo,259,140.5,4.1283,0.86501
placebo_chemo,260,140.5,4.1544,0.86501
placebo_chemo,261,144.5,4.1806,0.86037
placebo_chemo,262,144.5,4.2067,0.86037
placebo_chemo,263,141.5,4.2329,0.86385
placebo_chemo,264,141.5,4.259,0.86385
placebo_chemo,265,139.5,4.2852,0.86616
placebo_chemo,266,139.5,4.3113,0.86616
placebo_chemo,267,152.5,4.3375,0.8511
placebo_chemo,268,152.5,4.3636,0.8511
placebo_chemo,269,167.5,4.3898,0.83372
placebo_chemo,270,167.5,4.4159,0.83372
placebo_chemo,271,185.5,4.4421,0.81286
placebo_chemo,272,185.5,4.4682,0.81286
placebo_chemo,273,192.5,4.4944,0.80475
placebo_chemo,274,192.5,4.5206,0.80475
placebo_chemo,275,189.5,4.5467,0.80823
placebo_chemo,276,189.5,4.5729,0.80823
placebo_chemo,277,191.5,4.599,0.80591
placebo_chemo,278,191.5,4.6252,0.80591
placebo_chemo,279,200.5,4.6513,0.79548
placebo_chemo,280,200.5,4.6775,0.79548
placebo_chemo,281,215.5,4.7036,0.7781
placebo_chemo,282,215.5,4.7298,0.7781
placebo_chemo,283,216.5,4.7559,0.77694
placebo_chemo,284,216.5,4.7821,0.77694
placebo_chemo,285,217.5,4.8082,0.77578
placebo_chemo,286,217.5,4.8344,0.77578
placebo_chemo,287,215.5,4.8605,0.7781
placebo_chemo,288,215.5,4.8867,0.7781
placebo_chemo,289,221.5,4.9128,0.77115
placebo_chemo,290,221.5,4.939,0.77115
placebo_chemo,291,225.5,4.9651,0.76651
placebo_chemo,292,225.5,4.9913,0.76651
placebo_chemo,293,226.5,5.0174,0.76535
placebo_chemo,294,226.5,5.0436,0.76535
placebo_chemo,295,224.5,5.0697,0.76767
placebo_chemo,296,224.5,5.0959,0.76767
placebo_chemo,297,229.5,5.122,0.76188
placebo_chemo,298,229.5,5.1482,0.76188
placebo_chemo,299,246.5,5.1744,0.74218
placebo_chemo,300,246.5,5.2005,0.74218
placebo_chemo,301,247.5,5.2267,0.74102
placebo_chemo,302,247.5,5.2528,0.74102
placebo_chemo,303,247.5,5.279,0.74102
placebo_chemo,304,247.5,5.3051,0.74102
placebo_chemo,305,247.5,5.3313,0.74102
placebo_chemo,306,247.5,5.3574,0.74102
placebo_chemo,307,246.5,5.3836,0.74218
placebo_chemo,308,246.5,5.4097,0.74218
placebo_chemo,309,250.5,5.4359,0.73754
placebo_chemo,310,250.5,5.462,0.73754
placebo_chemo,311,248.5,5.4882,0.73986
placebo_chemo,312,248.5,5.5143,0.73986
placebo_chemo,313,248.5,5.5405,0.73986
placebo_chemo,314,248.5,5.5666,0.73986
placebo_chemo,315,248.5,5.5928,0.73986
placebo_chemo,316,248.5,5.6189,0.73986
placebo_chemo,317,247.5,5.6451,0.74102
placebo_chemo,318,247.5,5.6712,0.74102
placebo_chemo,321,262.5,5.7497,0.72364
placebo_chemo,322,262.5,5.7758,0.72364
placebo_chemo,323,247.5,5.802,0.74102
placebo_chemo,324,247.5,5.8281,0.74102
placebo_chemo,325,254.5,5.8543,0.73291
placebo_chemo,326,254.5,5.8805,0.73291
placebo_chemo,327,247.5,5.9066,0.74102
placebo_chemo,328,247.5,5.9328,0.74102
placebo_chemo,329,276.5,5.9589,0.70742
placebo_chemo,330,276.5,5.9851,0.70742
placebo_chemo,331,273.5,6.0112,0.71089
placebo_chemo,332,273.5,6.0374,0.71089
placebo_chemo,333,270.5,6.0635,0.71437
placebo_chemo,334,270.5,6.0897,0.71437
placebo_chemo,335,280.5,6.1158,0.70278
placebo_chemo,336,280.5,6.142,0.70278
placebo_chemo,337,305.5,6.1681,0.67381
placebo_chemo,338,305.5,6.1943,0.67381
placebo_chemo,343,399.0,6.325,0.56547
placebo_chemo,344,399.0,6.3512,0.56547
placebo_chemo,345,408.0,6.3773,0.55504
