arm,time_months,survival
placebo_chemo,0.0486,1.0
placebo_chemo,0.127,1.0
placebo_chemo,0.3101,1.0
placebo_chemo,0.3101,1.0
placebo_chemo,0.3101,1.0
placebo_chemo,0.8331,1.0
placebo_chemo,0.8593,1.0
placebo_chemo,0.8593,0.98957
placebo_chemo,0.8593,0.98957
placebo_chemo,1.8531,0.98957
placebo_chemo,1.8792,0.98957
placebo_chemo,1.8792,0.97856
placebo_chemo,1.8792,0.97856
placebo_chemo,2.1146,0.97856
placebo_chemo,2.1407,0.97856
placebo_chemo,2.1407,0.96756
placebo_chemo,2.1407,0.96756
placebo_chemo,2.4284,0.96756
placebo_chemo,2.4546,0.96756
placebo_chemo,2.4546,0.94148
placebo_chemo,2.4546,0.94148
placebo_chemo,2.8991,0.94148
placebo_chemo,2.9253,0.94148
placebo_chemo,2.9253,0.93337
placebo_chemo,2.9253,0.93337
placebo_chemo,3.3176,0.93337
placebo_chemo,3.3437,0.93337
placebo_chemo,3.3437,0.92323
placebo_chemo,3.3437,0.92323
placebo_chemo,3.6837,0.92323
placebo_chemo,3.7098,0.92323
placebo_chemo,3.7098,0.91136
placebo_chemo,3.7098,0.91136
placebo_chemo,3.8406,0.91136
placebo_chemo,3.9714,0.91136
placebo_chemo,3.9714,0.90498
placebo_chemo,3.9714,0.90498
placebo_chemo,4.0498,0.90498
placebo_chemo,4.076,0.90498
placebo_chemo,4.076,0.88239
placebo_chemo,4.076,0.88239
placebo_chemo,4.1021,0.88239
placebo_chemo,4.1283,0.88239
placebo_chemo,4.1283,0.86501
placebo_chemo,4.1283,0.86501
placebo_chemo,4.1544,0.86501
placebo_chemo,4.1806,0.86501
placebo_chemo,4.1806,0.86037
placebo_chemo,4.1806,0.86037
placebo_chemo,4.3113,0.86037
placebo_chemo,4.3375,0.86037
placebo_chemo,4.3375,0.8511
placebo_chemo,4.3375,0.8511
placebo_chemo,4.3636,0.8511
placebo_chemo,4.3898,0.8511
placebo_chemo,4.3898,0.83372
placebo_chemo,4.3898,0.83372
placebo_chemo,4.4159,0.83372
placebo_chemo,4.4421,0.83372
placebo_chemo,4.4421,0.81286
placebo_chemo,4.4421,0.81286
placebo_chemo,4.4682,0.81286
placebo_chemo,4.4944,0.81286
placebo_chemo,4.4944,0.80475
placebo_chemo,4.4944,0.80475
placebo_chemo,4.6252,0.80475
placebo_chemo,4.6513,0.80475
placebo_chemo,4.6513,0.79548
placebo_chemo,4.6513,0.79548
placebo_chemo,4.6775,0.79548
placebo_chemo,4.7036,0.79548
placebo_chemo,4.7036,0.77636
placebo_chemo,4.7036,0.77636
placebo_chemo,4.8867,0.77636
placebo_chemo,4.9128,0.77636
placebo_chemo,4.9128,0.77115
placebo_chemo,4.9128,0.77115
placebo_chemo,4.939,0.77115
placebo_chemo,4.9651,0.77115
placebo_chemo,4.9651,0.76535
placebo_chemo,4.9651,0.76535
placebo_chemo,5.1482,0.76535
placebo_chemo,5.1744,0.76535
placebo_chemo,5.1744,0.73928
placebo_chemo,5.1744,0.73928
placebo_chemo,5.6712,0.73928
placebo_chemo,5.7497,0.73928
placebo_chemo,5.7497,0.72364
placebo_chemo,5.7497,0.72364
placebo_chemo,5.9328,0.72364
placebo_chemo,5.9589,0.72364
placebo_chemo,5.9589,0.70742
placebo_chemo,5.9589,0.70742
placebo_chemo,6.0897,0.70742
placebo_chemo,6.1158,0.70742
placebo_chemo,6.1158,0.70278
placebo_chemo,6.1158,0.70278
placebo_chemo,6.142,0.70278
placebo_chemo,6.1681,0.70278
placebo_chemo,6.1681,0.67381
placebo_chemo,6.1681,0.67381
placebo_chemo,6.1943,0.67381
placebo_chemo,6.325,0.67381
placebo_chemo,6.325,0.56547
placebo_chemo,6.325,0.56547
placebo_chemo,6.3512,0.56547
placebo_chemo,6.3773,0.56547
placebo_chemo,6.3773,0.55504
placebo_chemo,6.3773,0.55504
placebo_chemo,6.5081,0.55504
placebo_chemo,6.5343,0.55504
placebo_chemo,6.5343,0.5478
placebo_chemo,6.5343,0.5478
placebo_chemo,6.5604,0.5478
placebo_chemo,6.5866,0.5478
placebo_chemo,6.5866,0.53476
placebo_chemo,6.5866,0.53476
placebo_chemo,7.188,0.53476
placebo_chemo,7.2665,0.53476
placebo_chemo,7.2665,0.52781
placebo_chemo,7.2665,0.52781
placebo_chemo,7.345,0.52781
placebo_chemo,7.3711,0.52781
placebo_chemo,7.3711,0.51738
placebo_chemo,7.3711,0.51738
placebo_chemo,7.3973,0.51738
placebo_chemo,7.4234,0.51738
placebo_chemo,7.4234,0.50348
placebo_chemo,7.4234,0.50348
placebo_chemo,7.6588,0.50348
placebo_chemo,7.6849,0.50348
placebo_chemo,7.6849,0.49363
placebo_chemo,7.6849,0.49363
placebo_chemo,7.7634,0.49363
placebo_chemo,7.8418,0.49363
placebo_chemo,7.8418,0.4803
placebo_chemo,7.8418,0.4803
placebo_chemo,8.1295,0.4803
placebo_chemo,8.1557,0.4803
placebo_chemo,8.1557,0.46987
placebo_chemo,8.1557,0.46987
placebo_chemo,8.1818,0.46987
placebo_chemo,8.208,0.46987
placebo_chemo,8.208,0.45713
placebo_chemo,8.208,0.45713
placebo_chemo,8.391,0.45713
placebo_chemo,8.4172,0.45713
placebo_chemo,8.4172,0.45133
placebo_chemo,8.4172,0.45133
placebo_chemo,8.4433,0.45133
placebo_chemo,8.4695,0.45133
placebo_chemo,8.4695,0.43743
placebo_chemo,8.4695,0.43743
placebo_chemo,8.4956,0.43743
placebo_chemo,8.5218,0.43743
placebo_chemo,8.5218,0.43221
placebo_chemo,8.5218,0.43221
placebo_chemo,8.5479,0.43221
placebo_chemo,8.5741,0.43221
placebo_chemo,8.5741,0.42236
placebo_chemo,8.5741,0.42236
placebo_chemo,8.7049,0.42236
placebo_chemo,8.731,0.42236
placebo_chemo,8.731,0.41599
placebo_chemo,8.731,0.41599
placebo_chemo,8.7572,0.41599
placebo_chemo,8.7833,0.41599
placebo_chemo,8.7833,0.4073
placebo_chemo,8.7833,0.4073
placebo_chemo,9.7509,0.4073
placebo_chemo,9.7771,0.4073
placebo_chemo,9.7771,0.40267
placebo_chemo,9.7771,0.40267
placebo_chemo,9.9602,0.40267
placebo_chemo,10.0386,0.40267
placebo_chemo,10.0386,0.3934
placebo_chemo,10.0386,0.3934
placebo_chemo,10.9539,0.3934
placebo_chemo,10.9801,0.3934
placebo_chemo,10.9801,0.38528
placebo_chemo,10.9801,0.38528
placebo_chemo,11.1631,0.38528
placebo_chemo,11.1893,0.38528
placebo_chemo,11.1893,0.37833
placebo_chemo,11.1893,0.37833
placebo_chemo,12.0,0.37833
placebo_chemo,12.0785,0.37833
placebo_chemo,12.0785,0.36674
placebo_chemo,12.0785,0.36674
placebo_chemo,12.3138,0.36674
placebo_chemo,12.34,0.36674
placebo_chemo,12.34,0.36211
placebo_chemo,12.34,0.36211
placebo_chemo,12.523,0.36211
placebo_chemo,12.5492,0.36211
placebo_chemo,12.5492,0.35632
placebo_chemo,12.5492,0.35632
placebo_chemo,12.7323,0.35632
placebo_chemo,12.7584,0.35632
placebo_chemo,12.7584,0.34473
placebo_chemo,12.7584,0.34473
placebo_chemo,13.6737,0.34473
placebo_chemo,13.7522,0.34473
placebo_chemo,13.7522,0.33778
placebo_chemo,13.7522,0.33778
placebo_chemo,13.8829,0.33778
placebo_chemo,13.9091,0.33778
placebo_chemo,13.9091,0.32966
placebo_chemo,13.9091,0.32966
placebo_chemo,13.9352,0.32966
placebo_chemo,13.9614,0.32966
placebo_chemo,13.9614,0.30765
placebo_chemo,13.9614,0.30765
placebo_chemo,14.1968,0.30765
placebo_chemo,14.2752,0.30765
placebo_chemo,14.2752,0.30185
placebo_chemo,14.2752,0.30185
placebo_chemo,14.3014,0.30185
placebo_chemo,14.4321,0.30185
placebo_chemo,14.4321,0.30185
placebo_chemo,14.4321,0.30185
placebo_chemo,16.132,0.30185
placebo_chemo,16.3151,0.30185
placebo_chemo,16.3151,0.30185
placebo_chemo,16.3151,0.30185
placebo_chemo,16.655,0.30185
placebo_chemo,16.7858,0.30185
placebo_chemo,16.7858,0.30185
placebo_chemo,16.7858,0.30185
placebo_chemo,19.4795,0.30185
placebo_chemo,19.6102,0.30185
placebo_chemo,19.6102,0.30185
placebo_chemo,19.6102,0.30185
placebo_chemo,19.7933,0.30185
placebo_chemo,19.8717,0.30185
placebo_chemo,19.8717,0.2949
placebo_chemo,19.8717,0.2949
placebo_chemo,19.9502,0.2949
placebo_chemo,20.0809,0.2949
placebo_chemo,20.0809,0.2949
placebo_chemo,20.0809,0.2949
placebo_chemo,24.1345,0.2949
placebo_chemo,24.1606,0.2949
placebo_chemo,24.1606,0.27868
placebo_chemo,24.1606,0.27868
placebo_chemo,24.3437,0.27868
placebo_chemo,24.5006,0.27868
placebo_chemo,24.5006,0.23001
placebo_chemo,24.5006,0.23001
placebo_chemo,29.6264,0.23001
placebo_chemo,29.6525,0.23001
placebo_chemo,29.6525,0.23001
placebo_chemo,29.6525,0.23001
placebo_chemo,30.3063,0.23001
placebo_chemo,30.4371,0.23001
placebo_chemo,30.4371,0.23001
placebo_chemo,30.4371,0.23001
placebo_chemo,35.2,0.23001
