drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.1471,0.98797,0.01203,5,0,0.982935,-0.005035,kept
2,1,1.4947,0.98119,0.00678,0,0,0.982935,0.001745,removed_or_merged
3,1,2.9081,0.97671,0.00448,3,0,0.972696,-0.004014,kept
4,1,3.1324,0.96948,0.00723,2,0,0.96587,-0.00361,kept
5,1,3.6706,0.96332,0.00616,4,0,0.952218,-0.011102,kept
6,1,5.2059,0.95451,0.00881,1,0,0.948805,-0.005705,kept
7,1,5.65,0.936,0.01851,8,0,0.921502,-0.014498,kept
8,1,7.59,0.92533,0.01067,10,0,0.887372,-0.037958,kept
9,1,8.2834,0.91209,0.01324,10,0,0.853242,-0.058848,kept
10,1,8.8431,0.89859,0.0135,10,0,0.819113,-0.079477,kept
11,2,10.0147,0.87938,0.01921,0,0,0.819113,-0.060267,removed_or_merged
12,2,10.7451,0.86631,0.01307,0,0,0.819113,-0.047197,removed_or_merged
13,2,11.2412,0.85913,0.00718,0,0,0.819113,-0.040017,removed_or_merged
14,2,12.4278,0.8538,0.00533,0,0,0.819113,-0.034687,removed_or_merged
15,2,12.7941,0.83712,0.01668,0,0,0.819113,-0.018007,removed_or_merged
16,2,14.0588,0.82509,0.01203,2,0,0.804867,-0.020223,kept
17,2,14.8088,0.81438,0.01071,1,0,0.797744,-0.016636,kept
18,2,15.3717,0.78737,0.02701,0,0,0.797744,0.010374,removed_or_merged
19,2,16.8235,0.75613,0.03124,7,0,0.747885,-0.008245,kept
20,2,17.0882,0.72707,0.02906,3,0,0.726517,-0.000553,kept
21,2,17.7279,0.7102,0.01687,3,0,0.705149,-0.005051,kept
22,2,19.5621,0.70702,0.00318,8,0,0.648167,-0.058853,kept
23,2,19.7706,0.68305,0.02397,10,0,0.57694,-0.10611,kept
24,3,21.0825,0.65297,0.03008,0,0,0.57694,-0.07603,removed_or_merged
25,3,21.4309,0.61775,0.03522,0,0,0.57694,-0.04081,removed_or_merged
26,3,24.8193,0.5774,0.03889,0,0,0.57694,-0.00046,removed_or_merged
27,3,27.024,0.54043,0.03697,2,0,0.530785,-0.009645,kept
28,3,27.9414,0.49861,0.04182,3,0,0.461552,-0.037058,kept
29,4,32.4118,0.49494,0.00205,0,0,0.461552,-0.033388,removed_or_merged
