drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,3,0,0.989831,-0.002829,kept
2,1,3.2614,0.9863,0.00473,4,0,0.976271,-0.010029,kept
3,1,3.9853,0.97285,0.01345,7,0,0.952542,-0.020308,kept
4,1,4.1797,0.95647,0.01638,1,0,0.949153,-0.007317,kept
5,1,5.6176,0.94864,0.00783,0,0,0.949153,0.000513,removed_or_merged
6,1,5.9559,0.93324,0.0154,6,0,0.928814,-0.004426,kept
7,1,7.098,0.92794,0.0053,4,0,0.915254,-0.012686,kept
8,1,8.029,0.89502,0.03292,10,0,0.881356,-0.013664,kept
9,2,10.3294,0.86794,0.02494,0,0,0.881356,0.013416,removed_or_merged
10,2,11.9794,0.85664,0.0113,3,0,0.856412,-0.000228,kept
11,2,12.9853,0.84666,0.00998,2,0,0.839783,-0.006877,kept
12,2,14.1732,0.81169,0.03497,4,0,0.806524,-0.005166,kept
13,2,14.2588,0.7909,0.02079,2,0,0.789894,-0.001006,kept
14,2,14.7189,0.75348,0.03742,5,0,0.748321,-0.005159,kept
15,2,15.4216,0.74191,0.01157,2,0,0.731692,-0.010218,kept
16,2,15.5401,0.72694,0.01497,0,0,0.731692,0.004752,removed_or_merged
17,2,15.7326,0.71187,0.01507,3,0,0.706748,-0.005122,kept
18,2,16.8735,0.69861,0.01326,1,0,0.698433,-0.000177,kept
19,2,17.2647,0.68305,0.01556,2,0,0.681804,-0.001246,kept
20,2,18.2026,0.66349,0.01956,3,0,0.65686,-0.00663,kept
21,2,18.5882,0.64314,0.02035,2,0,0.64023,-0.00291,kept
22,2,19.1235,0.62216,0.02098,3,0,0.615286,-0.006874,kept
23,2,19.4967,0.59892,0.02324,3,0,0.590342,-0.008578,kept
24,3,21.3235,0.5642,0.03404,1,0,0.559272,-0.004928,kept
25,3,21.8984,0.52658,0.03762,1,1,0.526373,-0.000207,kept
26,3,27.4853,0.47542,0.05116,1,6,0.473736,-0.001684,kept
27,3,29.25,0.41599,0.05943,1,1,0.414519,-0.001471,kept
28,4,32.1414,0.20736,0.20863,2,1,0.207259,-0.000101,kept
