drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.1471,0.98797,0.01203,4,0,0.986348,-0.001622,kept
2,1,1.4947,0.98119,0.00678,4,0,0.972696,-0.008494,kept
3,1,2.9081,0.97671,0.00448,3,0,0.962457,-0.014253,kept
4,1,3.1324,0.96948,0.00723,1,0,0.959044,-0.010436,kept
5,1,3.6706,0.96332,0.00616,1,0,0.955631,-0.007689,kept
6,1,5.2059,0.95451,0.00881,7,0,0.931741,-0.022769,kept
7,1,5.65,0.936,0.01851,0,0,0.931741,-0.004259,removed_or_merged
8,1,7.59,0.92533,0.01067,8,0,0.904437,-0.020893,kept
9,1,8.2834,0.91209,0.01324,6,0,0.883959,-0.028131,kept
10,1,8.8431,0.89859,0.0135,10,0,0.849829,-0.048761,kept
11,2,10.0147,0.87938,0.01921,0,0,0.849829,-0.029551,removed_or_merged
12,2,10.7451,0.86631,0.01307,0,0,0.849829,-0.016481,removed_or_merged
13,2,11.2412,0.85913,0.00718,1,0,0.84244,-0.01669,kept
14,2,12.4278,0.8538,0.00533,0,0,0.84244,-0.01136,removed_or_merged
15,2,12.7941,0.83712,0.01668,2,0,0.82766,-0.00946,kept
16,2,14.0588,0.82509,0.01203,0,0,0.82766,0.00257,removed_or_merged
17,2,14.8088,0.81438,0.01071,3,0,0.80549,-0.00889,kept
18,2,15.3717,0.78737,0.02701,3,0,0.783321,-0.004049,kept
19,2,16.8235,0.75613,0.03124,7,0,0.731592,-0.024538,kept
20,2,17.0882,0.72707,0.02906,1,0,0.724202,-0.002868,kept
21,2,17.7279,0.7102,0.01687,2,0,0.709423,-0.000777,kept
22,2,19.5621,0.70702,0.00318,2,0,0.694643,-0.012377,kept
23,2,19.7706,0.68305,0.02397,9,0,0.628135,-0.054915,kept
24,3,21.0825,0.65297,0.03008,0,0,0.628135,-0.024835,removed_or_merged
25,3,21.4309,0.61775,0.03522,1,0,0.603009,-0.014741,kept
26,3,24.8193,0.5774,0.03889,1,0,0.577884,0.000484,kept
27,3,27.024,0.54043,0.03697,2,0,0.527633,-0.012797,kept
28,3,27.9414,0.49861,0.04182,2,0,0.477382,-0.021228,kept
29,4,32.4118,0.49494,0.00205,0,0,0.477382,-0.017558,removed_or_merged
