drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,3,0,0.989831,-0.002829,kept
2,1,3.2614,0.9863,0.00473,0,0,0.989831,0.003531,removed_or_merged
3,1,3.9853,0.97285,0.01345,6,0,0.969492,-0.003358,kept
4,1,4.1797,0.95647,0.01638,7,0,0.945763,-0.010707,kept
5,1,5.6176,0.94864,0.00783,2,0,0.938983,-0.009657,kept
6,1,5.9559,0.93324,0.0154,4,0,0.925424,-0.007816,kept
7,1,7.098,0.92794,0.0053,10,0,0.891525,-0.036415,kept
8,1,8.029,0.89502,0.03292,10,0,0.857627,-0.037393,kept
9,2,10.3294,0.86794,0.02494,0,0,0.857627,-0.010313,removed_or_merged
10,2,11.9794,0.85664,0.0113,0,0,0.857627,0.000987,removed_or_merged
11,2,12.9853,0.84666,0.00998,3,0,0.833355,-0.013305,kept
12,2,14.1732,0.81169,0.03497,3,0,0.809082,-0.002608,kept
13,2,14.2588,0.7909,0.02079,4,0,0.776719,-0.014181,kept
14,2,14.7189,0.75348,0.03742,4,0,0.744356,-0.009124,kept
15,2,15.4216,0.74191,0.01157,0,0,0.744356,0.002446,removed_or_merged
16,2,15.5401,0.72694,0.01497,3,0,0.720083,-0.006857,kept
17,2,15.7326,0.71187,0.01507,2,0,0.703902,-0.007968,kept
18,2,16.8735,0.69861,0.01326,0,0,0.703902,0.005292,removed_or_merged
19,2,17.2647,0.68305,0.01556,4,0,0.671538,-0.011512,kept
20,2,18.2026,0.66349,0.01956,0,0,0.671538,0.008048,removed_or_merged
21,2,18.5882,0.64314,0.02035,4,0,0.639175,-0.003965,kept
22,2,19.1235,0.62216,0.02098,4,0,0.606812,-0.015348,kept
23,2,19.4967,0.59892,0.02324,7,0,0.550176,-0.048744,kept
24,3,21.3235,0.5642,0.03404,0,0,0.550176,-0.014024,removed_or_merged
25,3,21.8984,0.52658,0.03762,1,0,0.521219,-0.005361,kept
26,3,27.4853,0.47542,0.05116,2,0,0.463306,-0.012114,kept
27,3,29.25,0.41599,0.05943,3,0,0.376436,-0.039554,kept
28,4,32.1414,0.20736,0.20863,2,1,0.188218,-0.019142,kept
