drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,1.1471,0.98797,0.01203,5,0,0.982935,-0.005035,kept
2,1,1.4947,0.98119,0.00678,1,0,0.979522,-0.001668,kept
3,1,2.9081,0.97671,0.00448,2,0,0.972696,-0.004014,kept
4,1,3.1324,0.96948,0.00723,1,0,0.969283,-0.000197,kept
5,1,3.6706,0.96332,0.00616,0,0,0.969283,0.005963,removed_or_merged
6,1,5.2059,0.95451,0.00881,5,0,0.952218,-0.002292,kept
7,1,5.65,0.936,0.01851,10,0,0.918089,-0.017911,kept
8,2,7.59,0.92533,0.01067,0,0,0.918089,-0.007241,removed_or_merged
9,2,8.2834,0.91209,0.01324,0,0,0.918089,0.005999,removed_or_merged
10,2,8.8431,0.89859,0.0135,4,0,0.896099,-0.002491,kept
11,2,10.0147,0.87938,0.01921,4,0,0.874108,-0.005272,kept
12,2,10.7451,0.86631,0.01307,0,0,0.874108,0.007798,removed_or_merged
13,2,11.2412,0.85913,0.00718,4,0,0.852118,-0.007012,kept
14,3,12.4278,0.8538,0.00533,0,0,0.852118,-0.001682,removed_or_merged
15,3,12.7941,0.83712,0.01668,2,0,0.832068,-0.005052,kept
16,3,14.0588,0.82509,0.01203,1,0,0.822044,-0.003046,kept
17,3,14.8088,0.81438,0.01071,1,0,0.812019,-0.002361,kept
18,3,15.3717,0.78737,0.02701,2,15,0.787412,4.2e-05,kept
19,3,16.8235,0.75613,0.03124,2,14,0.755916,-0.000214,kept
20,3,17.0882,0.72707,0.02906,2,0,0.724419,-0.002651,kept
21,3,17.7279,0.7102,0.01687,1,0,0.708671,-0.001529,kept
22,4,19.5621,0.70702,0.00318,0,0,0.708671,0.001651,removed_or_merged
23,4,19.7706,0.68305,0.02397,1,14,0.683361,0.000311,kept
24,4,21.0825,0.65297,0.03008,1,5,0.652299,-0.000671,kept
25,4,21.4309,0.61775,0.03522,1,2,0.617968,0.000218,kept
26,5,24.8193,0.5774,0.03889,1,1,0.57677,-0.00063,kept
27,5,27.024,0.54043,0.03697,1,0,0.535572,-0.004858,kept
28,5,27.9414,0.49861,0.04182,1,0,0.494374,-0.004236,kept
29,6,32.4118,0.49494,0.00205,0,0,0.494374,-0.000566,removed_or_merged
