arm,pixel_x,pixel_y,time_months,survival,component_pixels
pembro_chemo_os,191.0,36.2,1.1471,0.98797,10
pembro_chemo_os,198.64,35.55,1.3717,0.98893,11
pembro_chemo_os,202.82,40.82,1.4947,0.98119,11
pembro_chemo_os,221.0,41.0,2.0294,0.98092,9
pembro_chemo_os,235.0,44.2,2.4412,0.97623,10
pembro_chemo_os,250.88,43.88,2.9081,0.97671,8
pembro_chemo_os,258.5,48.8,3.1324,0.96948,10
pembro_chemo_os,267.2,49.0,3.3882,0.96919,10
pembro_chemo_os,276.8,53.0,3.6706,0.96332,10
pembro_chemo_os,287.91,54.64,3.9973,0.96092,11
pembro_chemo_os,304.0,52.0,4.4706,0.96478,9
pembro_chemo_os,329.0,59.0,5.2059,0.95451,9
pembro_chemo_os,405.33,78.89,7.451,0.92533,9
pembro_chemo_os,420.55,81.64,7.8984,0.9213,11
pembro_chemo_os,433.64,87.91,8.2834,0.91209,11
pembro_chemo_os,452.67,97.11,8.8431,0.89859,9
pembro_chemo_os,473.11,96.33,9.4444,0.89973,9
pembro_chemo_os,492.5,110.2,10.0147,0.87938,10
pembro_chemo_os,509.11,109.33,10.5033,0.88066,9
pembro_chemo_os,517.33,119.11,10.7451,0.86631,9
pembro_chemo_os,534.2,124.0,11.2412,0.85913,10
pembro_chemo_os,551.3,124.7,11.7441,0.85811,10
pembro_chemo_os,574.55,127.64,12.4278,0.8538,11
pembro_chemo_os,587.0,139.0,12.7941,0.83712,9
pembro_chemo_os,599.64,140.45,13.1658,0.83499,11
pembro_chemo_os,614.62,139.38,13.6063,0.83656,13
pembro_chemo_os,630.0,147.2,14.0588,0.82509,10
pembro_chemo_os,655.5,154.5,14.8088,0.81438,12
pembro_chemo_os,674.64,172.91,15.3717,0.78737,11
pembro_chemo_os,695.0,173.2,15.9706,0.78694,10
pembro_chemo_os,723.0,174.0,16.7941,0.78577,9
pembro_chemo_os,725.0,194.2,16.8529,0.75613,10
pembro_chemo_os,733.0,214.0,17.0882,0.72707,9
pembro_chemo_os,754.5,225.5,17.7206,0.7102,12
pembro_chemo_os,755.0,215.0,17.7353,0.72561,9
pembro_chemo_os,786.18,226.18,18.6524,0.7092,11
pembro_chemo_os,817.11,227.67,19.5621,0.70702,9
pembro_chemo_os,824.2,244.0,19.7706,0.68305,10
pembro_chemo_os,848.8,244.0,20.4941,0.68305,10
pembro_chemo_os,868.5,264.5,21.0735,0.65297,12
pembro_chemo_os,869.11,243.67,21.0915,0.68354,9
pembro_chemo_os,880.5,265.5,21.4265,0.6515,12
pembro_chemo_os,880.8,288.5,21.4353,0.61775,10
pembro_chemo_os,928.25,289.33,22.8309,0.61653,12
pembro_chemo_os,976.0,289.5,24.2353,0.61629,12
pembro_chemo_os,995.8,316.0,24.8176,0.5774,10
pembro_chemo_os,995.91,289.36,24.8209,0.61649,11
pembro_chemo_os,1057.64,314.91,26.6364,0.579,11
pembro_chemo_os,1070.64,314.91,27.0187,0.579,11
pembro_chemo_os,1071.0,341.2,27.0294,0.54043,10
pembro_chemo_os,1101.62,343.62,27.9299,0.53688,13
pembro_chemo_os,1102.4,369.7,27.9529,0.49861,10
pembro_chemo_os,1175.5,370.8,30.1029,0.49699,10
pembro_chemo_os,1254.0,372.2,32.4118,0.49494,10
pembro_chemo_os,1333.5,370.5,34.75,0.49743,12
pembro_chemo_os,1412.0,370.8,37.0588,0.49699,10
