drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,4,0,0.986441,-0.006219,kept
2,1,3.2614,0.9863,0.00473,1,0,0.983051,-0.003249,kept
3,1,3.9853,0.97285,0.01345,5,0,0.966102,-0.006748,kept
4,1,4.1797,0.95647,0.01638,5,0,0.949153,-0.007317,kept
5,1,5.6176,0.94864,0.00783,3,0,0.938983,-0.009657,kept
6,1,5.9559,0.93324,0.0154,10,0,0.905085,-0.028155,kept
7,2,7.098,0.92794,0.0053,0,0,0.905085,-0.022855,removed_or_merged
8,2,8.029,0.89502,0.03292,2,0,0.893771,-0.001249,kept
9,2,10.3294,0.86794,0.02494,5,0,0.865487,-0.002453,kept
10,2,11.9794,0.85664,0.0113,3,0,0.848517,-0.008123,kept
11,3,12.9853,0.84666,0.00998,0,0,0.848517,0.001857,removed_or_merged
12,3,14.1732,0.81169,0.03497,4,0,0.809051,-0.002639,kept
13,3,14.2588,0.7909,0.02079,2,0,0.789318,-0.001582,kept
14,3,14.7189,0.75348,0.03742,3,14,0.75344,-4e-05,kept
15,3,15.4216,0.74191,0.01157,1,0,0.741481,-0.000429,kept
16,3,15.5401,0.72694,0.01497,1,11,0.726942,2e-06,kept
17,3,15.7326,0.71187,0.01507,1,2,0.711797,-7.3e-05,kept
18,3,16.8735,0.69861,0.01326,1,0,0.696653,-0.001957,kept
19,3,17.2647,0.68305,0.01556,2,0,0.666363,-0.016687,kept
20,4,18.2026,0.66349,0.01956,0,0,0.666363,0.002873,removed_or_merged
21,4,18.5882,0.64314,0.02035,1,9,0.643385,0.000245,kept
22,4,19.1235,0.62216,0.02098,1,0,0.620407,-0.001753,kept
23,4,19.4967,0.59892,0.02324,1,0,0.597429,-0.001491,kept
24,4,21.3235,0.5642,0.03404,1,8,0.564239,3.9e-05,kept
25,4,21.8984,0.52658,0.03762,1,2,0.526623,4.3e-05,kept
26,5,27.4853,0.47542,0.05116,1,1,0.47396,-0.00146,kept
27,5,29.25,0.41599,0.05943,1,1,0.414715,-0.001275,kept
28,6,32.1414,0.20736,0.20863,1,3,0.207358,-2e-06,kept
