drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.9412,0.99266,0.00734,5,0,0.983051,-0.009609,kept
2,1,3.2614,0.9863,0.00473,1,0,0.979661,-0.006639,kept
3,1,3.9853,0.97285,0.01345,3,0,0.969492,-0.003358,kept
4,1,4.1797,0.95647,0.01638,6,0,0.949153,-0.007317,kept
5,1,5.6176,0.94864,0.00783,4,0,0.935593,-0.013047,kept
6,1,5.9559,0.93324,0.0154,3,0,0.925424,-0.007816,kept
7,1,7.098,0.92794,0.0053,6,0,0.905085,-0.022855,kept
8,1,8.029,0.89502,0.03292,10,0,0.871186,-0.023834,kept
9,2,10.3294,0.86794,0.02494,1,0,0.862968,-0.004972,kept
10,2,11.9794,0.85664,0.0113,1,0,0.854749,-0.001891,kept
11,2,12.9853,0.84666,0.00998,4,0,0.821874,-0.024786,kept
12,2,14.1732,0.81169,0.03497,0,0,0.821874,0.010184,removed_or_merged
13,2,14.2588,0.7909,0.02079,5,0,0.78078,-0.01012,kept
14,2,14.7189,0.75348,0.03742,4,0,0.747905,-0.005575,kept
15,2,15.4216,0.74191,0.01157,1,0,0.739687,-0.002223,kept
16,2,15.5401,0.72694,0.01497,2,0,0.723249,-0.003691,kept
17,2,15.7326,0.71187,0.01507,2,0,0.706812,-0.005058,kept
18,2,16.8735,0.69861,0.01326,1,0,0.698593,-1.7e-05,kept
19,2,17.2647,0.68305,0.01556,2,0,0.682155,-0.000895,kept
20,2,18.2026,0.66349,0.01956,3,0,0.657499,-0.005991,kept
21,2,18.5882,0.64314,0.02035,2,0,0.641062,-0.002078,kept
22,2,19.1235,0.62216,0.02098,3,0,0.616406,-0.005754,kept
23,2,19.4967,0.59892,0.02324,4,0,0.583531,-0.015389,kept
24,3,21.3235,0.5642,0.03404,1,0,0.552818,-0.011382,kept
25,3,21.8984,0.52658,0.03762,1,0,0.522106,-0.004474,kept
26,3,27.4853,0.47542,0.05116,2,0,0.460682,-0.014738,kept
27,3,29.25,0.41599,0.05943,1,5,0.414614,-0.001376,kept
28,4,32.1414,0.20736,0.20863,2,1,0.207307,-5.3e-05,kept
