arm,pixel_x,pixel_y,time_months,survival,component_pixels
placebo_chemo_os,184.0,33.0,0.9412,0.99266,9
placebo_chemo_os,207.3,32.3,1.6265,0.99369,10
placebo_chemo_os,223.33,34.11,2.098,0.99103,9
placebo_chemo_os,240.0,36.5,2.5882,0.98753,8
placebo_chemo_os,262.89,37.33,3.2614,0.9863,9
placebo_chemo_os,277.8,40.0,3.7,0.98239,10
placebo_chemo_os,287.5,46.5,3.9853,0.97285,12
placebo_chemo_os,294.11,57.67,4.1797,0.95647,9
placebo_chemo_os,316.8,56.5,4.8471,0.95818,10
placebo_chemo_os,343.0,63.0,5.6176,0.94864,9
placebo_chemo_os,354.5,73.5,5.9559,0.93324,12
placebo_chemo_os,371.0,74.8,6.4412,0.93133,10
placebo_chemo_os,393.33,77.11,7.098,0.92794,9
placebo_chemo_os,424.33,86.89,8.0098,0.91359,9
placebo_chemo_os,425.64,99.55,8.0481,0.89502,11
placebo_chemo_os,460.67,99.89,9.0784,0.89451,9
placebo_chemo_os,499.0,101.0,10.2059,0.89288,11
placebo_chemo_os,503.2,118.0,10.3294,0.86794,10
placebo_chemo_os,532.67,117.11,11.1961,0.86924,9
placebo_chemo_os,554.8,118.0,11.8471,0.86794,10
placebo_chemo_os,559.3,125.7,11.9794,0.85664,10
placebo_chemo_os,582.0,125.0,12.6471,0.85767,9
placebo_chemo_os,593.5,132.5,12.9853,0.84666,12
placebo_chemo_os,610.0,132.2,13.4706,0.8471,10
placebo_chemo_os,633.89,156.33,14.1732,0.81169,9
placebo_chemo_os,636.8,170.5,14.2588,0.7909,10
placebo_chemo_os,651.89,180.67,14.7026,0.77598,9
placebo_chemo_os,653.0,196.0,14.7353,0.75348,9
placebo_chemo_os,666.2,196.0,15.1235,0.75348,10
placebo_chemo_os,676.33,203.89,15.4216,0.74191,9
placebo_chemo_os,680.36,214.09,15.5401,0.72694,11
placebo_chemo_os,686.91,224.36,15.7326,0.71187,11
placebo_chemo_os,700.67,223.78,16.1373,0.71273,9
placebo_chemo_os,719.5,223.8,16.6912,0.71269,10
placebo_chemo_os,725.7,233.4,16.8735,0.69861,10
placebo_chemo_os,739.0,244.0,17.2647,0.68305,9
placebo_chemo_os,752.64,245.09,17.6658,0.68145,11
placebo_chemo_os,770.89,257.33,18.2026,0.66349,9
placebo_chemo_os,784.0,271.2,18.5882,0.64314,10
placebo_chemo_os,802.2,285.5,19.1235,0.62216,10
placebo_chemo_os,811.3,285.3,19.3912,0.62245,10
placebo_chemo_os,814.89,301.33,19.4967,0.59892,9
placebo_chemo_os,836.11,300.67,20.1209,0.5999,9
placebo_chemo_os,870.5,301.8,21.1324,0.59824,10
placebo_chemo_os,877.0,325.0,21.3235,0.5642,9
placebo_chemo_os,892.8,324.0,21.7882,0.56566,10
placebo_chemo_os,896.55,350.64,21.8984,0.52658,11
placebo_chemo_os,917.0,350.8,22.5,0.52634,10
placebo_chemo_os,957.5,349.8,23.6912,0.52781,10
placebo_chemo_os,1005.18,350.18,25.0936,0.52725,11
placebo_chemo_os,1049.5,349.2,26.3971,0.52869,10
placebo_chemo_os,1081.5,349.5,27.3382,0.52825,12
placebo_chemo_os,1086.5,385.5,27.4853,0.47542,12
placebo_chemo_os,1106.67,385.89,28.0784,0.47485,9
placebo_chemo_os,1146.0,426.0,29.2353,0.41599,9
placebo_chemo_os,1147.0,385.2,29.2647,0.47586,10
placebo_chemo_os,1244.8,426.0,32.1412,0.41599,10
placebo_chemo_os,1244.82,568.18,32.1417,0.20736,11
placebo_chemo_os,1363.5,568.0,35.6324,0.20763,8
