drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.517,0.996,0.004,3,0,0.989655,-0.006345,kept
2,1,0.6476,0.9895,0.0065,2,0,0.982759,-0.006741,kept
3,1,1.1702,0.982,0.0075,3,0,0.972414,-0.009586,kept
4,1,1.7972,0.978,0.004,0,0,0.972414,-0.005586,removed_or_merged
5,1,1.954,0.967,0.011,2,0,0.965517,-0.001483,kept
6,1,2.1107,0.956,0.011,0,0,0.965517,0.009517,removed_or_merged
7,1,2.372,0.947,0.009,7,0,0.941379,-0.005621,kept
8,1,3.1297,0.941,0.006,0,0,0.941379,0.000379,removed_or_merged
9,1,3.5739,0.932,0.009,3,0,0.931034,-0.000966,kept
10,1,3.6261,0.928,0.004,0,0,0.931034,0.003034,removed_or_merged
11,1,4.0442,0.895,0.033,7,89,0.895028,2.8e-05,kept
12,1,5.1154,0.884,0.011,1,19,0.889253,0.005253,kept
13,1,5.5073,0.878,0.006,3,0,0.87193,-0.00607,kept
14,1,5.7686,0.869,0.009,1,0,0.866156,-0.002844,kept
15,2,6.1,0.836,0.032,5,6,0.836081,8.1e-05,kept
16,2,6.25,0.793,0.043,8,0,0.787961,-0.005039,kept
17,2,6.5263,0.77025,0.02275,4,0,0.763901,-0.006349,kept
18,2,6.6308,0.76215,0.0081,0,0,0.763901,0.001751,removed_or_merged
19,2,7.075,0.74942,0.01273,3,0,0.745856,-0.003564,kept
20,2,7.5191,0.7419,0.00752,0,0,0.745856,0.003956,removed_or_merged
21,2,7.6498,0.738,0.0039,0,0,0.745856,0.007856,removed_or_merged
22,2,7.9633,0.724,0.014,5,0,0.715782,-0.008218,kept
23,2,8.0678,0.716,0.008,1,0,0.709767,-0.006233,kept
24,2,8.2246,0.704,0.012,1,0,0.703752,-0.000248,kept
25,2,8.303,0.684,0.02,6,0,0.667662,-0.016338,kept
26,2,8.6949,0.65,0.034,0,0,0.667662,0.017662,removed_or_merged
27,2,8.9039,0.633,0.017,4,34,0.632978,-2.2e-05,kept
28,2,9.2174,0.62789,0.00511,1,0,0.624307,-0.003583,kept
29,2,9.3219,0.62326,0.00463,0,0,0.624307,0.001047,removed_or_merged
30,2,9.6877,0.60822,0.01504,1,19,0.612528,0.004308,kept
31,2,10.2625,0.59664,0.01013,2,0,0.588969,-0.007671,kept
32,2,10.367,0.58,0.01664,1,0,0.57719,-0.00281,kept
33,2,10.7328,0.56597,0.01403,0,0,0.57719,0.01122,removed_or_merged
34,2,11.3076,0.53414,0.03183,4,0,0.530072,-0.004068,kept
35,2,11.4644,0.52488,0.00926,0,0,0.530072,0.005192,removed_or_merged
36,3,12.7185,0.52025,0.00463,2,0,0.506513,-0.013737,kept
37,3,12.7708,0.50984,0.01041,1,0,0.494734,-0.015106,kept
38,3,12.9798,0.50405,0.00579,0,0,0.494734,-0.009316,removed_or_merged
39,3,13.1888,0.49248,0.01157,0,0,0.494734,0.002254,removed_or_merged
40,3,13.2411,0.48727,0.00521,1,0,0.482955,-0.004315,kept
41,3,13.3978,0.47627,0.011,1,0,0.471175,-0.005095,kept
42,3,13.8681,0.46238,0.01389,0,0,0.471175,0.008795,removed_or_merged
43,3,14.7565,0.45718,0.0052,1,6,0.457317,0.000137,kept
44,3,14.9655,0.4485,0.00868,0,0,0.457317,0.008817,removed_or_merged
45,3,15.2268,0.43924,0.00926,1,8,0.439024,-0.000216,kept
46,3,15.6448,0.43692,0.00232,0,0,0.439024,0.002104,removed_or_merged
47,4,18.3098,0.417,0.01992,1,0,0.417073,7.3e-05,kept
48,4,19.0936,0.399,0.018,1,0,0.395122,-0.003878,kept
49,4,19.1459,0.383,0.016,0,0,0.395122,0.012122,removed_or_merged
50,4,19.2504,0.371,0.012,1,2,0.370427,-0.000573,kept
51,4,19.6162,0.363,0.008,0,0,0.370427,0.007427,removed_or_merged
52,5,27.0103,0.3045,0.0585,1,1,0.308689,0.004189,kept
