arm,x_pixel,y_pixel,time_months,survival
pembro_chemo,104,21.5,0.0467,1.00405
pembro_chemo,111,21.5,0.2296,1.00405
pembro_chemo,112,22.0,0.2557,1.00347
pembro_chemo,113,22.0,0.2818,1.00347
pembro_chemo,114,21.5,0.3079,1.00405
pembro_chemo,122,26.5,0.517,0.99826
pembro_chemo,123,25.0,0.5431,1.0
pembro_chemo,124,25.0,0.5692,1.0
pembro_chemo,125,24.0,0.5953,1.00116
pembro_chemo,127,35.0,0.6476,0.98843
pembro_chemo,128,34.5,0.6737,0.989
pembro_chemo,129,31.5,0.6999,0.99248
pembro_chemo,130,28.5,0.726,0.99595
pembro_chemo,131,28.0,0.7521,0.99653
pembro_chemo,134,27.5,0.8305,0.99711
pembro_chemo,135,27.5,0.8566,0.99711
pembro_chemo,136,27.5,0.8828,0.99711
pembro_chemo,137,27.5,0.9089,0.99711
pembro_chemo,138,35.0,0.935,0.98843
pembro_chemo,139,35.5,0.9611,0.98785
pembro_chemo,140,35.0,0.9873,0.98843
pembro_chemo,141,35.0,1.0134,0.98843
pembro_chemo,142,27.5,1.0395,0.99711
pembro_chemo,143,27.5,1.0656,0.99711
pembro_chemo,144,27.5,1.0918,0.99711
pembro_chemo,145,27.0,1.1179,0.99769
pembro_chemo,146,27.0,1.144,0.99769
pembro_chemo,147,39.0,1.1702,0.9838
pembro_chemo,148,37.0,1.1963,0.98611
pembro_chemo,149,37.0,1.2224,0.98611
pembro_chemo,150,41.0,1.2485,0.98148
pembro_chemo,152,27.5,1.3008,0.99711
pembro_chemo,153,27.0,1.3269,0.99769
pembro_chemo,154,27.0,1.353,0.99769
pembro_chemo,155,27.5,1.3792,0.99711
pembro_chemo,158,43.0,1.4576,0.97917
pembro_chemo,159,42.5,1.4837,0.97975
pembro_chemo,160,42.5,1.5098,0.97975
pembro_chemo,161,42.5,1.5359,0.97975
pembro_chemo,164,32.5,1.6143,0.99132
pembro_chemo,165,32.5,1.6404,0.99132
pembro_chemo,166,33.0,1.6666,0.99074
pembro_chemo,167,37.5,1.6927,0.98553
pembro_chemo,168,41.0,1.7188,0.98148
pembro_chemo,169,42.0,1.745,0.98032
pembro_chemo,170,45.0,1.7711,0.97685
pembro_chemo,171,47.5,1.7972,0.97396
pembro_chemo,172,49.0,1.8233,0.97222
pembro_chemo,173,49.0,1.8495,0.97222
pembro_chemo,174,48.5,1.8756,0.9728
pembro_chemo,175,49.5,1.9017,0.97164
pembro_chemo,176,49.5,1.9279,0.97164
pembro_chemo,177,53.0,1.954,0.96759
pembro_chemo,178,53.5,1.9801,0.96701
pembro_chemo,179,49.5,2.0062,0.97164
pembro_chemo,180,50.0,2.0324,0.97106
pembro_chemo,181,53.0,2.0585,0.96759
pembro_chemo,182,54.0,2.0846,0.96644
