arm,start_time_months,end_time_months,survival
pembro_chemo,0.2296,0.3079,1.00000
pembro_chemo,0.5170,0.5953,0.99600
pembro_chemo,0.6476,1.1440,0.98950
pembro_chemo,1.1702,1.7711,0.98200
pembro_chemo,1.7972,1.9279,0.97800
pembro_chemo,1.9540,2.0846,0.96700
pembro_chemo,2.1107,2.1630,0.95600
pembro_chemo,2.3720,2.5027,0.94700
pembro_chemo,2.6333,2.7117,0.94700
pembro_chemo,3.0513,3.1036,0.94700
pembro_chemo,3.1297,3.4432,0.94100
pembro_chemo,3.5739,3.6000,0.93200
pembro_chemo,3.6261,3.9919,0.92800
pembro_chemo,4.0442,4.8803,0.89500
pembro_chemo,5.1154,5.1415,0.88400
pembro_chemo,5.2983,5.3244,0.88400
pembro_chemo,5.5073,5.6118,0.87800
pembro_chemo,5.7686,5.8470,0.86900
pembro_chemo,5.9254,6.1000,0.86800
pembro_chemo,6.1000,6.2500,0.83600
pembro_chemo,6.2500,6.3695,0.79300
pembro_chemo,6.5263,6.6047,0.77025
pembro_chemo,6.6308,6.8398,0.76215
pembro_chemo,7.0750,7.1272,0.74942
pembro_chemo,7.4408,7.4930,0.74942
pembro_chemo,7.5191,7.5975,0.74190
pembro_chemo,7.6498,7.9372,0.73800
pembro_chemo,7.9633,8.0417,0.72400
pembro_chemo,8.0678,8.1985,0.71600
pembro_chemo,8.2246,8.2768,0.70400
pembro_chemo,8.3030,8.3813,0.68400
pembro_chemo,8.6949,8.7733,0.65000
pembro_chemo,8.9039,9.0345,0.63300
pembro_chemo,9.2174,9.2958,0.62789
pembro_chemo,9.3219,9.4526,0.62326
pembro_chemo,9.6877,9.7138,0.60822
pembro_chemo,9.9490,10.2364,0.60677
pembro_chemo,10.2625,10.3409,0.59664
pembro_chemo,10.3670,10.5238,0.58000
pembro_chemo,10.5499,10.7067,0.58000
pembro_chemo,10.7328,10.9157,0.56597
pembro_chemo,11.3076,11.4383,0.53414
pembro_chemo,11.4644,11.4905,0.52488
pembro_chemo,11.6212,11.6473,0.52488
pembro_chemo,12.0915,12.3789,0.52488
pembro_chemo,12.5617,12.5879,0.52488
pembro_chemo,12.7185,12.7446,0.52025
pembro_chemo,12.7708,12.9537,0.50984
pembro_chemo,12.9798,13.0059,0.50405
pembro_chemo,13.1888,13.2149,0.49248
pembro_chemo,13.2411,13.3717,0.48727
pembro_chemo,13.3978,13.8420,0.47627
pembro_chemo,13.8681,13.8942,0.46238
pembro_chemo,14.1294,14.4168,0.46238
pembro_chemo,14.6519,14.7303,0.46238
pembro_chemo,14.7565,14.8871,0.45718
pembro_chemo,14.9655,14.9916,0.44850
pembro_chemo,15.1745,15.2006,0.44850
pembro_chemo,15.2268,15.4096,0.43924
pembro_chemo,15.6448,15.9844,0.43692
pembro_chemo,16.6376,16.6638,0.43692
pembro_chemo,16.8467,16.8728,0.43692
pembro_chemo,17.0034,17.1863,0.43692
pembro_chemo,17.3170,17.3431,0.43692
pembro_chemo,17.5782,17.6044,0.43692
pembro_chemo,18.3098,18.3359,0.41700
pembro_chemo,18.4143,18.5972,0.41700
pembro_chemo,18.9891,19.0675,0.41700
pembro_chemo,19.0936,19.1198,0.39900
pembro_chemo,19.1459,19.2243,0.38300
pembro_chemo,19.2504,19.2765,0.37100
pembro_chemo,19.6162,19.6423,0.36300
pembro_chemo,20.0865,20.1126,0.36300
pembro_chemo,20.5045,20.5306,0.36300
pembro_chemo,20.7135,25.3904,0.36300
pembro_chemo,25.5732,25.5994,0.36300
pembro_chemo,25.9390,26.9580,0.36300
pembro_chemo,27.0103,27.1148,0.30450
pembro_chemo,27.1409,28.5257,0.30450
pembro_chemo,28.7085,28.8914,0.30450
pembro_chemo,29.0743,29.8320,0.30450
pembro_chemo,30.1194,30.2501,0.30450
