drop_id,interval,time_months,raw_target_survival,raw_drop,allocated_events,censors_before_drop,reconstructed_survival_after_drop,survival_error,cleaning_action
1,1,0.3863,0.98438,0.01562,8,0,0.972603,-0.011777,kept
2,1,1.4053,0.96701,0.01621,2,0,0.965753,-0.001257,kept
3,1,1.8495,0.96181,0.0052,3,0,0.955479,-0.006331,kept
4,1,1.9017,0.95544,0.00637,4,0,0.941781,-0.013659,kept
5,1,2.1107,0.92911,0.02633,7,0,0.917808,-0.011302,kept
6,1,2.2675,0.91609,0.01302,0,0,0.917808,0.001718,removed_or_merged
7,1,2.7378,0.90451,0.01158,5,0,0.900685,-0.003825,kept
8,1,3.6784,0.89583,0.00868,1,77,0.895843,1.3e-05,kept
9,1,3.8874,0.88831,0.00752,3,0,0.881315,-0.006995,kept
10,1,3.9397,0.86979,0.01852,3,0,0.866788,-0.003002,kept
11,1,4.1487,0.85359,0.0162,3,0,0.852261,-0.001329,kept
12,1,4.4622,0.82697,0.02662,5,8,0.826896,-7.4e-05,kept
13,1,4.619,0.81771,0.00926,1,19,0.821154,0.003444,kept
14,1,4.6712,0.81308,0.00463,1,0,0.815411,0.002331,kept
15,1,4.8803,0.79803,0.01505,3,0,0.798184,0.000154,kept
16,1,5.1415,0.78993,0.0081,0,0,0.798184,0.008254,removed_or_merged
17,1,5.2983,0.7853,0.00463,2,0,0.7867,0.0014,kept
18,1,5.4028,0.76794,0.01736,1,0,0.780957,0.013017,kept
19,1,5.9254,0.74653,0.02141,7,0,0.740761,-0.005769,kept
20,1,5.9776,0.73582,0.01071,0,0,0.740761,0.004941,removed_or_merged
21,2,6.1866,0.71412,0.0217,6,0,0.706307,-0.007813,kept
22,2,6.2389,0.70081,0.01331,3,0,0.68908,-0.01173,kept
23,2,6.2911,0.66262,0.03819,3,38,0.66387,0.00125,kept
24,2,6.5524,0.64062,0.022,4,0,0.630256,-0.010364,kept
25,2,7.0488,0.62558,0.01504,0,0,0.630256,0.004676,removed_or_merged
26,2,7.7543,0.60822,0.01736,3,0,0.605046,-0.003174,kept
27,2,8.0156,0.60127,0.00695,0,0,0.605046,0.003776,removed_or_merged
28,2,8.1723,0.56539,0.03588,4,0,0.571432,0.006042,kept
29,2,8.3291,0.55903,0.00636,2,0,0.554625,-0.004405,kept
30,2,8.4336,0.51447,0.04456,5,0,0.512608,-0.001862,kept
31,2,8.5904,0.50752,0.00695,1,0,0.504205,-0.003315,kept
32,2,8.6426,0.49248,0.01504,1,0,0.495802,0.003322,kept
33,2,8.721,0.48727,0.00521,1,0,0.487398,0.000128,kept
34,2,8.9562,0.47975,0.00752,2,0,0.470591,-0.009159,kept
35,2,9.1652,0.47512,0.00463,0,0,0.470591,-0.004529,removed_or_merged
36,2,9.3742,0.4647,0.01042,0,0,0.470591,0.005891,removed_or_merged
37,2,10.2103,0.45775,0.00695,3,0,0.445381,-0.012369,kept
38,2,10.367,0.44647,0.01128,0,0,0.445381,-0.001089,removed_or_merged
39,2,10.4715,0.44155,0.00492,0,0,0.445381,0.003831,removed_or_merged
40,2,10.5238,0.43461,0.00694,0,0,0.445381,0.010771,removed_or_merged
41,2,10.5761,0.42824,0.00637,1,0,0.436978,0.008738,kept
42,2,10.6806,0.42303,0.00521,3,0,0.411767,-0.011263,kept
43,2,10.7328,0.4184,0.00463,0,0,0.411767,-0.006633,removed_or_merged
44,2,10.8373,0.40799,0.01041,2,0,0.394961,-0.013029,kept
45,2,10.8896,0.39988,0.00811,0,0,0.394961,-0.004919,removed_or_merged
46,2,10.9418,0.386,0.01388,0,0,0.394961,0.008961,removed_or_merged
47,2,10.9941,0.37384,0.01216,3,0,0.36975,-0.00409,kept
48,2,11.0986,0.36314,0.0107,1,0,0.361347,-0.001793,kept
49,2,11.1509,0.32755,0.03559,5,0,0.31933,-0.00822,kept
50,2,11.3076,0.32118,0.00637,0,0,0.31933,-0.00185,removed_or_merged
51,2,11.3599,0.30961,0.01157,1,0,0.310926,0.001316,kept
52,2,11.4121,0.29803,0.01158,1,0,0.302523,0.004493,kept
53,2,11.6212,0.2853,0.01273,3,0,0.277313,-0.007987,kept
54,3,12.5095,0.27836,0.00694,0,0,0.277313,-0.001047,removed_or_merged
55,3,12.9798,0.27257,0.00463,1,0,0.268909,-0.003661,kept
56,3,13.2933,0.26389,0.00868,1,0,0.260506,-0.003384,kept
57,3,13.5023,0.25405,0.00984,1,0,0.252102,-0.001948,kept
58,3,13.5546,0.24421,0.00984,1,0,0.243699,-0.000511,kept
59,3,13.7114,0.239,0.00521,1,0,0.235296,-0.003704,kept
60,3,13.7636,0.22975,0.00925,1,0,0.226892,-0.002858,kept
61,3,13.9204,0.22396,0.00579,0,0,0.226892,0.002932,removed_or_merged
62,3,14.0771,0.21817,0.00579,0,0,0.226892,0.008722,removed_or_merged
63,3,14.7042,0.20544,0.01273,4,0,0.193279,-0.012161,kept
64,3,16.0106,0.18,0.02544,1,8,0.180393,0.000393,kept
65,4,19.1981,0.16,0.02,2,0,0.144315,-0.015685,kept
66,4,19.3026,0.14757,0.01243,0,0,0.144315,-0.003255,removed_or_merged
67,4,19.3549,0.13715,0.01042,1,0,0.126275,-0.010875,kept
68,4,19.6162,0.12674,0.01041,0,0,0.126275,-0.000465,removed_or_merged
69,4,21.2361,0.10822,0.01852,2,0,0.090197,-0.018023,kept
