arm,x_pixel,y_pixel,time_months,survival
placebo_chemo,117,37.5,0.3863,0.98553
placebo_chemo,118,37.5,0.4125,0.98553
placebo_chemo,121,39.5,0.4908,0.98322
placebo_chemo,122,39.5,0.517,0.98322
placebo_chemo,133,21.5,0.8044,1.00405
placebo_chemo,134,24.5,0.8305,1.00058
placebo_chemo,135,26.5,0.8566,0.99826
placebo_chemo,136,26.5,0.8828,0.99826
placebo_chemo,137,26.5,0.9089,0.99826
placebo_chemo,138,21.5,0.935,1.00405
placebo_chemo,139,27.5,0.9611,0.99711
placebo_chemo,140,27.5,0.9873,0.99711
placebo_chemo,141,27.5,1.0134,0.99711
placebo_chemo,142,27.5,1.0395,0.99711
placebo_chemo,143,27.5,1.0656,0.99711
placebo_chemo,144,27.5,1.0918,0.99711
placebo_chemo,145,27.0,1.1179,0.99769
placebo_chemo,146,27.5,1.144,0.99711
placebo_chemo,147,27.5,1.1702,0.99711
placebo_chemo,148,27.5,1.1963,0.99711
placebo_chemo,149,27.5,1.2224,0.99711
placebo_chemo,150,27.5,1.2485,0.99711
placebo_chemo,151,27.5,1.2747,0.99711
placebo_chemo,152,27.5,1.3008,0.99711
placebo_chemo,153,28.0,1.3269,0.99653
placebo_chemo,154,28.0,1.353,0.99653
placebo_chemo,155,40.5,1.3792,0.98206
placebo_chemo,156,53.5,1.4053,0.96701
placebo_chemo,157,53.5,1.4314,0.96701
placebo_chemo,158,53.5,1.4576,0.96701
placebo_chemo,163,40.5,1.5882,0.98206
placebo_chemo,164,32.5,1.6143,0.99132
placebo_chemo,165,33.5,1.6404,0.99016
placebo_chemo,166,33.5,1.6666,0.99016
placebo_chemo,167,53.0,1.6927,0.96759
placebo_chemo,168,40.0,1.7188,0.98264
placebo_chemo,169,40.0,1.745,0.98264
placebo_chemo,170,45.0,1.7711,0.97685
placebo_chemo,171,51.0,1.7972,0.96991
placebo_chemo,172,52.5,1.8233,0.96817
placebo_chemo,173,57.5,1.8495,0.96238
placebo_chemo,174,58.5,1.8756,0.96123
placebo_chemo,175,63.5,1.9017,0.95544
placebo_chemo,176,63.5,1.9279,0.95544
placebo_chemo,181,43.5,2.0585,0.97859
placebo_chemo,182,60.5,2.0846,0.95891
placebo_chemo,183,86.0,2.1107,0.9294
placebo_chemo,184,85.5,2.1369,0.92998
placebo_chemo,185,82.0,2.163,0.93403
placebo_chemo,186,86.5,2.1891,0.92882
placebo_chemo,187,81.5,2.2153,0.93461
placebo_chemo,188,81.5,2.2414,0.93461
placebo_chemo,189,97.5,2.2675,0.91609
placebo_chemo,190,97.5,2.2936,0.91609
placebo_chemo,191,94.5,2.3198,0.91956
placebo_chemo,192,94.5,2.3459,0.91956
placebo_chemo,193,89.5,2.372,0.92535
placebo_chemo,194,89.5,2.3981,0.92535
placebo_chemo,195,89.5,2.4243,0.92535
placebo_chemo,196,89.5,2.4504,0.92535
placebo_chemo,197,95.5,2.4765,0.9184
placebo_chemo,198,95.5,2.5027,0.9184
placebo_chemo,199,93.5,2.5288,0.92072
placebo_chemo,200,93.5,2.5549,0.92072
placebo_chemo,201,63.5,2.581,0.95544
placebo_chemo,202,63.5,2.6072,0.95544
placebo_chemo,205,95.5,2.6855,0.9184
placebo_chemo,206,95.5,2.7117,0.9184
placebo_chemo,207,107.5,2.7378,0.90451
placebo_chemo,208,107.5,2.7639,0.90451
placebo_chemo,211,89.5,2.8423,0.92535
placebo_chemo,212,89.5,2.8684,0.92535
placebo_chemo,213,89.5,2.8946,0.92535
placebo_chemo,214,89.5,2.9207,0.92535
placebo_chemo,219,99.5,3.0513,0.91377
placebo_chemo,220,99.5,3.0775,0.91377
placebo_chemo,221,98.5,3.1036,0.91493
placebo_chemo,222,98.0,3.1297,0.91551
placebo_chemo,223,100.5,3.1558,0.91262
placebo_chemo,224,100.5,3.182,0.91262
placebo_chemo,227,85.5,3.2604,0.92998
placebo_chemo,228,85.5,3.2865,0.92998
placebo_chemo,229,67.5,3.3126,0.95081
placebo_chemo,230,67.5,3.3387,0.95081
placebo_chemo,231,70.5,3.3649,0.94734
placebo_chemo,232,70.5,3.391,0.94734
placebo_chemo,233,90.5,3.4171,0.92419
placebo_chemo,234,90.5,3.4432,0.92419
placebo_chemo,235,95.5,3.4694,0.9184
placebo_chemo,236,95.5,3.4955,0.9184
placebo_chemo,239,71.5,3.5739,0.94618
placebo_chemo,240,71.5,3.6,0.94618
placebo_chemo,241,107.5,3.6261,0.90451
placebo_chemo,242,107.5,3.6523,0.90451
placebo_chemo,243,113.5,3.6784,0.89757
placebo_chemo,244,115.0,3.7045,0.89583
placebo_chemo,245,75.5,3.7307,0.94155
placebo_chemo,246,75.5,3.7568,0.94155
placebo_chemo,247,113.5,3.7829,0.89757
placebo_chemo,248,113.5,3.809,0.89757
placebo_chemo,249,101.5,3.8352,0.91146
placebo_chemo,250,101.5,3.8613,0.91146
placebo_chemo,251,121.5,3.8874,0.88831
placebo_chemo,252,121.5,3.9135,0.88831
placebo_chemo,253,137.5,3.9397,0.86979
placebo_chemo,254,137.0,3.9658,0.87037
placebo_chemo,255,130.5,3.9919,0.87789
placebo_chemo,256,131.0,4.0181,0.87731
placebo_chemo,257,123.5,4.0442,0.886
placebo_chemo,258,125.0,4.0703,0.88426
placebo_chemo,259,131.0,4.0964,0.87731
placebo_chemo,260,79.5,4.1226,0.93692
placebo_chemo,261,151.5,4.1487,0.85359
placebo_chemo,262,151.5,4.1748,0.85359
placebo_chemo,263,151.5,4.2009,0.85359
placebo_chemo,264,151.5,4.2271,0.85359
placebo_chemo,265,133.5,4.2532,0.87442
placebo_chemo,266,133.5,4.2793,0.87442
placebo_chemo,267,133.5,4.3055,0.87442
placebo_chemo,268,133.5,4.3316,0.87442
placebo_chemo,269,135.5,4.3577,0.87211
placebo_chemo,270,135.5,4.3838,0.87211
placebo_chemo,271,125.5,4.41,0.88368
placebo_chemo,272,125.5,4.4361,0.88368
placebo_chemo,273,174.5,4.4622,0.82697
placebo_chemo,274,174.5,4.4883,0.82697
placebo_chemo,275,156.5,4.5145,0.8478
placebo_chemo,276,156.5,4.5406,0.8478
placebo_chemo,277,160.5,4.5667,0.84317
placebo_chemo,278,160.5,4.5929,0.84317
placebo_chemo,279,182.5,4.619,0.81771
placebo_chemo,280,182.5,4.6451,0.81771
placebo_chemo,281,186.5,4.6712,0.81308
placebo_chemo,282,186.5,4.6974,0.81308
placebo_chemo,283,186.5,4.7235,0.81308
placebo_chemo,284,186.5,4.7496,0.81308
placebo_chemo,285,183.5,4.7758,0.81655
placebo_chemo,286,183.5,4.8019,0.81655
placebo_chemo,287,186.5,4.828,0.81308
placebo_chemo,288,186.5,4.8541,0.81308
placebo_chemo,289,198.5,4.8803,0.79919
placebo_chemo,290,198.5,4.9064,0.79919
placebo_chemo,291,199.5,4.9325,0.79803
placebo_chemo,292,199.5,4.9586,0.79803
placebo_chemo,293,199.5,4.9848,0.79803
placebo_chemo,294,199.0,5.0109,0.79861
placebo_chemo,295,196.5,5.037,0.8015
placebo_chemo,296,196.5,5.0632,0.8015
