arm,x_pixel,y_pixel,time_months,survival
placebo_chemo,117.0,37.5,0.3863,0.98553
placebo_chemo,118.0,37.5,0.4125,0.98553
placebo_chemo,121.0,39.5,0.4908,0.98322
placebo_chemo,122.0,39.5,0.517,0.98322
placebo_chemo,133.0,21.5,0.8044,1.00405
placebo_chemo,134.0,24.5,0.8305,1.00058
placebo_chemo,135.0,26.5,0.8566,0.99826
placebo_chemo,136.0,26.5,0.8828,0.99826
placebo_chemo,137.0,26.5,0.9089,0.99826
placebo_chemo,138.0,21.5,0.935,1.00405
placebo_chemo,139.0,27.5,0.9611,0.99711
placebo_chemo,140.0,27.5,0.9873,0.99711
placebo_chemo,141.0,27.5,1.0134,0.99711
placebo_chemo,142.0,27.5,1.0395,0.99711
placebo_chemo,143.0,27.5,1.0656,0.99711
placebo_chemo,144.0,27.5,1.0918,0.99711
placebo_chemo,145.0,27.0,1.1179,0.99769
placebo_chemo,146.0,27.5,1.144,0.99711
placebo_chemo,147.0,27.5,1.1702,0.99711
placebo_chemo,148.0,27.5,1.1963,0.99711
placebo_chemo,149.0,27.5,1.2224,0.99711
placebo_chemo,150.0,27.5,1.2485,0.99711
placebo_chemo,151.0,27.5,1.2747,0.99711
placebo_chemo,152.0,27.5,1.3008,0.99711
placebo_chemo,153.0,28.0,1.3269,0.99653
placebo_chemo,154.0,28.0,1.353,0.99653
placebo_chemo,155.0,40.5,1.3792,0.98206
placebo_chemo,156.0,53.5,1.4053,0.96701
placebo_chemo,157.0,53.5,1.4314,0.96701
placebo_chemo,158.0,53.5,1.4576,0.96701
placebo_chemo,163.0,40.5,1.5882,0.98206
placebo_chemo,164.0,32.5,1.6143,0.99132
placebo_chemo,165.0,33.5,1.6404,0.99016
placebo_chemo,166.0,33.5,1.6666,0.99016
placebo_chemo,167.0,53.0,1.6927,0.96759
placebo_chemo,168.0,40.0,1.7188,0.98264
placebo_chemo,169.0,40.0,1.745,0.98264
placebo_chemo,170.0,45.0,1.7711,0.97685
placebo_chemo,171.0,51.0,1.7972,0.96991
placebo_chemo,172.0,52.5,1.8233,0.96817
placebo_chemo,173.0,57.5,1.8495,0.96238
placebo_chemo,174.0,58.5,1.8756,0.96123
placebo_chemo,175.0,63.5,1.9017,0.95544
placebo_chemo,176.0,63.5,1.9279,0.95544
placebo_chemo,181.0,43.5,2.0585,0.97859
placebo_chemo,182.0,60.5,2.0846,0.95891
placebo_chemo,183.0,86.0,2.1107,0.9294
placebo_chemo,184.0,85.5,2.1369,0.92998
placebo_chemo,185.0,82.0,2.163,0.93403
placebo_chemo,186.0,86.5,2.1891,0.92882
placebo_chemo,187.0,81.5,2.2153,0.93461
placebo_chemo,188.0,81.5,2.2414,0.93461
placebo_chemo,189.0,97.5,2.2675,0.91609
placebo_chemo,190.0,97.5,2.2936,0.91609
placebo_chemo,191.0,94.5,2.3198,0.91956
placebo_chemo,192.0,94.5,2.3459,0.91956
placebo_chemo,193.0,89.5,2.372,0.92535
placebo_chemo,194.0,89.5,2.3981,0.92535
placebo_chemo,195.0,89.5,2.4243,0.92535
placebo_chemo,196.0,89.5,2.4504,0.92535
placebo_chemo,197.0,95.5,2.4765,0.9184
placebo_chemo,198.0,95.5,2.5027,0.9184
placebo_chemo,199.0,93.5,2.5288,0.92072
placebo_chemo,200.0,93.5,2.5549,0.92072
placebo_chemo,201.0,63.5,2.581,0.95544
placebo_chemo,202.0,63.5,2.6072,0.95544
placebo_chemo,205.0,95.5,2.6855,0.9184
placebo_chemo,206.0,95.5,2.7117,0.9184
placebo_chemo,207.0,107.5,2.7378,0.90451
placebo_chemo,208.0,107.5,2.7639,0.90451
placebo_chemo,211.0,89.5,2.8423,0.92535
placebo_chemo,212.0,89.5,2.8684,0.92535
placebo_chemo,213.0,89.5,2.8946,0.92535
placebo_chemo,214.0,89.5,2.9207,0.92535
placebo_chemo,219.0,99.5,3.0513,0.91377
placebo_chemo,220.0,99.5,3.0775,0.91377
placebo_chemo,221.0,98.5,3.1036,0.91493
placebo_chemo,222.0,98.0,3.1297,0.91551
placebo_chemo,223.0,100.5,3.1558,0.91262
placebo_chemo,224.0,100.5,3.182,0.91262
placebo_chemo,227.0,85.5,3.2604,0.92998
placebo_chemo,228.0,85.5,3.2865,0.92998
placebo_chemo,229.0,67.5,3.3126,0.95081
placebo_chemo,230.0,67.5,3.3387,0.95081
placebo_chemo,231.0,70.5,3.3649,0.94734
placebo_chemo,232.0,70.5,3.391,0.94734
placebo_chemo,233.0,90.5,3.4171,0.92419
placebo_chemo,234.0,90.5,3.4432,0.92419
placebo_chemo,235.0,95.5,3.4694,0.9184
placebo_chemo,236.0,95.5,3.4955,0.9184
placebo_chemo,239.0,71.5,3.5739,0.94618
placebo_chemo,240.0,71.5,3.6,0.94618
placebo_chemo,241.0,107.5,3.6261,0.90451
placebo_chemo,242.0,107.5,3.6523,0.90451
placebo_chemo,243.0,113.5,3.6784,0.89757
placebo_chemo,244.0,115.0,3.7045,0.89583
placebo_chemo,245.0,75.5,3.7307,0.94155
placebo_chemo,246.0,75.5,3.7568,0.94155
placebo_chemo,247.0,113.5,3.7829,0.89757
placebo_chemo,248.0,113.5,3.809,0.89757
placebo_chemo,249.0,101.5,3.8352,0.91146
placebo_chemo,250.0,101.5,3.8613,0.91146
placebo_chemo,251.0,121.5,3.8874,0.88831
placebo_chemo,252.0,121.5,3.9135,0.88831
placebo_chemo,253.0,137.5,3.9397,0.86979
placebo_chemo,254.0,137.0,3.9658,0.87037
