arm,x_pixel,y_pixel,time_months,survival,reason,local_median,running_min,abs_dev
pembro_chemo,294.0,200.5,5.0109,0.79688,local_median_deviation,0.89062,,0.09374
pembro_chemo,295.0,204.0,5.037,0.79282,local_median_deviation,0.88686,,0.09404
pembro_chemo,296.0,200.5,5.0632,0.79688,local_median_deviation,0.88281,,0.08593
pembro_chemo,297.0,199.5,5.0893,0.79803,local_median_deviation,0.88223,,0.0842
pembro_chemo,307.0,210.5,5.3506,0.7853,local_median_deviation,0.87153,,0.08623
pembro_chemo,372.0,295.5,7.0488,0.68692,local_median_deviation,0.76215,,0.07523
placebo_chemo,260.0,79.5,4.1226,0.93692,local_median_deviation,0.87731,,0.05961
placebo_chemo,323.0,151.5,5.7686,0.85359,local_median_deviation,0.76794,,0.08565
placebo_chemo,324.0,151.5,5.7947,0.85359,local_median_deviation,0.76794,,0.08565
placebo_chemo,325.0,151.5,5.8209,0.85359,local_median_deviation,0.76794,,0.08565
placebo_chemo,326.0,151.5,5.847,0.85359,local_median_deviation,0.74711,,0.10648
placebo_chemo,691.0,779.5,15.3835,0.12674,local_median_deviation,0.20891,,0.08217
placebo_chemo,692.0,779.5,15.4096,0.12674,local_median_deviation,0.20891,,0.08217
placebo_chemo,707.0,780.5,15.8016,0.12558,local_median_deviation,0.20891,,0.08333
placebo_chemo,708.0,780.5,15.8277,0.12558,local_median_deviation,0.20891,,0.08333
placebo_chemo,717.0,781.5,16.0628,0.12442,local_median_deviation,0.19734,,0.07292
placebo_chemo,718.0,781.5,16.089,0.12442,local_median_deviation,0.19734,,0.07292
