subgroup,endpoint,treatment,curve_id,dist_label,parameter,estimate,se
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,exponential,rate,0.0656557242986222,0.008547647246549347
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,weibull,shape,1.3494932226053564,0.13092275781413842
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,weibull,scale,13.882648262975744,1.3629924778951321
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,gompertz,shape,0.009222432410383619,0.020873463982619127
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,gompertz,rate,0.06193759289803435,0.011617910492481811
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,lognormal,meanlog,2.2659925812923767,0.10033972374972795
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,lognormal,sdlog,0.8779264242377316,0.0839294676918926
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,loglogistic,shape,2.021011367798979,0.21690597182891755
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,loglogistic,scale,9.1615814301474,0.871876240442916
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,gamma,shape,1.8136920513724017,0.28414461862973583
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,gamma,rate,0.14556644983069733,0.03168275316381268
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,generalized_gamma,mu,2.1512025029571045,0.1560809828224311
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,generalized_gamma,sigma,0.9179167554045794,0.09608855482470399
dMMR,PFS,placebo_chemo,dMMR_PFS_placebo_chemo,generalized_gamma,Q,-0.3300970626767685,0.34093793420682117
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,exponential,rate,0.021393632218337358,0.004195636467222775
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,weibull,shape,1.036192594028591,0.16496203487109748
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,weibull,scale,44.88391528671392,11.634413919711136
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,gompertz,shape,-0.01634056762844297,0.027150300899780325
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,gompertz,rate,0.024553848951720962,0.007176366469171816
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,lognormal,meanlog,3.6443427824051393,0.3078382318897858
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,lognormal,sdlog,1.6331716209586018,0.24121465196211778
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,loglogistic,shape,1.1804855829616716,0.1903570416477538
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,loglogistic,scale,32.50300824236094,8.381390126356942
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,gamma,shape,1.0723804266294052,0.21324558568709048
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,gamma,rate,0.024534534459789165,0.010451749472300988
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,generalized_gamma,mu,3.706660180945937,0.3096344469489394
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,generalized_gamma,sigma,1.39656342666316,0.4966858422220279
dMMR,PFS,pembro_chemo,dMMR_PFS_pembro_chemo,generalized_gamma,Q,0.3340362957230159,0.6366751178335865
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,exponential,rate,0.013219714297118159,0.003115916541427049
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,weibull,shape,1.0664631573668457,0.21650405391743033
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,weibull,scale,68.26232390408822,26.076592349545578
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,gompertz,shape,-0.02554720315585499,0.038705248936197444
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,gompertz,rate,0.016108929140893402,0.005894467367596584
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,lognormal,meanlog,4.192912959331819,0.42906843960128777
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,lognormal,sdlog,1.6675943649627893,0.3141046511977184
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,loglogistic,shape,1.1585715745743752,0.2351495348054791
dMMR,OS,placebo_chemo,dMMR_OS_placebo_chemo,loglogistic,scale,53.799996224027005,19.776123220884806
