subgroup,endpoint,treatment,arm_role,treatment_label,curve_id,dist_label,dist_name,converged,error,n,events,loglik,aic,bic
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,loglogistic,llogis,TRUE,NA,113,59,-208.61343755237,421.22687510474,426.68165074216466
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,lognormal,lnorm,TRUE,NA,113,59,-208.7634820582277,421.5269641164554,426.9817397538801
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,generalized_gamma,gengamma,TRUE,NA,113,59,-208.29012230594014,422.5802446118803,430.7624080680173
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,gamma,gamma,TRUE,NA,113,59,-213.39829524260117,430.79659048520233,436.251366122627
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,weibull,weibull,TRUE,NA,113,59,-215.67804847328168,435.35609694656335,440.81087258398804
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,exponential,exp,TRUE,NA,113,59,-219.6764987765086,441.3529975530172,444.0803853717295
dMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_PFS_placebo_chemo,gompertz,gompertz,TRUE,NA,113,59,-219.58215219763542,443.16430439527085,448.61908003269554
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,exponential,exp,TRUE,NA,112,26,-125.9612109893112,253.9224219786224,256.6409208499175
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,loglogistic,llogis,TRUE,NA,112,26,-125.3736581577904,254.7473163155808,260.18431405817097
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,lognormal,lnorm,TRUE,NA,112,26,-125.54974269292036,255.09948538584072,260.5364831284309
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,gompertz,gompertz,TRUE,NA,112,26,-125.77016756421575,255.5403351284315,260.9773328710217
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,gamma,gamma,TRUE,NA,112,26,-125.90049060495734,255.80098120991468,261.2379789525049
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,weibull,weibull,TRUE,NA,112,26,-125.93671139732379,255.87342279464758,261.31042053723775
dMMR,PFS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_PFS_pembro_chemo,generalized_gamma,gengamma,TRUE,NA,112,26,-125.4250464429723,256.8500928859446,265.0055894998299
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,lognormal,lnorm,TRUE,NA,113,18,-94.82642457871192,193.65284915742384,199.10762479484853
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,exponential,exp,TRUE,NA,113,18,-95.86882901385096,193.7376580277019,196.46504584641426
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,loglogistic,llogis,TRUE,NA,113,18,-95.47439904408482,194.94879808816964,200.40357372559433
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,generalized_gamma,gengamma,TRUE,NA,113,18,-94.47664021161899,194.95328042323797,203.135443879375
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,gompertz,gompertz,TRUE,NA,113,18,-95.63493422191847,195.26986844383694,200.72464408126163
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,gamma,gamma,TRUE,NA,113,18,-95.7742014825554,195.5484029651108,201.00317860253548
dMMR,OS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,dMMR_OS_placebo_chemo,weibull,weibull,TRUE,NA,113,18,-95.82008716490084,195.64017432980168,201.09494996722637
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,exponential,exp,TRUE,NA,112,8,-50.13194029042588,102.26388058085176,104.98237945214686
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,lognormal,lnorm,TRUE,NA,112,8,-49.65204950886494,103.30409901772988,108.74109676032008
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,gompertz,gompertz,TRUE,NA,112,8,-49.654374567908654,103.30874913581731,108.7457468784075
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,loglogistic,llogis,TRUE,NA,112,8,-49.70236623488988,103.40473246977976,108.84173021236995
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,weibull,weibull,TRUE,NA,112,8,-49.71837308293125,103.4367461658625,108.8737439084527
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,gamma,gamma,TRUE,NA,112,8,-49.72707481011423,103.45414962022846,108.89114736281866
dMMR,OS,pembro_chemo,intervention,Pembrolizumab + paclitaxel-carboplatin,dMMR_OS_pembro_chemo,generalized_gamma,gengamma,TRUE,NA,112,8,-49.651963219111146,105.30392643822229,113.45942305210758
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,weibull,weibull,TRUE,NA,292,133,-468.63416167379944,941.2683233475989,948.6218309521355
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,gamma,gamma,TRUE,NA,292,133,-469.5482915550881,943.0965831101762,950.4500907147128
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,generalized_gamma,gengamma,TRUE,NA,292,133,-468.6058449432101,943.2116898864202,954.241951293225
pMMR,PFS,placebo_chemo,comparator,Placebo + paclitaxel-carboplatin,pMMR_PFS_placebo_chemo,loglogistic,llogis,TRUE,NA,292,133,-470.70675476685244,945.4135095337049,952.7670171382415
