subgroup,endpoint,treatment,dist_label,n,events,aic,bic
dMMR,PFS,placebo_chemo,loglogistic,113,59,421.22687510474,426.68165074216466
dMMR,PFS,placebo_chemo,lognormal,113,59,421.5269641164554,426.9817397538801
dMMR,PFS,placebo_chemo,generalized_gamma,113,59,422.5802446118803,430.7624080680173
dMMR,PFS,pembro_chemo,exponential,112,26,253.9224219786224,256.6409208499175
dMMR,PFS,pembro_chemo,loglogistic,112,26,254.7473163155808,260.18431405817097
dMMR,PFS,pembro_chemo,lognormal,112,26,255.09948538584072,260.5364831284309
dMMR,OS,placebo_chemo,lognormal,113,18,193.65284915742384,199.10762479484853
dMMR,OS,placebo_chemo,exponential,113,18,193.7376580277019,196.46504584641426
dMMR,OS,placebo_chemo,loglogistic,113,18,194.94879808816964,200.40357372559433
dMMR,OS,pembro_chemo,exponential,112,8,102.26388058085176,104.98237945214686
dMMR,OS,pembro_chemo,lognormal,112,8,103.30409901772988,108.74109676032008
dMMR,OS,pembro_chemo,gompertz,112,8,103.30874913581731,108.7457468784075
pMMR,PFS,placebo_chemo,weibull,292,133,941.2683233475989,948.6218309521355
pMMR,PFS,placebo_chemo,gamma,292,133,943.0965831101762,950.4500907147128
pMMR,PFS,placebo_chemo,generalized_gamma,292,133,943.2116898864202,954.241951293225
pMMR,PFS,pembro_chemo,loglogistic,290,89,738.453541593105,745.793303439066
pMMR,PFS,pembro_chemo,gamma,290,89,741.8911913153233,749.2309531612843
pMMR,PFS,pembro_chemo,generalized_gamma,290,89,743.2601804621225,754.2698232310642
pMMR,OS,placebo_chemo,weibull,295,61,593.59828297911,600.9722336917896
pMMR,OS,placebo_chemo,gamma,295,61,594.3846076703144,601.758558382994
pMMR,OS,placebo_chemo,generalized_gamma,295,61,595.2433677437563,606.3042938127758
pMMR,OS,pembro_chemo,weibull,293,53,538.7426331985223,546.1029784165564
pMMR,OS,pembro_chemo,gamma,293,53,538.7804563758195,546.1408015938537
pMMR,OS,pembro_chemo,loglogistic,293,53,538.9665670281059,546.3269122461401
