"treatment","vague/all6","weak/all6","vague/clean","weak/clean","rank","crr_pct","crr_lo_pct","crr_hi_pct","sucra_pct","paper"
"PomBorDex","  4.0 [ 0.0, 28.9]"," 24.3 [ 8.5, 47.2]"," 55.9 [29.6, 80.9]"," 44.3 [24.5, 66.5]",1,42,17,71,93," 42.0 [17.0, 71.0]"
"CarLenDex","  3.2 [ 0.0, 23.1]"," 30.1 [13.7, 49.5]"," 51.8 [33.7, 68.6]"," 52.1 [36.6, 66.7]",2,40,21,61,92," 40.0 [21.0, 61.0]"
"DaraLenDex","  2.6 [ 0.0, 18.9]"," 25.2 [11.2, 43.0]"," 45.4 [28.3, 62.4]"," 45.8 [31.4, 60.7]",3,34,17,55,84," 34.0 [17.0, 55.0]"
"DaraBorDex","  2.2 [ 0.0, 17.1]"," 14.7 [ 4.8, 30.6]"," 40.0 [18.5, 66.1]"," 30.4 [15.3, 49.5]",4,27,10,53,76," 27.0 [10.0, 53.0]"
"CarDex","  1.9 [ 0.0, 14.6]"," 13.0 [ 4.4, 26.7]"," 36.5 [16.9, 61.3]"," 27.6 [14.2, 45.1]",5,24,9,48,70," 24.0 [ 9.0, 48.0]"
"IxaLenDex","  1.3 [ 0.0, 10.1]"," 14.1 [ 5.3, 27.5]"," 29.8 [15.4, 47.5]"," 29.5 [16.7, 44.9]",6,21,8,39,64," 21.0 [ 8.0, 39.0]"
"PanoBorDex","  1.5 [ 0.0, 11.2]"," 10.5 [ 3.6, 21.6]"," 31.1 [14.2, 54.2]"," 23.3 [12.4, 38.1]",7,20,7,40,60," 20.0 [ 7.0, 40.0]"
"PLDBor","  1.4 [ 0.0, 11.2]","  9.0 [ 2.3, 22.4]"," 29.5 [10.0, 58.4]"," 20.2 [ 7.5, 40.8]",8,19,5,45,57," 19.0 [ 5.0, 45.0]"
"LenDex","  0.7 [ 0.0,  5.2]","  7.9 [ 3.2, 14.4]"," 17.4 [ 9.8, 26.7]"," 18.0 [11.7, 25.4]",9,11,5,21,42," 11.0 [ 5.0, 21.0]"
"BorThalDex","  0.5 [ 0.0,  3.9]","  4.5 [ 0.9, 13.1]"," 12.3 [ 2.4, 36.9]"," 10.7 [ 3.1, 25.7]",10,11,2,33,39," 11.0 [ 2.0, 33.0]"
"Bor/BorDex","  0.7 [ 0.0,  5.8]","  5.5 [ 2.0, 11.3]"," 18.4 [ 8.0, 35.0]"," 13.3 [ 7.1, 22.1]",11,11,4,24,37," 11.0 [ 4.0, 24.0]"
"EloLenDex","  0.5 [ 0.0,  3.8]","  5.2 [ 1.6, 11.9]"," 12.2 [ 4.8, 23.8]"," 12.1 [ 5.3, 22.2]",12,8,3,18,30,"  8.0 [ 3.0, 18.0]"
"PomDex"," 58.8 [ 0.0,100.0]","  4.9 [ 0.4, 21.2]"," 81.9 [ 3.3,100.0]"," 11.9 [ 1.0, 49.6]",13,6,0,29,22,"  6.0 [ 0.0, 29.0]"
"Thal/ThalDex","  0.1 [ 0.0,  1.0]","  1.3 [ 0.3,  3.6]","  3.8 [ 0.8, 12.5]","  3.2 [ 1.0,  7.8]",14,3,1,11,14,"  3.0 [ 1.0, 11.0]"
"OblDex"," 13.6 [ 0.0,100.0]","  1.6 [ 0.0,  9.4]"," 24.0 [ 0.0,100.0]","  4.3 [ 0.1, 25.4]",15,4,0,23,13,"  4.0 [ 0.0, 23.0]"
"Dex","  0.1 [ 0.0,  0.5]","  1.2 [ 0.5,  2.1]","  2.1 [ 1.1,  3.4]","  3.2 [ 2.1,  4.5]",16,1,1,2,6,"  1.0 [ 1.0,  2.0]"
