"treatment","post_sd","contraction","crr","ci_width","p_best"
"OblDex",81.3064882615974,0.186935117384026,20.2861550414292,100,15.1625
"PomDex",41.9025504193346,0.580974495806654,74.8529294974842,99.9999999995068,83.4875
"BorThalDex",0.93602232089481,0.990639776791052,0.0236840307742359,0.0639252899052733,0.05
"Thal/ThalDex",0.891295306996543,0.991087046930035,0.00707028089488236,0.0203002393093665,0
"PLDBor",0.684515959972601,0.993154840400274,0.0726673898649328,0.292805833634331,0.09375
"PomBorDex",0.618752927578313,0.993812470724217,0.157910419929538,0.718460572275321,1.45
"DaraBorDex",0.579767376262911,0.994202326237371,0.0870435844546551,0.358631288428013,0.0625
"CarDex",0.558806061064367,0.994411939389356,0.0781468953335015,0.327960790134756,0.0125
"PanoBorDex",0.535706703325362,0.994642932966746,0.0733443248157141,0.323218488269973,0
"Bor/BorDex",0.504739382624422,0.994952606173756,0.0362901707554074,0.15231450081502,0
"EloLenDex",0.483044638015,0.99516955361985,0.0189933749783443,0.0767132280160487,0
"IxaLenDex",0.426131143922833,0.995738688560772,0.0582940205203097,0.250934384795079,0
"CarLenDex",0.386607924150755,0.996133920758492,0.131883543270032,0.575040405813854,1.025
"DaraLenDex",0.379617443970022,0.9962038255603,0.0962685197289763,0.424727385669624,0.05
"LenDex",0.32731268322197,0.99672687316778,0.0316743557133927,0.135797381759438,0
"Dex",0,1,0.00337065991332379,0.0136601189336133,0
