"treatment","crr","lo","hi","orr","best_crr","best_orr"
"Dex",1.21035055263308,0.507071061277638,2.13863264623029,16.6465452571242,0,0
"Bor/BorDex",5.52173266333342,1.97962364885951,11.2891916896944,30.1462740030309,0,0
"LenDex",7.86383651658042,3.2402401028556,14.3797334467031,46.5150556717337,0,0
"PomDex",4.8989144604304,0.420620822127142,21.2352261866988,46.6744986184377,1.8,0.15625
"PomBorDex",24.346594620218,8.52764171998286,47.1589017532263,68.542237463289,25.175,10.7625
"CarLenDex",30.1311479090896,13.7249396950568,49.4988211443297,74.7716138568483,59.2875,39.10625
"EloLenDex",5.24022932771059,1.60720451866366,11.8636827742771,61.4388190337333,0,0.2125
"IxaLenDex",14.1352977661037,5.33522396585205,27.4721354870952,56.2413524870481,0.0625,0.00625
"CarDex",12.9757885336127,4.43144213742068,26.7333966919586,47.2287432853449,0.16875,0
"PanoBorDex",10.4532101091321,3.6137678543686,21.5989801796416,33.6331271164154,0,0
"Thal/ThalDex",1.25818626235795,0.271268963603585,3.6074379181646,16.2183398761227,0,0
"BorThalDex",4.46598493148852,0.886161192813637,13.0758012355996,25.1471111667039,0.09375,0
"DaraBorDex",14.7438840754417,4.83301099577519,30.5872057668844,52.6711518958311,0.7125,0.03125
"DaraLenDex",25.2135317687869,11.1641845305184,43.0226803735573,75.4290126144073,12.3375,49.725
"OblDex",1.58786941643482,0.0233121296433222,9.37394049107285,15.4847831274351,0.2125,0
"PLDBor",8.97596220518964,2.29134638942986,22.3785269572286,34.3614531633268,0.15,0
