"treatment","vague_crr","vague_best","weak_crr","weak_best","tight_crr","tight_best","crr_pct","crr_lo_pct","crr_hi_pct","paper"
"CarLenDex","  0.1 [ 0.0,  0.6]","  1.0%"," 23.0 [ 7.8, 43.1]"," 53.8%"," 24.2 [12.4, 38.5]"," 81.2%",40,21,61," 40.0 [21.0, 61.0]"
"PomBorDex","  0.2 [ 0.0,  0.7]","  1.5%"," 19.4 [ 4.9, 43.7]"," 27.5%"," 14.4 [ 5.8, 27.8]","  7.4%",42,17,71," 42.0 [17.0, 71.0]"
"DaraLenDex","  0.1 [ 0.0,  0.4]","  0.1%"," 17.7 [ 5.7, 34.8]","  5.5%"," 18.8 [ 9.3, 30.8]"," 10.6%",34,17,55," 34.0 [17.0, 55.0]"
"DaraBorDex","  0.1 [ 0.0,  0.4]","  0.1%"," 11.8 [ 2.9, 28.2]","  1.1%","  9.2 [ 3.8, 17.9]","  0.2%",27,10,53," 27.0 [10.0, 53.0]"
"IxaLenDex","  0.1 [ 0.0,  0.3]","  0.0%"," 11.3 [ 3.2, 25.0]","  0.1%"," 11.6 [ 5.1, 21.0]","  0.1%",21,8,39," 21.0 [ 8.0, 39.0]"
"CarDex","  0.1 [ 0.0,  0.3]","  0.0%"," 10.7 [ 2.7, 25.0]","  0.3%","  8.5 [ 3.6, 16.3]","  0.0%",24,9,48," 24.0 [ 9.0, 48.0]"
"PanoBorDex","  0.1 [ 0.0,  0.3]","  0.0%"," 10.2 [ 2.7, 23.6]","  0.0%","  8.4 [ 3.7, 15.5]","  0.0%",20,7,40," 20.0 [ 7.0, 40.0]"
"PLDBor","  0.1 [ 0.0,  0.3]","  0.1%","  9.0 [ 1.8, 24.6]","  0.7%","  6.3 [ 2.1, 14.4]","  0.1%",19,5,45," 19.0 [ 5.0, 45.0]"
"PomDex"," 74.9 [ 0.0,100.0]"," 83.5%","  7.3 [ 0.4, 38.5]","  8.9%","  3.3 [ 0.6, 10.5]","  0.2%",6,0,29,"  6.0 [ 0.0, 29.0]"
"LenDex","  0.0 [ 0.0,  0.1]","  0.0%","  6.5 [ 2.0, 13.6]","  0.0%","  7.3 [ 3.6, 12.3]","  0.0%",11,5,21," 11.0 [ 5.0, 21.0]"
"Bor/BorDex","  0.0 [ 0.0,  0.2]","  0.0%","  5.3 [ 1.4, 12.7]","  0.0%","  4.5 [ 2.1,  8.1]","  0.0%",11,4,24," 11.0 [ 4.0, 24.0]"
"EloLenDex","  0.0 [ 0.0,  0.1]","  0.0%","  3.9 [ 0.9,  9.5]","  0.0%","  4.0 [ 1.5,  8.4]","  0.0%",8,3,18,"  8.0 [ 3.0, 18.0]"
"BorThalDex","  0.0 [ 0.0,  0.1]","  0.1%","  3.4 [ 0.5, 11.6]","  0.3%","  4.3 [ 1.3, 10.2]","  0.0%",11,2,33," 11.0 [ 2.0, 33.0]"
"OblDex"," 20.3 [ 0.0,100.0]"," 15.2%","  2.0 [ 0.0, 15.5]","  1.7%","  1.9 [ 0.2,  7.0]","  0.0%",4,0,23,"  4.0 [ 0.0, 23.0]"
"Thal/ThalDex","  0.0 [ 0.0,  0.0]","  0.0%","  1.1 [ 0.2,  3.9]","  0.0%","  1.5 [ 0.5,  3.5]","  0.0%",3,1,11,"  3.0 [ 1.0, 11.0]"
"Dex","  0.0 [ 0.0,  0.0]","  0.0%","  0.9 [ 0.3,  1.8]","  0.0%","  1.8 [ 1.0,  2.9]","  0.0%",1,1,2,"  1.0 [ 1.0,  2.0]"
