"treatment","crr_adj","lo_adj","hi_adj","sucra_adj","best_adj","crr_raw","lo_raw","hi_raw","sucra_raw","best_raw","rank","sucra_pct","crr_pct","crr_lo_pct","crr_hi_pct"
"PomBorDex",41.851220345706,16.9473804166337,70.5768017907225,93,47.1,3.96443646288231,0.00106712376507232,28.9380606167605,87,9.1625,1,93,42,17,71
"CarLenDex",40.375232979418,20.5587038297959,61.0250508108573,92,38.5125,3.20759078168695,0.00096049318207007,23.0527063115239,84,5,2,92,40,21,61
"DaraLenDex",34.4526691882062,16.6162592714407,54.8937878439234,85,7.4125,2.5529200795303,0.000762323748789376,18.87469177678,76,0.90625,3,84,34,17,55
"DaraBorDex",26.9092572470645,9.70738580628854,52.1816746328898,75,1.71875,2.17035137100825,0.000518151777449116,17.0992784385874,70,0.2875,4,76,27,10,53
"CarDex",23.9615801207183,8.70954487727245,47.1552050213081,70,0.3375,1.87434322278841,0.000450455118392672,14.5514355836916,65,0.04375,5,70,24,9,48
"IxaLenDex",20.8847059219404,8.36888287435798,38.1468149452654,64,0.01875,1.34640838054202,0.000357817601017479,10.1135561261742,56,0,6,64,21,8,39
"PanoBorDex",19.5240748589775,7.20902106665912,39.1974885874158,59,0,1.45467814500735,0.000347481872424856,11.2263101759558,55,0,7,60,20,7,40
"PLDBor",18.6768116619581,5.11184973381827,43.5947438423905,57,0.5625,1.41978813817291,0.000283934936448073,11.1971444352324,52,0.11875,8,57,19,5,45
"LenDex",11.4996788089385,5.01878693539283,20.5452443717282,42,0,0.674956382483784,0.000183994077859977,5.15627947289445,36,0,9,42,11,5,21
"BorThalDex",10.5602942573295,1.78881790412036,33.3452917215034,39,1.14375,0.486333535140462,8.62672295408573e-05,3.87155738401084,28,0.11875,10,39,11,2,33
"Bor/BorDex",10.7547899262506,3.82381457083589,22.7610274958648,37,0,0.734670022117088,0.000173438736878125,5.78923125359458,33,0,11,37,11,4,24
"EloLenDex",8.07595110762754,2.61809549051428,17.9408822295471,31,0,0.471249475514998,0.000106659896855561,3.83377172408463,26,0,12,30,8,3,18
"PomDex",5.77533166542227,0.414766229766036,31.6666722934616,22,2.025,58.8331560726353,0.0146419954597696,99.9999999802951,88,71.36875,13,22,6,0,29
"Thal/ThalDex",3.15207131477918,0.551385757022786,10.7959310141488,14,0,0.131485355080389,2.41337498013056e-05,1.00881532534923,10,0,14,14,3,1,11
"OblDex",3.561757097784,0.04001281538655,22.5059857171341,13,1.16875,13.6372144636548,1.70441255742893e-22,99.9989842559764,26,12.99375,15,13,4,0,23
"Dex",1.27522419401512,0.577353791422377,2.18465163813719,6,0,0.0684511592838669,1.78353417347727e-05,0.533836563297871,7,0,16,6,1,1,2
