"treatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"Dex","0","0","0","0","0","0","0","0","0","0","0","0.1","2.73","19.38","47.12","30.66"
"Bor/BorDex","0","0","0","0","0.01","0.16","0.98","7.09","19.61","23.72","24.13","16.38","6.44","1.39","0.09","0"
"LenDex","0","0","0","0.24","1.55","3.15","5.53","10.64","20.56","27.77","20.44","8.12","1.84","0.16","0","0"
"PomDex","2.02","0.92","0.95","1.31","1.3","1.07","1.34","2","2.68","3.03","4.38","8.31","18.32","21.76","16.64","13.96"
"PomBorDex","47.1","19.1","20.89","8.74","3.03","0.79","0.22","0.11","0.01","0.01","0.01","0","0","0","0","0"
"CarLenDex","38.51","33.53","14.32","6.44","3.71","2.06","1.14","0.24","0.05","0.01","0","0","0","0","0","0"
"EloLenDex","0","0","0","0.06","0.48","0.94","1.51","2.72","5.75","11.62","23.4","28.85","18.32","5.69","0.66","0.01"
"IxaLenDex","0.02","0.46","6.09","16.79","13.96","13.34","14.7","17.99","11.16","4.21","1.05","0.19","0.02","0","0","0"
"CarDex","0.34","4.11","7.58","15.35","22.98","22.61","14.31","7.32","3.56","1.26","0.44","0.14","0.01","0","0","0"
"PanoBorDex","0","0.24","1.23","4.21","9.43","19.93","26.9","20.23","10.63","4.98","1.88","0.33","0.02","0","0","0"
"Thal/ThalDex","0","0.02","0.04","0.06","0.08","0.15","0.24","0.44","0.74","1.39","2.09","5.03","24.66","33.48","21.3","10.29"
"BorThalDex","1.14","1.12","1.54","2.93","2.84","3.3","4.16","6","8.49","10.15","13.14","24.4","16.21","4.2","0.35","0"
"DaraBorDex","1.72","10.09","12.32","23.23","23.16","14.55","8.19","4.11","1.81","0.64","0.15","0.03","0","0","0","0"
"DaraLenDex","7.41","27.79","31.29","13.76","7.92","5.77","4.45","1.4","0.18","0.03","0","0","0","0","0","0"
"OblDex","1.17","0.56","0.52","0.69","0.82","0.74","0.81","1.12","1.49","1.82","2.63","4.85","10.23","13.63","13.82","45.08"
"PLDBor","0.56","2.04","3.21","6.19","8.73","11.42","15.53","18.59","13.28","9.37","6.26","3.28","1.2","0.32","0.02","0"
