"treatment","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"Dex","0","0","0","0","0","0","0","0","0","0","0","0","2.27","23.84","49.2","24.69"
"Bor/BorDex","0","0","0","0","0","0","0","0","0.08","1.71","14.1","56.66","25.95","1.48","0.03","0"
"LenDex","0","0","0","0","0.04","6.87","17.31","33.89","25.62","10.88","4.26","1.01","0.11","0","0","0"
"PomDex","0.51","0.27","0.54","1.89","2.89","6.14","9.34","14.71","24.75","15.89","12.88","7.65","2.44","0.09","0","0"
"PomBorDex","24.47","20.29","45.27","7.21","2.36","0.36","0.03","0.01","0","0","0","0","0","0","0","0"
"CarLenDex","33.54","42.52","21.82","1.74","0.32","0.04","0.01","0","0","0","0","0","0","0","0","0"
"EloLenDex","0.02","0.29","6.58","40.24","28.07","15.24","7.02","2.02","0.43","0.09","0.01","0","0","0","0","0"
"IxaLenDex","0","0.06","2.53","18.92","33.66","22.73","14.76","5.25","1.71","0.32","0.05","0.01","0","0","0","0"
"CarDex","0","0.04","0.33","4.08","10.71","17.84","30.25","22.33","12.35","1.9","0.16","0","0","0","0","0"
"PanoBorDex","0","0","0","0","0.04","0.5","1.43","5.41","14.19","30.98","32.67","11.81","2.69","0.27","0.01","0"
"Thal/ThalDex","0","0","0","0","0","0","0","0.01","0","0.04","0.09","0.16","0.85","40.91","32.02","25.92"
"BorThalDex","0.03","0.03","0.09","0.24","0.4","0.54","0.81","1.52","3.29","6.96","8.36","10.37","54.77","9.46","2.26","0.85"
"DaraBorDex","0.03","0.73","2.39","23.01","20.26","28.02","15.59","6.88","2.7","0.34","0.04","0","0","0","0","0"
"DaraLenDex","41.24","35.69","20.34","2.18","0.48","0.05","0.02","0","0","0","0","0","0","0","0","0"
"OblDex","0.16","0.06","0.06","0.12","0.09","0.18","0.16","0.25","0.36","0.83","0.69","1.04","7.35","23.64","16.49","48.54"
"PLDBor","0","0.03","0.04","0.34","0.68","1.49","3.26","7.72","14.53","30.08","26.68","11.3","3.57","0.29","0","0"
