"trial","comparison","tx1","tx2","cr1","cr2","pct1","pct2","log_or","se","or","lo","hi","zero_cell"
"GMY302","OblDex vs Dex",1,15,"0/114","0/110",0,0,0.036,2.004,1.04,0.02,52.68,TRUE
"APEX","Bor vs Dex",1,2,"5/336","41/333",1.5,12.3,2.229,0.48,9.3,3.62,23.84,FALSE
"MM-009","LenDex vs Dex",1,3,"3/176","43/177",1.7,24.3,2.918,0.608,18.5,5.62,60.95,FALSE
"MM-010","LenDex vs Dex",1,3,"9/175","43/176",5.1,24.4,1.786,0.385,5.96,2.81,12.67,FALSE
"Orlowski","PLDBor vs Bor",2,16,"8/322","14/324",2.5,4.3,0.572,0.45,1.77,0.73,4.29,FALSE
"Garderet 2012","BorThalDex vs ThalDex",11,12,"25/134","56/135",18.7,41.5,1.128,0.282,3.09,1.78,5.37,FALSE
"OPTIMUM","Thal vs Dex",1,11,"2/126","7/373",1.6,1.9,0.17,0.808,1.19,0.24,5.78,FALSE
"Hjorth 2012","ThalDex vs BorDex",2,11,"0/64","0/67",0,0,-0.045,2.008,0.96,0.02,48.88,TRUE
"OPTIMISMM","PomBorDex vs BorDex",2,5,"11/278","44/281",4,15.7,1.505,0.349,4.51,2.28,8.93,FALSE
"PANORAMA1","PanoBorDex vs BorDex",2,10,"60/381","107/387",15.7,27.6,0.715,0.181,2.04,1.43,2.91,FALSE
"ASPIRE","CarLenDex vs LenDex",3,6,"37/396","126/396",9.3,31.8,1.51,0.204,4.53,3.04,6.75,FALSE
"MM-003","PomDex vs Dex",1,4,"0/153","3/302",0,1,1.277,1.515,3.59,0.18,69.9,TRUE
"ELOQUENT-2","EloLenDex vs LenDex",3,7,"24/325","14/321",7.4,4.4,-0.559,0.346,0.57,0.29,1.13,FALSE
"ENDEAVOR","CarDex vs BorDex",2,9,"29/465","58/464",6.2,12.5,0.764,0.238,2.15,1.35,3.42,FALSE
"Tourmaline-MM1","IxaLenDex vs LenDex",3,8,"24/362","42/360",6.6,11.7,0.621,0.268,1.86,1.1,3.14,FALSE
"Pollux","DaraLenDex vs LenDex",3,14,"54/283","123/286",19.1,43,1.163,0.193,3.2,2.19,4.67,FALSE
"Castor","DaraBorDex vs BorDex",2,13,"21/247","46/251",8.5,18.3,0.882,0.28,2.41,1.39,4.18,FALSE
