"treatment","vague/k=0","vague/k=1","vague/k=2","vague/k=3","weak/k=0","weak/k=1","weak/k=2","weak/k=3","paper"
"Dex",7,6,7,7,14,12,12,11,6
"Bor/BorDex",33,37,37,36,38,37,36,35,37
"LenDex",36,42,44,44,51,52,52,53,42
"PomDex",88,22,12,8,18,14,10,9,22
"PomBorDex",87,93,93,92,90,89,88,88,93
"CarLenDex",84,92,93,93,96,97,97,97,92
"EloLenDex",26,31,32,32,36,36,36,36,30
"IxaLenDex",56,64,65,66,71,72,73,74,64
"CarDex",65,70,70,69,69,68,67,67,70
"PanoBorDex",55,59,59,59,60,59,58,58,60
"Thal/ThalDex",10,14,18,20,9,10,11,13,14
"BorThalDex",28,39,45,48,29,33,36,39,39
"DaraBorDex",70,75,75,75,74,73,72,72,76
"DaraLenDex",76,85,86,86,91,91,91,92,84
"OblDex",26,13,10,9,5,8,9,9,13
"PLDBor",52,57,56,56,50,50,49,48,57
