"drug","mi_cost","stroke_cost","cost_a","cost_h","err_a","err_h","err_max"
"EF","prevalent","prevalent",66452.2732139273,74515.7153019849,0.385672054064188,-0.0975816620727553,0.385672054064188
"all_alive","prevalent","incident",65859.5802379349,74374.9829930534,-0.509675536607033,-0.286259955551589,0.509675536607033
"EF","both","incident",67864.9032590066,76394.2769876438,2.51965197048532,2.4209857922385,2.51965197048532
"EF+S","prevalent","prevalent",68060.1733199198,76538.3776290762,2.81463535252419,2.61417997288613,2.81463535252419
"EF+MI","prevalent","incident",64251.6801319423,72352.3206659621,-2.93863883506704,-2.99802159051046,2.99802159051046
"EF+MI","prevalent","prevalent",69271.6669676193,78249.3094920329,4.64476994584396,4.90800792619899,4.90800792619899
"EF+S","both","incident",69472.8033649992,78416.9393147351,4.94861526894532,5.13274742719739,5.13274742719739
"EF","prevalent","both",69633.0735229769,78182.5833761329,5.19072628698397,4.81854894002815,5.19072628698397
"EF+S","prevalent","incident",63040.1864842428,70641.3888030053,-4.7687734283868,-5.29184954382331,5.29184954382331
"EF+MI","both","incident",70684.2970126987,80127.8711776919,6.77874986226509,7.42657538051024,7.42657538051024
"EF+S","prevalent","both",71240.9736289695,80205.2457032242,7.61968958544395,7.53031057498704,7.61968958544395
"all_alive","prevalent","prevalent",70879.5670736119,80271.9718191242,7.07373324430396,7.61976956115786,7.61976956115786
"EF","prevalent","incident",61432.2863782502,68618.726475914,-7.19773672684681,-8.0036111787822,8.0036111787822
"EF+MI","prevalent","both",72452.467276669,81916.177566181,9.44982417876371,9.82413852829989,9.82413852829989
"all_alive","both","incident",72292.1971186913,82150.5335047832,9.20771316072511,10.1383370154691,10.1383370154691
"EF","both","prevalent",72884.8900946836,82291.2658137146,10.1030607513963,10.3270153089479,10.3270153089479
"all_alive","prevalent","both",74060.3673826616,83938.8398932723,11.8787874772237,12.5359001632588,12.5359001632588
"EF+S","both","prevalent",74492.7902006762,84313.928140806,12.5320240498563,13.0387769439068,13.0387769439068
"EF","both","both",76065.6904037332,85958.1338878627,14.9081149843161,15.2431459110488,15.2431459110488
"EF+MI","both","prevalent",75704.2838483757,86024.8600037627,14.3621586431761,15.3326048972197,15.3326048972197
"EF+S","both","both",77673.5905097258,87980.796214954,17.3370782827761,17.9549075460077,17.9549075460077
"all_alive","both","prevalent",77312.1839543683,88047.522330854,16.7911219416361,18.0443665321786,18.0443665321786
"all_alive","incident","both",55414.294330576,60925.8264740774,-16.2887752557617,-18.3173994998191,18.3173994998191
"EF+MI","both","both",78885.0841574253,89691.7280779107,19.1672128760958,20.2487354993206,20.2487354993206
"EF+MI","incident","both",53806.3942245834,58903.1641469861,-18.7177385542217,-21.029161134778,21.029161134778
"all_alive","both","both",80492.9842634179,91714.390405002,21.5961761745559,22.9604971342795,22.9604971342795
"all_alive","incident","prevalent",52233.4940215264,57258.9583999294,-21.0938294886815,-23.23353010192,23.23353010192
"EF+S","incident","both",52594.9005768839,57192.2322840293,-20.5478731475415,-23.3229890880909,23.3229890880909
"EF+MI","incident","prevalent",50625.5939155338,55236.2960728381,-23.5227927871415,-25.9452917368789,25.9452917368789
"EF","incident","both",50987.0004708913,55169.569956938,-22.9768364460015,-26.0347507230497,26.0347507230497
"EF+S","incident","prevalent",49414.1002678343,53525.3642098813,-25.3529273804612,-28.2391196901918,28.2391196901918
"EF","incident","prevalent",47806.2001618417,51502.70188279,-27.7818906789212,-30.9508813251506,30.9508813251506
"all_alive","incident","incident",47213.5071858494,51361.9695738585,-28.6772382695924,-31.1395596186295,31.1395596186295
"EF+MI","incident","incident",45605.6070798568,49339.3072467672,-31.1062015680525,-33.8513212535884,33.8513212535884
"EF+S","incident","incident",44394.1134321573,47628.3753838105,-32.9363361613722,-36.1451492069012,36.1451492069012
"EF","incident","incident",42786.2133261647,45605.7130567192,-35.3652994598322,-38.8569108418601,38.8569108418601
