"payoff_at","discount_from","drug_in","event_cost","normalise","cost_a","cost_h","qaly_a","qaly_h","err_cost","err_qaly","err_max"
"start",0,"event_free","prevalent",TRUE,66429.4676535671,74540.6709222989,6.58613573870813,6.46198515875042,0.35122099027664,0.0586382593607521,0.35122099027664
"start",0,"event_free","prevalent",FALSE,66452.2732139272,74515.7153019849,6.58842446232124,6.45980358891311,0.385672054064166,0.0239080072648805,0.385672054064166
"hcc",0,"event_free","prevalent",TRUE,68248.7480129523,76694.3377069226,6.4248168793254,6.28717304709858,3.09950442286455,2.67533982819535,3.09950442286455
"hcc",0,"event_free","prevalent",FALSE,68274.2029064956,76666.5289992107,6.42733306514021,6.2847810847379,3.13795768370602,2.7123671093205,3.13795768370602
"start",1,"alive","prevalent",FALSE,67504.3495939161,76449.4969705945,6.27468996411547,6.15219389420296,2.49501862967416,4.78467429263321,4.78467429263321
"start",1,"alive","prevalent",TRUE,67481.189074918,76475.1033801462,6.27251022734107,6.1542715797623,2.52934886764883,4.81775072320073,4.81775072320073
"start",1,"event_free","prevalent",TRUE,63266.1596700639,70991.1151640942,6.27251022734107,6.1542715797623,4.82297517164954,4.81775072320073,4.82297517164954
"start",1,"event_free","prevalent",FALSE,63287.8792513593,70967.3479066523,6.27468996411547,6.15219389420296,4.85483967816452,4.78467429263321,4.85483967816452
"end",0,"event_free","prevalent",TRUE,70068.0283723375,78848.0044915464,6.26349801994268,6.11236093544674,5.84778785545247,5.38140966800714,5.84778785545247
"end",0,"event_free","prevalent",FALSE,70096.1325990639,78817.3426964366,6.26624166795917,6.10975858056268,5.89024331334788,5.42169379933935,5.89024331334788
"hcc",1,"alive","prevalent",TRUE,69590.6471142803,79006.7876321743,6.11887321840514,5.9877838543796,5.9235507245411,7.30984745542415,7.30984745542415
"hcc",1,"event_free","prevalent",TRUE,64998.8076313832,73042.2263875454,6.11887321840514,5.9877838543796,2.07307240721376,7.30984745542415,7.30984745542415
"hcc",1,"alive","prevalent",FALSE,69616.5252770996,78978.2220188053,6.12126958584781,5.98550579498847,5.88525311382494,7.3451115326862,7.3451115326862
"hcc",1,"event_free","prevalent",FALSE,65023.0503871386,73015.7419040102,6.12126958584781,5.98550579498847,2.10857986953721,7.3451115326862,7.3451115326862
"start",0,"alive","prevalent",FALSE,70879.5670736119,80271.9718191243,6.58842446232124,6.45980358891311,7.6197695611579,0.0239080072648805,7.6197695611579
"start",0,"alive","prevalent",TRUE,70855.2485286639,80298.8585491536,6.58613573870813,6.46198515875042,7.6558163110313,0.0586382593607521,7.6558163110313
"end",1,"alive","prevalent",TRUE,71700.1051536427,81538.4718842024,5.96523620946921,5.82129612899689,9.31775258143335,9.8870568266735,9.8870568266735
"end",1,"event_free","prevalent",TRUE,66731.4555927024,75093.3376109965,5.96523620946921,5.82129612899689,0.807417005192841,9.8870568266735,9.8870568266735
"end",1,"alive","prevalent",FALSE,71728.7009602832,81506.9470670161,5.96784920758016,5.81881769577398,9.27548759797573,9.92542266603748,9.92542266603748
"end",1,"event_free","prevalent",FALSE,66758.221522918,75064.1359013682,5.96784920758016,5.81881769577398,0.847850774617024,9.92542266603748,9.92542266603748
"hcc",0,"alive","prevalent",FALSE,73097.3515409546,82927.1331197456,6.42733306514021,6.2847810847379,11.1795157695162,2.7123671093205,11.1795157695162
"hcc",0,"alive","prevalent",TRUE,73070.1794699944,82957.1270137831,6.4248168793254,6.28717304709858,11.2197282607682,2.67533982819535,11.2197282607682
"end",0,"alive","prevalent",FALSE,75315.1360082973,85582.2944203669,6.26624166795917,6.10975858056268,14.7392619778745,5.42169379933935,14.7392619778745
"end",0,"alive","prevalent",TRUE,75285.1104113248,85615.3954784125,6.26349801994268,6.11236093544674,14.783640210505,5.38140966800714,14.783640210505
"start",0,"alive","incident",TRUE,47196.1385478959,51380.4669605379,6.58613573870813,6.46198515875042,31.114760371186,0.0586382593607521,31.114760371186
"start",0,"alive","incident",FALSE,47213.5071858494,51361.9695738586,6.58842446232124,6.45980358891311,31.1395596186295,0.0239080072648805,31.1395596186295
"hcc",0,"alive","incident",TRUE,46348.3666714098,50394.8963045619,6.4248168793254,6.28717304709858,32.436104353135,2.67533982819535,32.436104353135
"hcc",0,"alive","incident",FALSE,46367.0407453171,50375.0893736018,6.42733306514021,6.2847810847379,32.4626592925159,2.7123671093205,32.4626592925159
"end",0,"alive","incident",TRUE,45500.5947949237,49409.3256485859,6.26349801994268,6.11236093544674,33.7574483350839,5.38140966800714,33.7574483350839
"end",0,"alive","incident",FALSE,45520.5743047849,49388.209173345,6.26624166795917,6.10975858056268,33.7857589664023,5.42169379933935,33.7857589664023
"start",1,"alive","incident",TRUE,44948.7033789485,48933.7780576551,6.27251022734107,6.1542715797623,34.39500987732,4.81775072320073,34.39500987732
"start",1,"alive","incident",FALSE,44965.2449389042,48916.1614989129,6.27468996411547,6.15219389420296,34.4186282082185,4.78467429263321,34.4186282082185
"hcc",1,"alive","incident",TRUE,44141.3015918188,47995.139337678,6.11887321840514,5.9877838543796,35.6534327172714,7.30984745542415,35.6534327172714
"hcc",1,"alive","incident",FALSE,44159.0864241115,47976.2755939065,6.12126958584781,5.98550579498847,35.6787231357294,7.3451115326862,35.6787231357294
"end",1,"alive","incident",TRUE,43333.8998046892,47056.5006177009,5.96523620946921,5.82129612899689,36.9118555572228,9.8870568266735,36.9118555572228
"end",1,"alive","incident",FALSE,43352.9279093189,47036.3896889,5.96784920758016,5.81881769577398,36.9388180632403,9.92542266603748,36.9388180632403
"start",0,"event_free","incident",TRUE,42770.3576727991,45622.2793336832,6.58613573870813,6.46198515875042,38.8347006124493,0.0586382593607521,38.8347006124493
"start",0,"event_free","incident",FALSE,42786.2133261647,45605.7130567192,6.58842446232124,6.45980358891311,38.8569108418601,0.0239080072648805,38.8569108418601
"hcc",0,"event_free","incident",TRUE,41526.9352143677,44132.1069977015,6.4248168793254,6.28717304709858,40.8325586414776,2.67533982819535,40.8325586414776
"hcc",0,"event_free","incident",FALSE,41543.8921108581,44114.485253067,6.42733306514021,6.2847810847379,40.8561839250461,2.7123671093205,40.8561839250461
"start",1,"event_free","incident",TRUE,40733.6739740944,43449.7898416031,6.27251022734107,6.1542715797623,41.7473339166184,4.81775072320073,41.7473339166184
"start",1,"event_free","incident",FALSE,40748.7745963473,43434.0124349707,6.27468996411547,6.15219389420296,41.7684865160572,4.78467429263321,41.7684865160572
"end",0,"event_free","incident",TRUE,40283.5127559364,42641.9346617197,6.26349801994268,6.11236093544674,42.8304166705059,5.38140966800714,42.8304166705059
